section	comp	pct
figure9 awt3 anterior	"Crabp1/Pnoc/Tmem215
of
Crabp1/Pnoc"	58.1395348837209
figure 10 wt4 middle 1a	"Crabp1/Pnoc/Tmem215
of
Crabp1/Pnoc"	40
figure11 wt4 middle 1b	"Crabp1/Pnoc/Tmem215
of
Crabp1/Pnoc"	46.1538461538462
figure12 wt4 middle2a	"Crabp1/Pnoc/Tmem215
of
Crabp1/Pnoc"	46.6666666666667
figure13 wt4 middle2b	"Crabp1/Pnoc/Tmem215
of
Crabp1/Pnoc"	23.0769230769231
figure14 wt4 postb	"Crabp1/Pnoc/Tmem215
of
Crabp1/Pnoc"	32.4324324324324
figure15 wt4 post a	"Crabp1/Pnoc/Tmem215
of
Crabp1/Pnoc"	26.027397260274
figure1 wt1	"Crabp1/Pnoc/Htr3b
of
Crabp1/Pnoc"	31.0344827586207
figure3 wt3	"Crabp1/Pnoc/Htr3b
of
Crabp1/Pnoc"	55.5555555555556
figure4 wt3 middle 1a	"Crabp1/Pnoc/Htr3b
of
Crabp1/Pnoc"	33.3333333333333
figure5 wt3 middle2a	"Crabp1/Pnoc/Htr3b
of
Crabp1/Pnoc"	20.7792207792208
figure6 middle 1a	"Crabp1/Pnoc/Htr3b
of
Crabp1/Pnoc"	30.6451612903226
figure7 wt1 middle 1b	"Crabp1/Pnoc/Htr3b
of
Crabp1/Pnoc"	23.0769230769231
figure8 middle2b	"Crabp1/Pnoc/Htr3b
of
Crabp1/Pnoc"	18.0555555555556
figure9 awt3 anterior	"Crabp1/Pnoc/Htr3b
of
Crabp1/Pnoc"	25.5813953488372
figure 10 wt4 middle 1a	"Crabp1/Pnoc/Htr3b
of
Crabp1/Pnoc"	17.1428571428571
figure11 wt4 middle 1b	"Crabp1/Pnoc/Htr3b
of
Crabp1/Pnoc"	32.6923076923077
figure12 wt4 middle2a	"Crabp1/Pnoc/Htr3b
of
Crabp1/Pnoc"	30
figure13 wt4 middle2b	"Crabp1/Pnoc/Htr3b
of
Crabp1/Pnoc"	44.2307692307692
figure14 wt4 postb	"Crabp1/Pnoc/Htr3b
of
Crabp1/Pnoc"	45.945945945946
figure15 wt4 post a	"Crabp1/Pnoc/Htr3b
of
Crabp1/Pnoc"	42.4657534246575
figure1 wt1	"Crabp1/Pnoc/Tmem215/Htr3b
of
Crabp1/Pnoc"	10.3448275862069
figure3 wt3	"Crabp1/Pnoc/Tmem215/Htr3b
of
Crabp1/Pnoc"	13.8888888888889
figure4 wt3 middle 1a	"Crabp1/Pnoc/Tmem215/Htr3b
of
Crabp1/Pnoc"	2.08333333333333
figure5 wt3 middle2a	"Crabp1/Pnoc/Tmem215/Htr3b
of
Crabp1/Pnoc"	7.79220779220779
figure6 middle 1a	"Crabp1/Pnoc/Tmem215/Htr3b
of
Crabp1/Pnoc"	6.45161290322581
figure7 wt1 middle 1b	"Crabp1/Pnoc/Tmem215/Htr3b
of
Crabp1/Pnoc"	7.69230769230769
figure8 middle2b	"Crabp1/Pnoc/Tmem215/Htr3b
of
Crabp1/Pnoc"	12.5
figure9 awt3 anterior	"Crabp1/Pnoc/Tmem215/Htr3b
of
Crabp1/Pnoc"	4.65116279069768
figure 10 wt4 middle 1a	"Crabp1/Pnoc/Tmem215/Htr3b
of
Crabp1/Pnoc"	5.71428571428571
figure11 wt4 middle 1b	"Crabp1/Pnoc/Tmem215/Htr3b
of
Crabp1/Pnoc"	11.5384615384615
figure12 wt4 middle2a	"Crabp1/Pnoc/Tmem215/Htr3b
of
Crabp1/Pnoc"	15
figure13 wt4 middle2b	"Crabp1/Pnoc/Tmem215/Htr3b
of
Crabp1/Pnoc"	15.3846153846154
figure14 wt4 postb	"Crabp1/Pnoc/Tmem215/Htr3b
of
Crabp1/Pnoc"	16.2162162162162
figure15 wt4 post a	"Crabp1/Pnoc/Tmem215/Htr3b
of
Crabp1/Pnoc"	10.958904109589
