cluster	glp1r	pnoc
C286-286	0.00608633268947971	0.00130708795485616
C286-29	0.0180693276206943	0.0242730710817812
C286-3	0.00834067915635671	0.000429794534481936
C286-30	0.00631703063244897	0.00275848468696784
C286-31	0.0121535773874519	0.00725622652437515
C286-32	0.00367715141527512	0.0093855825575725
C286-33	0.00351309921488758	0.00535167778822567
C286-34	9.67351440472373e-05	0.00243078868368279
C286-35	0.00798493165062461	0.000393288914220794
C286-36	0.00219517973932418	0.00837486311365039
C286-37	0.000125710804361612	0.00255642959860443
C286-38	0.000665455589940096	0.00670552767910093
C286-39	0.0137021481993288	0.00402741776302777
C286-4	0.000564974874384081	0.0132316247875505
C286-40	0.00476075801182691	0.00200760123116655
C286-41	0.00147886062346111	0.0144535115696719
C286-42	0.00900151522464895	0.0174947009536061
C286-43	0.00853103937302128	0.00992117210212286
C286-44	0.00771654193787728	0.0116466065367989
C286-45	0.00169366705764067	0.00043770939188928
C286-46	0.00208640211891918	0.00315531154507998
C286-47	0.000105634764879264	0.00318261852077341
C286-48	0.000761700802424802	0.00197174979246942
C286-49	0.00827290923451811	0.0106226851392093
C286-5	0.000864753497824984	0.00260303657653502
C286-50	0.00691126745419619	0.000418307042370425
C286-51	0.00255430789521148	0
C286-52	0.00499030329469665	0.000597351706053956
C286-53	8.33178036450819e-05	0.00134765974274628
C286-54	0.00187145904819436	0.00309638571988425
C286-55	0	2.86421003604296e-05
C286-56	0.00122303394636756	0.0156402625579199
C286-57	0.00300761921130076	0.00205594732517324
C286-58	0.0112766076473485	0.00768395692783014
C286-59	0.000109314496871575	0.00426796831527864
C286-6	0.00196084418741249	0.00298207772649293
C286-60	0.000817365881197873	0.00311414097588943
C286-61	0	0.00243078868368279
C286-62	0.0227031887954385	0
C286-63	0.0316477308438203	0.0038261797252211
C286-64	0.0380672077825519	0.00328606548647808
C286-65	0.0248003257573755	0.0529263651266144
C286-66	0.000807364337322793	0.0161017573444581
C286-67	0.0520282157285286	0.0488906474502225
C286-68	0.0400249475613985	0
C286-69	0.0270919000863343	4.49983041887176e-05
C286-7	0.00129957996616529	0.00587683891000244
C286-70	0.00193508527590861	0.000339599891394784
C286-71	0.00499144403195244	0.00398763325316052
C286-72	0.031418481553613	0.00269062824451718
C286-73	0.021657703647669	0.00223088117827665
C286-74	0.0163162500185528	0.00418704646853375
C286-75	0.110104832329633	0.0199026967278965
C286-76	0.0804376868083079	0.00856007814715375
C286-77	0.119496138622594	0.0218611706280346
C286-78	0.0313288776608414	0.0320572344777453
C286-79	0.000569871153992993	0.0280393770278302
C286-8	0.0345696205922284	0.042669198449768
C286-80	0.00108071407170479	0.0179012207748309
C286-81	0.190821504867576	0.00309432925215861
C286-82	0.166089418593666	0.00296414113723898
C286-83	0.000377606675860226	0.00274813539602834
C286-84	0.0502185672455362	0.0885291104523937
C286-85	0.00211830457617668	0.00568958149878317
C286-86	0.00128237086977706	0.00362458691144502
C286-87	0.00907543923730464	0.00687258546498533
C286-88	0.00121520513075372	0.00406864050012969
C286-89	0.0136887645040472	0.0258885064926425
C286-9	0.00572228870309767	0.00251938024837743
C286-90	0.00495560018313266	0.00629315340825935
C286-91	0.0112959158259148	0.0360145501929758
C286-92	0.021399350123141	0.0893932002775621
C286-93	0.0276948735767083	0.0847377475140488
C286-94	0.0290671798327875	9.28787735581674e-06
C286-95	0.000575227297794085	0.00472946945705847
C286-96	0	0.00447705078450468
C286-97	0.00139160965065555	0.00055297458720692
C286-98	5.35614380109182e-06	0.078867369833161
C286-99	0.000880594077696192	0.0607382913390988
