cluster_id,cluster_name,gene,avg_log2FC,p_val_adj,p_val_adj_negbinom,pct.1,pct.2,pct_diff,N_DEG
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Hsp90aa1,-1.48128284065019,2.67388953057992e-08,7.41169494154036e-13,0.314,0.664,-0.35,55
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Slc25a3,-0.907719727229408,3.34722174122331e-08,2.37439626760745e-07,0.457,0.799,-0.342,46
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Mt3,-1.19045548766184,3.63182028768736e-08,2.60931863383744e-10,0.629,0.81,-0.181,42
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Atp5g1,-1.04614834910417,4.79291789814393e-08,3.77431112741321e-08,0.257,0.683,-0.426,36
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Gapdh,-1.87544303435896,7.32178013624514e-08,2.95821599232194e-17,0.4,0.701,-0.301,72
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Rpl26,-0.97129872943492,8.49701423629533e-08,0.00119692085934842,0.043,0.522,-0.479,40
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Ndufa13,-1.16809190624978,1.02822945825279e-07,3.62794415697725e-09,0.271,0.638,-0.367,45
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Rpsa,-0.999017707939946,1.0377986987551e-07,5.13492071916305e-07,0.171,0.612,-0.441,39
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Rpl37,-1.48961480919876,1.15592263785475e-07,2.23185478099048e-12,0.3,0.66,-0.36,65
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Fth1,-1.7390918779236,1.18176392604659e-07,1.63608578220414e-15,0.471,0.716,-0.245,63
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Chchd10,-1.04271937903888,1.3523005364518e-07,3.37264205435984e-06,0.086,0.552,-0.466,46
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Srsf10,0.690735296689733,1.51462850124315e-07,1.0332462668864e-11,0.943,0.791,0.152,25
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Ndufc2,-1.11064601254834,1.52428392101001e-07,3.48605215904033e-05,0.057,0.522,-0.465,56
