gene,ensembl_gene_id,log2FoldChange,padj
Oxt,ENSMUSG00000027301,4.70070877751336,0
Avp,ENSMUSG00000037727,5.2419349845028,0
mt-Nd2,ENSMUSG00000064345,-7.00111984907282,0
mt-Atp8,ENSMUSG00000064356,-7.33159449940257,0
mt-Atp6,ENSMUSG00000064357,-7.39090668619534,0
mt-Nd6,ENSMUSG00000064368,-6.8173810715253,0
mt-Cytb,ENSMUSG00000064370,-6.980376045902,0
Gm20721,ENSMUSG00000090625,5.46645433898556,0
Cdr1,ENSMUSG00000090546,-4.56480271586119,3.42925144339146e-281
mt-Nd4,ENSMUSG00000064363,-6.7698839227864,3.56637215002628e-254
mt-Nd5,ENSMUSG00000064367,-6.19115484388073,6.79679463473387e-254
mt-Nd1,ENSMUSG00000064341,-6.27042050266297,5.54065700055269e-251
Ghrh,ENSMUSG00000027643,4.27904143116058,2.42518666715548e-221
Glp1r,ENSMUSG00000024027,4.65549981021839,4.22724758889092e-199
Fth1,ENSMUSG00000024661,-1.96297706032362,1.72316125673521e-175
Tmem88b,ENSMUSG00000073680,-2.90723163056354,2.01726540583775e-172
Sst,ENSMUSG00000004366,2.34789813845791,4.68492901436101e-165
Cartpt,ENSMUSG00000021647,2.5269641592749,2.42725280660369e-159
Nme7,ENSMUSG00000026575,-3.83750390583449,6.21989509452337e-138
mt-Co2,ENSMUSG00000064354,-6.68392785758588,1.62298126952246e-135
Nfia,ENSMUSG00000028565,-2.34919396935622,4.72524576993641e-131
Ankrd12,ENSMUSG00000034647,-1.85894803608466,5.28340727341808e-115
Gal,ENSMUSG00000024907,2.42746428750338,1.02746140219392e-109
Trp53i11,ENSMUSG00000068735,1.8152460352872,2.19707447046019e-109
Snhg11,ENSMUSG00000044349,-3.73029204092176,2.05995799749062e-105
Pcsk1n,ENSMUSG00000039278,1.31416432535755,1.11861794215442e-102
Sptbn1,ENSMUSG00000020315,-1.73580821903295,5.40619732860037e-99
Pclo,ENSMUSG00000061601,-1.93199954005712,1.54414079556515e-98
Csrp1,ENSMUSG00000026421,-2.01152507297277,3.72008522068723e-98
Pmch,ENSMUSG00000035383,-2.56421120952704,3.39416558809684e-97
Macf1,ENSMUSG00000028649,-2.428603478139,2.35566821337836e-95
Parm1,ENSMUSG00000034981,1.62122862430603,2.6711583435175e-95
Gpx3,ENSMUSG00000018339,1.87163963581724,3.64985948698414e-93
Rreb1,ENSMUSG00000039087,-3.7515101717528,7.46994305998373e-91
Gatm,ENSMUSG00000027199,-2.56007464926427,2.7776439284893e-86
Gm38393,ENSMUSG00000000948,-2.55400074665887,6.08749570674792e-86
Dbi,ENSMUSG00000026385,-1.74236713302526,2.92148830919628e-83
Ptprn,ENSMUSG00000026204,1.43302833139723,3.81540512581305e-83
Ndrg2,ENSMUSG00000004558,-2.07987513795454,1.21005615693864e-82
Ecel1,ENSMUSG00000026247,1.690262702265,2.48423388138298e-81
Syne1,ENSMUSG00000096054,-2.1076105428002,9.1463709247274e-81
Cbarp,ENSMUSG00000035640,1.22433975565745,1.21135591407095e-79
Fabp7,ENSMUSG00000019874,-2.7886949263219,8.65063320531102e-78
Resp18,ENSMUSG00000033061,1.53061464378879,1.55234753944828e-77
Spop,ENSMUSG00000057522,-1.77370070344619,7.44394090838346e-77
Myo6,ENSMUSG00000033577,-2.5699245814952,3.54768329869809e-76
mt-Co1,ENSMUSG00000064351,-5.47159475294604,6.72867275968244e-76
Ly6e,ENSMUSG00000022587,1.27145216706524,1.18953546955095e-75
Etv1,ENSMUSG00000004151,-2.16000492743576,4.38573147445751e-74
Kmt2d,ENSMUSG00000048154,-1.42658473893327,3.46478762655617e-73
Enpp2,ENSMUSG00000022425,-2.26071182096,7.41804022877835e-73
Sparcl1,ENSMUSG00000029309,-2.0665759835554,2.28237809405946e-72
Mal,ENSMUSG00000027375,-2.51301103998879,4.63105037742781e-72
Tmem130,ENSMUSG00000043388,1.11944978308295,1.1064141065473e-71
Mdn1,ENSMUSG00000058006,-2.26190244242627,7.67478381723509e-71
Slc1a3,ENSMUSG00000005360,-2.66631792582326,9.70821859079633e-71
Gng3,ENSMUSG00000071658,1.16564682850863,4.00680876263359e-70
Tmem229a,ENSMUSG00000048022,-1.86379185950291,4.56735982866419e-70
Apod,ENSMUSG00000022548,-2.88123782545335,1.23171556922345e-69
Tet2,ENSMUSG00000040943,-2.0496989025734,6.91928985895175e-69
Hipk2,ENSMUSG00000061436,-1.29829270578,8.39331858775812e-69
Amy1,ENSMUSG00000074264,-3.21353792213594,4.91147967016775e-68
Zfp644,ENSMUSG00000049606,-1.52009001385353,5.78378749124042e-68
Myrf,ENSMUSG00000036098,-2.57432990910455,1.30257979915816e-67
Ubr4,ENSMUSG00000066036,-1.45095729775643,6.19645262558632e-67
Fam107a,ENSMUSG00000021750,-2.17095475147455,2.81708626862319e-66
Ogt,ENSMUSG00000034160,-1.57770539750842,3.4324203675738e-66
Plpp3,ENSMUSG00000028517,-2.42300055764699,1.25817466753139e-65
Ptprz1,ENSMUSG00000068748,-2.39829697634325,1.72815653185204e-65
Pdyn,ENSMUSG00000027400,2.0499983181566,2.66023799954388e-65
Pld3,ENSMUSG00000003363,1.071250705169,2.94692662479298e-65
Nrsn2,ENSMUSG00000059361,1.16522581513255,1.34858609394446e-64
Sox8,ENSMUSG00000024176,-2.66196697133043,2.1219016277709e-62
Tshz2,ENSMUSG00000047907,-1.73428894212014,4.60254892141294e-61
Tcf20,ENSMUSG00000041852,-1.29609228066667,5.67311932619008e-61
Tmem63a,ENSMUSG00000026519,-2.85499586985998,1.04008469156303e-60
Rnasek,ENSMUSG00000093989,1.24665580120471,1.32128980159855e-60
Rsrp1,ENSMUSG00000037266,-2.09497087139472,1.3533767433326e-60
Ryr2,ENSMUSG00000021313,-1.83015203376762,1.65431943775034e-60
Asrgl1,ENSMUSG00000024654,-1.47021534556865,2.95663145750929e-60
Zfp36l1,ENSMUSG00000021127,-2.59011147892731,3.46487517445415e-60
Tns3,ENSMUSG00000020422,-2.19379584304978,2.06327442357699e-59
