cluster_id,cluster_name,clusterlevel,ncells,likely_region,pct_of_all
K98-6,Adarb2.Cd40.Fezf1.HY2,K98,1855,,2.17
K98-71,Esr1.Cd40.Fezf1.HY2,K98,477,,0.56
K98-73,Qrfpr.Cd40.Fezf1.HY2,K98,425,,0.5
K98-98,Gnrh1,K98,43,,0.05
K98-99,Gm5741.HY2,K98,25,,0.03
K98-26,Zic1.Hmx3.Hmx2.HY1,K98,1176,,1.38
K98-36,Prok2.Hmx3.Hmx2.HY1,K98,1158,,1.36
K98-55,Gsx1.Hmx3.Hmx2.HY1,K98,777,,0.91
K98-62,Gm28928.Hmx3.Hmx2.HY1,K98,678,,0.79
K98-64,Crh.Hmx3.Hmx2.HY1,K98,606,,0.71
K98-66,Nts.Hmx3.Hmx2.HY1,K98,418,,0.49
K98-84,Gpr50.Hmx3.Hmx2.HY1,K98,280,,0.33
K98-12,Tmem215.Tcf7l2.Tbx3.HY1,K98,1410,,1.65
K98-59,Bace2.Tcf7l2.Tbx3.HY1,K98,654,,0.77
K98-8,Pomc.Tcf7l2.Tbx3.HY1,K98,1649,,1.93
K98-9,Crabp1.Tcf7l2.Tbx3.HY1,K98,793,,0.93
K98-10,Sall3.Pitx2.Foxb1.HY2,K98,1499,,1.75
K98-13,Ctxn3.Pitx2.Foxb1.HY2,K98,1488,,1.74
K98-30,Sepp1.Pitx2.Foxb1.HY2,K98,1105,,1.29
K98-96,Myo1a.Pitx2.Foxb1.HY2,K98,65,,0.08
K98-18,C1ql2.Epha6.Fezf1.HY2,K98,1191,,1.39
K98-5,Alk.Epha6.Fezf1.HY2,K98,2314,,2.71
K98-53,Il1rapl2.Epha6.Fezf1.HY2,K98,754,,0.88
K98-39,Meis2.Tbr1.Nrn1.HY2,K98,1013,,1.19
K98-49,Pitx2.Tbr1.Nrn1.HY2,K98,944,,1.1
K98-65,Samd3.Tbr1.Nrn1.HY2,K98,507,,0.59
K98-70,Pax6.Tbr1.Nrn1.HY2,K98,507,,0.59
K98-80,Shox2.Tbr1.Nrn1.HY2,K98,306,,0.36
K98-82,Ebf3.Tbr1.Nrn1.HY2,K98,283,,0.33
K98-90,Sln.Tbr1.Nrn1.HY2,K98,211,,0.25
K98-20,Pou3f3.Sim1.Nrn1.HY2,K98,1223,,1.43
K98-37,Trh.Sim1.Nrn1.HY2,K98,1036,,1.21
K98-38,Ebf1.Sim1.Nrn1.HY2,K98,961,,1.12
K98-63,Crhbp.Sim1.Nrn1.HY2,K98,660,,0.77
K98-94,Ucn3.Sim1.Nrn1.HY2,K98,79,,0.09
K169-113,C1ql3.Prokr2.Six6.HY1,K169,328,Suprachiasmatic nucleus,0.38
K169-5,Vipr2.Prokr2.Six6.HY1,K169,1015,Suprachiasmatic nucleus,1.19
K169-76,Igfbp4.Prokr2.Six6.HY1,K169,498,Suprachiasmatic nucleus,0.58
K169-9,Cck.Prokr2.Six6.HY1,K169,1026,Suprachiasmatic nucleus,1.2
K169-7,Ttn.Sall3.Pitx2.Foxb1.HY2,K169,931,Posterior/Mamillary region,1.09
K169-90,Cpne9.Sall3.Pitx2.Foxb1.HY2,K169,568,Posterior/Mamillary region,0.67
K169-10,Vip.Cd24a.Six6.HY1,K169,965,Suprachiasmatic nucleus,1.13
K169-81,Lhx1.Cd24a.Six6.HY1,K169,430,Suprachiasmatic nucleus,0.5
K169-32,Sytl4.Tmem215.Tcf7l2.Tbx3.HY1,K169,942,Arcuate hypothalamic nucleus,1.1
K169-82,Pomc.Tmem215.Tcf7l2.Tbx3.HY1,K169,468,Arcuate hypothalamic nucleus,0.55
K169-23,Nts.Ctxn3.Pitx2.Foxb1.HY2,K169,926,Posterior/Mamillary region,1.08
K169-65,Postn.Ctxn3.Pitx2.Foxb1.HY2,K169,562,Posterior/Mamillary region,0.66
K169-118,Gbx1.Lhx8.Lhx6.Arx.HY1,K169,373,Zona incerta,0.44
K169-59,Sfrp1.Lhx8.Lhx6.Arx.HY1,K169,603,Parastrial nucleus,0.71
K169-63,Sema3c.Lhx8.Lhx6.Arx.HY1,K169,536,Preoptic region,0.63
K169-24,Sstr1.Sst.Il1rapl2.Otp.HY1,K169,749,Arcuate hypothalamic nucleus,0.88
K169-72,Gpc3.Sst.Il1rapl2.Otp.HY1,K169,568,Arcuate hypothalamic nucleus,0.67
K169-42,Nfia.Slc17a8.Ifi27l2a.Fezf1.HY2,K169,679,Ventromedial hypothalamic nucleus,0.8
K169-53,Prdm13.Slc17a8.Ifi27l2a.Fezf1.HY2,K169,657,Ventromedial hypothalamic nucleus,0.77
K169-34,Prdm13.Foxp2.Ifi27l2a.Fezf1.HY2,K169,728,Ventromedial hypothalamic nucleus,0.85
K169-64,Lmo3.Foxp2.Ifi27l2a.Fezf1.HY2,K169,485,Ventromedial hypothalamic nucleus,0.57
K169-47,Kirrel3.C1ql2.Epha6.Fezf1.HY2,K169,684,Ventromedial hypothalamic nucleus,0.8
K169-66,Bdnf.C1ql2.Epha6.Fezf1.HY2,K169,507,Ventromedial hypothalamic nucleus,0.59
K169-45,Nfix.Fam159b.Satb2.HY1,K169,672,Ventromedial hypothalamic nucleus,0.79
K169-69,Slc6a3.Fam159b.Satb2.HY1,K169,524,Ventromedial hypothalamic nucleus,0.61
K169-36,Dkk2.Nms.Six6.HY1,K169,715,Suprachiasmatic nucleus,0.84
K169-4,Grin2c.Nms.Six6.HY1,K169,1569,Suprachiasmatic nucleus,1.84
K169-96,Nfix.Nms.Six6.HY1,K169,509,Suprachiasmatic nucleus,0.6
K169-106,Crh.Pou3f3.Sim1.Nrn1.HY2,K169,381,Posterior/Mamillary region,0.45
K169-88,Ebf3.Pou3f3.Sim1.Nrn1.HY2,K169,440,Posterior/Mamillary region,0.52
K169-95,Gpr50.Pou3f3.Sim1.Nrn1.HY2,K169,402,NA,0.47
K169-116,Gm20754.Nfib.Six3.Hmx2.HY1,K169,314,Arcuate hypothalamic nucleus,0.37
K169-17,Col6a1.Nfib.Six3.Hmx2.HY1,K169,904,Arcuate hypothalamic nucleus,1.06
K169-39,Crabp1.Nfib.Six3.Hmx2.HY1,K169,711,Arcuate hypothalamic nucleus,0.83
K169-6,Ghrh.Gsx1.Hmx2.HY1,K169,1114,Arcuate hypothalamic nucleus,1.3
K169-148,Satb2.Sp9.Gad2.Arx.HY1,K169,201,Preoptic region,0.24
K169-156,PrkcSp9.Gad2.Arx.HY1,K169,137,NA,0.16
K169-97,Fbxw13.Sp9.Gad2.Arx.HY1,K169,564,Preoptic region,0.66
K169-71,Slc30a3.Meis2.Gad2.Arx.HY1,K169,546,Zona incerta,0.64
K169-84,Pvalb.Meis2.Gad2.Arx.HY1,K169,457,Zona incerta,0.54
K169-126,Pmaip1.Nfix.Gad2.Arx.HY1,K169,275,Preoptic region,0.32
K169-49,Nfib.Nfix.Gad2.Arx.HY1,K169,827,Preoptic region,0.97
K169-14,Gal.Zic1.Hmx3.Hmx2.HY1,K169,951,Preoptic region,1.11
K169-140,Pmaip1.Zic1.Hmx3.Hmx2.HY1,K169,225,Paraventricular hypothalamic nucleus,0.26
K169-108,Sox14.Foxg1.HY14.HY10.HY2,K169,358,Ventromedial hypothalamic nucleus,0.42
K169-112,Lhx9.Foxg1.HY14.HY10.HY2,K169,333,Ventromedial hypothalamic nucleus,0.39
K169-80,Eomes.Foxg1.HY14.HY10.HY2,K169,475,Preoptic region,0.56
K169-13,Vip.Six6.HY1,K169,980,Suprachiasmatic nucleus,1.15
K169-33,Adarb2.Onecut2.Gad2.Arx.HY1,K169,771,NA,0.9
K169-87,Six6.Onecut2.Gad2.Arx.HY1,K169,440,NA,0.52
K169-104,C1ql2.Nr5a1.Cd40.Fezf1.HY2,K169,448,Ventromedial hypothalamic nucleus,0.52
K169-2,Gpr149.Nr5a1.Cd40.Fezf1.HY2,K169,1513,Ventromedial hypothalamic nucleus,1.77
K169-57,Prkd1.Nr5a1.Cd40.Fezf1.HY2,K169,706,Ventromedial hypothalamic nucleus,0.83
K169-51,Mobp.Sepp1.Pitx2.Foxb1.HY2,K169,695,NA,0.81
K169-86,Slc7a10.Sepp1.Pitx2.Foxb1.HY2,K169,410,Arcuate hypothalamic nucleus,0.48
K169-146,Pou6f2.Calca.Gad2.Arx.HY1,K169,195,Preoptic region,0.23
K169-41,Gpc4.Calca.Gad2.Arx.HY1,K169,711,NA,0.83
K169-74,Pmaip1.Calca.Gad2.Arx.HY1,K169,480,Preoptic region,0.56
K169-120,Npy2r.Gpr149.Cd40.Fezf1.HY2,K169,301,Ventromedial hypothalamic nucleus,0.35
K169-26,Fgf10.Gpr149.Cd40.Fezf1.HY2,K169,848,Ventromedial hypothalamic nucleus,0.99
K169-58,Pthlh.Bcl11b.Il1rapl2.Otp.HY1,K169,598,Arcuate hypothalamic nucleus,0.7
K169-89,Vcan.Bcl11b.Il1rapl2.Otp.HY1,K169,441,Arcuate hypothalamic nucleus,0.52
K169-11,Meis2.Adora2a.Crym.Ppp1r1b.HY2,K169,965,Preoptic region,1.13
K169-165,Th.Adora2a.Crym.Ppp1r1b.HY2,K169,50,Preoptic region,0.06
K169-149,Trh.Ppp1r17.Hmx2.HY1,K169,172,Arcuate hypothalamic nucleus,0.2
K169-18,Cck.Ppp1r17.Hmx2.HY1,K169,888,Arcuate hypothalamic nucleus,1.04
K169-38,Th.Prok2.Hmx3.Hmx2.HY1,K169,739,Preoptic region,0.87
K169-94,Nts.Prok2.Hmx3.Hmx2.HY1,K169,419,Preoptic region,0.49
K169-29,Trh.Sim1.Nrn1.HY2,K169,1036,NA,1.21
K169-15,Otp.Ebf1.Sim1.Nrn1.HY2,K169,907,Paraventricular hypothalamic nucleus,1.06
K169-164,Dmrta2.Ebf1.Sim1.Nrn1.HY2,K169,54,Ventromedial hypothalamic nucleus,0.06
K169-61,Samd3.Meis2.Tbr1.Nrn1.HY2,K169,593,Subthalamic nucleus,0.69
K169-93,Dmrta2.Meis2.Tbr1.Nrn1.HY2,K169,420,Paraventricular hypothalamic nucleus,0.49
K169-1,Gm8773.Agrp.Npy.Otp.HY1,K169,1589,Arcuate hypothalamic nucleus,1.86
K169-68,Sst.Agrp.Npy.Otp.HY1,K169,563,Arcuate hypothalamic nucleus,0.66
K169-75,Serpina3n.Agrp.Npy.Otp.HY1,K169,473,Arcuate hypothalamic nucleus,0.55
K169-12,Tac2.Tbx3.HY1,K169,959,Arcuate hypothalamic nucleus,1.12
K169-128,Ebf1.Nkx2-4.Gsx1.Hmx2.HY1,K169,286,NA,0.33
K169-44,Trh.Nkx2-4.Gsx1.Hmx2.HY1,K169,673,Arcuate hypothalamic nucleus,0.79
K169-20,Crhbp.Gad2.Arx.HY1,K169,918,Subparaventricular zone,1.07
K169-162,Foxp2.Crh.Lhx8.Arx.HY1,K169,63,Preoptic region,0.07
K169-78,Sema3a.Crh.Lhx8.Arx.HY1,K169,512,Parastrial nucleus,0.6
K169-98,Crhbp.Crh.Lhx8.Arx.HY1,K169,362,Parastrial nucleus,0.42
K169-16,Meis2.Ppp1r1b.HY2,K169,909,Preoptic region,1.06
K169-103,Lhx8.Nfix.St18.Arx.HY1,K169,426,Preoptic region,0.5
K169-85,Pax6.Nfix.St18.Arx.HY1,K169,428,NA,0.5
K169-105,Il1rapl2.Pthlh.Six3.Hmx2.HY1,K169,378,Arcuate hypothalamic nucleus,0.44
K169-70,Gm28928.Pthlh.Six3.Hmx2.HY1,K169,533,Arcuate hypothalamic nucleus,0.62
K169-144,Smim3.Oxt,K169,215,Paraventricular hypothalamic nucleus,0.25
K169-40,Ebf3.Oxt,K169,704,Paraventricular hypothalamic nucleus,0.82
K169-22,Ebf3.Foxb1.HY2,K169,843,Posterior/Mamillary region,0.99
K169-137,Foxb1.Pitx2.Tbr1.Nrn1.HY2,K169,116,Posterior/Mamillary region,0.14
K169-25,Irx3.Pitx2.Tbr1.Nrn1.HY2,K169,828,Posterior/Mamillary region,0.97
K169-143,Pdzrn3.Alk.Epha6.Fezf1.HY2,K169,265,Ventromedial hypothalamic nucleus,0.31
K169-3,SgcAlk.Epha6.Fezf1.HY2,K169,1533,Ventromedial hypothalamic nucleus,1.8
K169-62,BC048546.Alk.Epha6.Fezf1.HY2,K169,511,Ventromedial hypothalamic nucleus,0.6
K169-31,Lef1.HY14.HY10.HY2,K169,780,NA,0.91
K169-48,Sox14.Lef1.Hmx2.HY1,K169,657,Posterior/Mamillary region,0.77
K169-100,Smim3.Gldn.Cd40.Fezf1.HY2,K169,410,Ventromedial hypothalamic nucleus,0.48
K169-109,Gm13481.Gldn.Cd40.Fezf1.HY2,K169,350,Ventromedial hypothalamic nucleus,0.41
K169-160,Sox3.Il1rapl2.Epha6.Fezf1.HY2,K169,82,Ventromedial hypothalamic nucleus,0.1
K169-43,Gm30382.Il1rapl2.Epha6.Fezf1.HY2,K169,672,Ventromedial hypothalamic nucleus,0.79
K169-54,Sncg.Gad2.Arx.HY1,K169,667,NA,0.78
K169-37,Gsx1.Hmx3.Hmx2.HY1,K169,777,NA,0.91
K169-101,Slc17a8.Meis2.Crym.Ppp1r1b.HY2,K169,381,Preoptic region,0.45
K169-135,Pthlh.Meis2.Crym.Ppp1r1b.HY2,K169,222,Parastrial nucleus,0.26
K169-136,Tac2.Arx.Six6.HY1,K169,308,Posterior/Mamillary region,0.36
K169-30,Penk.Arx.Six6.HY1,K169,537,Posterior/Mamillary region,0.63
K169-55,Cplx1.Gad2.Arx.HY1,K169,636,Subparaventricular zone,0.74
K169-52,Bace2.Tcf7l2.Tbx3.HY1,K169,654,Ventromedial hypothalamic nucleus,0.77
K169-27,Gm43122.Adarb2.Cd40.Fezf1.HY2,K169,775,Ventromedial hypothalamic nucleus,0.91
K169-8,Satb2.Adarb2.Cd40.Fezf1.HY2,K169,1080,Ventromedial hypothalamic nucleus,1.26
K169-50,Sox6.Npy.Otp.HY1,K169,661,Ventromedial hypothalamic nucleus,0.77
K169-56,Tmem215.St18.Arx.HY1,K169,643,Preoptic region,0.75
K169-134,Otp.Gm28928.Hmx3.Hmx2.HY1,K169,235,NA,0.28
K169-92,Adarb2.Gm28928.Hmx3.Hmx2.HY1,K169,443,NA,0.52
K169-133,Scn4b.Crhbp.Sim1.Nrn1.HY2,K169,186,NA,0.22
K169-83,Otp.Crhbp.Sim1.Nrn1.HY2,K169,474,NA,0.56
K169-60,Crh.Hmx3.Hmx2.HY1,K169,606,Arcuate hypothalamic nucleus,0.71
K169-102,Gng8.Samd3.Tbr1.Nrn1.HY2,K169,407,Preoptic region,0.48
K169-157,Ucn3.Samd3.Tbr1.Nrn1.HY2,K169,100,Preoptic region,0.12
K169-99,Nts.Hmx3.Hmx2.HY1,K169,418,Preoptic region,0.49
K169-122,Nmu.Serpinb1b.Lhx8.Arx.HY1,K169,303,Preoptic region,0.35
K169-131,Serpinf1.Serpinb1b.Lhx8.Arx.HY1,K169,248,Preoptic region,0.29
K169-67,Nr5a2.Satb2.HY1,K169,533,Arcuate hypothalamic nucleus,0.62
K169-119,Sox6.Tmem114.Lef1.Hmx2.HY1,K169,133,Zona incerta,0.16
K169-73,Tcf7l2.Tmem114.Lef1.Hmx2.HY1,K169,514,Zona incerta,0.6
K169-111,Meis2.Tac1.Crym.Ppp1r1b.HY2,K169,364,Preoptic region,0.43
K169-19,Drd1.Tac1.Crym.Ppp1r1b.HY2,K169,916,Preoptic region,1.07
K169-46,Prok2.Tac1.Crym.Ppp1r1b.HY2,K169,664,Arcuate hypothalamic nucleus,0.78
K169-110,Trp73.Pax6.Tbr1.Nrn1.HY2,K169,351,Parasubthalamic nucleus,0.41
K169-151,Mab21l2.Pax6.Tbr1.Nrn1.HY2,K169,156,Parasubthalamic nucleus,0.18
K169-79,Esr1.Cd40.Fezf1.HY2,K169,477,Ventromedial hypothalamic nucleus,0.56
K169-114,Fam81a.Prox1.Lhx8.Arx.HY1,K169,329,Preoptic region,0.39
K169-158,Meis2.Prox1.Lhx8.Arx.HY1,K169,90,Zona incerta,0.11
K169-91,Qrfpr.Cd40.Fezf1.HY2,K169,425,Ventromedial hypothalamic nucleus,0.5
K169-132,Qrfp.Lhx9.Rfx4.HY10.HY2,K169,252,NA,0.3
K169-154,Npvf.Lhx9.Rfx4.HY10.HY2,K169,146,Arcuate hypothalamic nucleus,0.17
K169-129,Tac2.Gad2.Arx.HY1,K169,249,Parasubthalamic nucleus,0.29
K169-139,Parpbp.Otx1.HY10.HY2,K169,229,NA,0.27
K169-150,Foxd2.Otx1.HY10.HY2,K169,153,NA,0.18
K169-107,Prph.Lef1.Hmx2.HY1,K169,380,Posterior/Mamillary region,0.44
K169-115,Crh.Lhx6.Arx.HY1,K169,328,Parastrial nucleus,0.38
K169-117,Skp1a.Gad2.Arx.HY1,K169,305,NA,0.36
K169-21,Anxa2.Pomc.Tcf7l2.Tbx3.HY1,K169,922,Arcuate hypothalamic nucleus,1.08
K169-35,Ttr.Pomc.Tcf7l2.Tbx3.HY1,K169,727,Arcuate hypothalamic nucleus,0.85
K169-121,Shox2.Tbr1.Nrn1.HY2,K169,306,Paraventricular hypothalamic nucleus,0.36
K169-123,Hk2.HY14.HY10.HY2,K169,297,Ventromedial hypothalamic nucleus,0.35
