gene,ensembl_gene_id,log2FoldChange,padj
Tom1l2,ENSMUSG00000000538,0.212500640440373,0.0546399458778822
Gpa33,ENSMUSG00000000544,2.18951966027762,0.278640611798784
Zfp385a,ENSMUSG00000000552,0.746651795476028,1.92968229561041e-08
Itga5,ENSMUSG00000000555,-1.54359349570956,0.0214847250753438
Gabra2,ENSMUSG00000000560,0.150800561293087,0.215788296272024
Wdr77,ENSMUSG00000000561,0.163007733785241,0.112888898177866
Adora3,ENSMUSG00000000562,-1.7321098001503,0.140603088507234
Atp5pb,ENSMUSG00000000563,0.658148616800694,2.2126084739169e-12
Sox9,ENSMUSG00000000567,-3.16517783525247,1.04171752807919e-53
Hnrnpd,ENSMUSG00000000568,-0.172162624181372,0.234783935402149
Dynlt1c,ENSMUSG00000000579,-0.71282385897208,0.000346911895341966
C1d,ENSMUSG00000000581,0.441563782282743,0.00902337323483084
Gm2a,ENSMUSG00000000594,-1.45298951547175,1.12024554113303e-24
Krit1,ENSMUSG00000000600,-0.0682835533638896,0.631435366606979
Clcn4,ENSMUSG00000000605,0.113707109237115,0.54997986765815
Vmn2r88,ENSMUSG00000000606,,
Grm6,ENSMUSG00000000617,,
Sema4f,ENSMUSG00000000627,0.738025465384914,2.88017165561317e-11
Hk2,ENSMUSG00000000628,-1.03260984878546,1.90462293187847e-07
Myo18a,ENSMUSG00000000631,0.0334651814003852,0.865342036379315
Sez6,ENSMUSG00000000632,0.585769521800313,0.000124419477748788
Haao,ENSMUSG00000000673,-0.442558278197159,0.66402212002697
Cd52,ENSMUSG00000000682,-2.53803323630584,0.00395298237943033
Abhd15,ENSMUSG00000000686,-1.16801549884805,0.0305362432230009
Hoxb6,ENSMUSG00000000690,,
Loxl3,ENSMUSG00000000693,-2.24137645486128,4.89476769856276e-10
Tcl1b5,ENSMUSG00000000701,,
Btn1a1,ENSMUSG00000000706,-0.156700988931471,0.785608787489652
Kat2b,ENSMUSG00000000708,-1.38893638024251,7.67644964199012e-26
Rab5b,ENSMUSG00000000711,0.084034971452012,0.458880367143066
Cryba1,ENSMUSG00000000724,-2.1056214448594,0.151954831133229
Dnmt3l,ENSMUSG00000000730,-0.761998863777637,0.566346809235443
Aire,ENSMUSG00000000731,0.211831062470581,
Icosl,ENSMUSG00000000732,-2.11884708230518,1.49404218607772e-12
Spg7,ENSMUSG00000000738,0.177332597595287,0.331444170981167
Sult5a1,ENSMUSG00000000739,-2.48190935524852,0.000625771061677924
Rpl13,ENSMUSG00000000740,-0.441758334422359,0.000107526930779141
Chmp1a,ENSMUSG00000000743,0.401899243693158,0.000143005971908476
Rpa1,ENSMUSG00000000751,-0.208854111411513,0.0773413978207109
Serpinf1,ENSMUSG00000000753,0.661607487427678,7.10659701130008e-05
Tubgcp3,ENSMUSG00000000759,0.127187501715451,0.425257705342337
Oprm1,ENSMUSG00000000766,0.462511988053942,0.000202315212270578
