cluster_id,cluster_name,gene,specificity,p_val_adj,avg_log2FC,pct.1,pct.2
K169-153,C1ql1.Gad2.Arx.HY1,Mylk,1.88441735955409,0.0000035273489217745,0.316848936562192,0.226,0.038
K169-153,C1ql1.Gad2.Arx.HY1,Sox2ot,2.39279176362988,0.00000456051112652237,1.40607351058663,0.679,0.399
K169-153,C1ql1.Gad2.Arx.HY1,Slc9a9,1.54050975937931,0.00000499635428968919,0.788167783868485,0.774,0.396
K169-153,C1ql1.Gad2.Arx.HY1,Rgmb,1.58229979839027,0.00000638595964610786,0.411314005947604,0.377,0.098
K169-153,C1ql1.Gad2.Arx.HY1,Samd5,1.55284675379126,0.00000719176951468267,0.806246261571093,0.755,0.392
K169-153,C1ql1.Gad2.Arx.HY1,Zfp608,1.2643616050806,0.00000907180214885237,0.752197467040224,0.906,0.539
K169-153,C1ql1.Gad2.Arx.HY1,Ret,2.49621301954493,0.0000111410467105905,0.408034820502537,0.208,0.034
K169-153,C1ql1.Gad2.Arx.HY1,Adgrg2,1.71840846944598,0.0000368370371514791,0.336408007246039,0.189,0.037
K169-153,C1ql1.Gad2.Arx.HY1,Arhgap42,1.63364891270823,0.0000509337354467638,0.454995055263564,0.377,0.105
K169-153,C1ql1.Gad2.Arx.HY1,Tmem178,1.41483361893544,0.0000658525642586344,0.33996002151099,0.283,0.068
K169-153,C1ql1.Gad2.Arx.HY1,St8sia3os,1.86372304431748,0.000128664352364712,0.381216077246757,0.264,0.054
K169-153,C1ql1.Gad2.Arx.HY1,Inpp4b,1.23584127560201,0.000130522513729756,0.880554324893426,0.887,0.632
K169-153,C1ql1.Gad2.Arx.HY1,Zfp804a,2.5543373266664,0.000159862949311604,1.58889044308677,0.717,0.446
K169-153,C1ql1.Gad2.Arx.HY1,Maoa,1.86992741717445,0.000193696515348248,0.72499304521806,0.472,0.183
K169-153,C1ql1.Gad2.Arx.HY1,Smoc1,1.60460676615843,0.000197792533361492,0.439892197576142,0.321,0.088
K169-153,C1ql1.Gad2.Arx.HY1,Pkib,1.77321720390703,0.000239559079243097,0.674149397798757,0.434,0.165
K169-153,C1ql1.Gad2.Arx.HY1,Egfem1,1.57082046657918,0.000310111788467698,1.1950631663124,0.811,0.617
K169-153,C1ql1.Gad2.Arx.HY1,Dlx6os1,1.96615833989035,0.000374252056942299,0.578895426333763,0.377,0.111
K169-153,C1ql1.Gad2.Arx.HY1,Lancl3,1.40614528705304,0.000432709777871471,0.372653344625363,0.283,0.075
K169-153,C1ql1.Gad2.Arx.HY1,Plch1,3.0372049007316,0.000563433280259841,0.804244288355719,0.321,0.085
K169-153,C1ql1.Gad2.Arx.HY1,Rbms3,1.51962510705958,0.000945001936213983,1.19270035429757,0.925,0.726
K169-54,Sncg.Gad2.Arx.HY1,Gm20649,6.66912121725098,2.40158035994499e-161,0.915830026312634,0.568,0.078
K169-54,Sncg.Gad2.Arx.HY1,Pmfbp1,6.95577154535544,1.11469419977957e-156,0.752859979026706,0.425,0.046
