cluster_id,cluster_name,gene,specificity,p_val_adj,avg_log2FC,pct.1,pct.2
K169-153,C1ql1.Gad2.Arx.HY1,Platr21,53.2343094866652,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000220117943109919,0.70509019187636,0.302,0.004
K169-153,C1ql1.Gad2.Arx.HY1,Gm12130,28.3542950443132,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000168852709892216,0.633615531716495,0.358,0.008
K169-153,C1ql1.Gad2.Arx.HY1,Gm40663,43.9204492331477,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000469987380252065,1.08637153580224,0.283,0.007
K169-153,C1ql1.Gad2.Arx.HY1,Nmbr,13.7978083287075,0.00000000000000000000000000000000000000000000000000000000000000656670429728179,0.487555064618639,0.283,0.01
K169-153,C1ql1.Gad2.Arx.HY1,Met,11.8354957733496,0.00000000000000000000000000000000000000000000000000000000000787123148871581,0.54368001785705,0.283,0.013
K169-153,C1ql1.Gad2.Arx.HY1,Gm12131,20.3020879995719,0.0000000000000000000000000000000000000000000000000000000000157243773934244,0.488030961528171,0.208,0.005
K169-153,C1ql1.Gad2.Arx.HY1,Gm32885,10.3338243068171,0.000000000000000000000000000000000000000000672379411491578,0.421788747217026,0.245,0.01
K169-153,C1ql1.Gad2.Arx.HY1,Onecut2,9.28953493120613,0.0000000000000000000000000000000000000000383702855986065,1.35749650857167,0.698,0.102
K169-153,C1ql1.Gad2.Arx.HY1,Nostrin,11.3058020009879,0.00000000000000000000000000000000000000177985024787174,0.553753567395328,0.245,0.012
K169-153,C1ql1.Gad2.Arx.HY1,Onecut3,7.40298473202254,0.00000000000000000000000000000000000795203151032865,0.530431927839621,0.321,0.023
K169-153,C1ql1.Gad2.Arx.HY1,Gm12128,10.4150300816032,0.000000000000000000000000000000180075048712239,0.510123922364237,0.245,0.012
K169-153,C1ql1.Gad2.Arx.HY1,Th,9.85335186139459,0.000000000000000000000000000115017615508375,1.01431563279062,0.34,0.035
K169-153,C1ql1.Gad2.Arx.HY1,Arx,7.16777011489529,0.000000000000000000000000000317712157373114,0.531884001458661,0.283,0.021
K169-153,C1ql1.Gad2.Arx.HY1,Kcns3,5.69845265899242,0.000000000000000000000000000846022250284696,0.497061291127065,0.321,0.028
K169-153,C1ql1.Gad2.Arx.HY1,Sncg,7.16760056970431,0.00000000000000000000000000979454928435309,0.941200074809657,0.396,0.052
K169-153,C1ql1.Gad2.Arx.HY1,Scn7a,7.19573624423747,0.000000000000000000000000176353109641099,1.09765468132436,0.472,0.072
K169-153,C1ql1.Gad2.Arx.HY1,D930028M14Rik,5.45668418846779,0.0000000000000000000827733101899822,0.512260148305139,0.245,0.023
K169-153,C1ql1.Gad2.Arx.HY1,Six3os1,3.04229814397619,0.00000000000000000185986707848333,0.498497045278026,0.415,0.068
K169-153,C1ql1.Gad2.Arx.HY1,Gm20649,3.52438835573622,0.0000000000000000217009214260702,0.627221656529328,0.472,0.084
K169-153,C1ql1.Gad2.Arx.HY1,Pmfbp1,2.88068075555491,0.0000000000000000366957861289923,0.423629522875722,0.34,0.05
K169-153,C1ql1.Gad2.Arx.HY1,Gulp1,7.16797238019808,0.000000000000000157823637382626,1.56419736262797,0.472,0.103
K169-153,C1ql1.Gad2.Arx.HY1,Npas1,4.69881245237729,0.00000000000000216182593773102,0.519780138537311,0.226,0.025
K169-153,C1ql1.Gad2.Arx.HY1,Thbs4,3.49028858667796,0.0000000000000244759921613208,0.266904421334197,0.17,0.013
K169-153,C1ql1.Gad2.Arx.HY1,Gm38505,4.30988985104989,0.0000000000000918752232797979,1.0448217820727,0.528,0.128
K169-153,C1ql1.Gad2.Arx.HY1,Nmur2,2.53649374680815,0.000000000000186623901140071,0.355493441787506,0.264,0.037
K169-153,C1ql1.Gad2.Arx.HY1,Ddc,3.01730527107013,0.00000000000126078325195914,0.912928261503271,0.585,0.177
K169-153,C1ql1.Gad2.Arx.HY1,Six3,2.70505902351123,0.00000000000161625914420379,0.796187390832372,0.547,0.161
K169-153,C1ql1.Gad2.Arx.HY1,Fbn2,2.624507910922,0.0000000000129085366172756,0.556713799286484,0.396,0.084
K169-153,C1ql1.Gad2.Arx.HY1,Slc18a2,3.44008961126299,0.0000000000440314561871183,0.766492114976368,0.377,0.084
K169-153,C1ql1.Gad2.Arx.HY1,Nr4a2,2.77150373561177,0.000000000102284007136151,0.429865885523458,0.245,0.038
K169-153,C1ql1.Gad2.Arx.HY1,Sv2b,2.30151346913406,0.000000000733191299274482,0.762090552693397,0.604,0.2
