gene,ensembl_gene_id,log2FoldChange,padj
Gabra2,ENSMUSG00000000560,-0.00287487183732789,0.990726642120545
Wdr77,ENSMUSG00000000561,0.139584992930483,0.279771774022081
Adora3,ENSMUSG00000000562,-5.00245487216224,0.0946585590715383
Atp5pb,ENSMUSG00000000563,0.144227355072833,0.326860674177256
Sox9,ENSMUSG00000000567,-2.02890150494949,1.29057073237893e-12
Hnrnpd,ENSMUSG00000000568,-0.162112608556946,0.0554201381160699
Dynlt1c,ENSMUSG00000000579,0.970510741141078,0.00167457863596381
C1d,ENSMUSG00000000581,0.969026866609479,1.35599593321984e-14
Gm2a,ENSMUSG00000000594,-0.603865817725954,0.0345751125656533
Krit1,ENSMUSG00000000600,-0.0527979445532608,0.723532393395573
Clcn4,ENSMUSG00000000605,-0.309010128146136,0.0239311366053291
Vmn2r88,ENSMUSG00000000606,,
Grm6,ENSMUSG00000000617,-0.540427902501454,
Sema4f,ENSMUSG00000000627,0.783651226936706,0.00540638600156368
Hk2,ENSMUSG00000000628,0.645032572641266,0.260127183983089
Myo18a,ENSMUSG00000000631,-0.706628038323283,2.49997908913599e-05
Sez6,ENSMUSG00000000632,-1.24630161920893,3.49271753966415e-06
Haao,ENSMUSG00000000673,-0.355858233128404,0.894237101304534
Cd52,ENSMUSG00000000682,-0.010338082600039,0.995296532894109
Abhd15,ENSMUSG00000000686,1.56922167361411,0.0699699110622098
Hoxb6,ENSMUSG00000000690,-1.47411826926551,
Loxl3,ENSMUSG00000000693,-0.576950343303376,0.746306904419995
Tcl1b5,ENSMUSG00000000701,,
Btn1a1,ENSMUSG00000000706,-6.46537505808428,0.00400408389536018
Kat2b,ENSMUSG00000000708,-1.45220689584913,1.29337591053665e-08
Rab5b,ENSMUSG00000000711,0.050657812299495,0.689951211848553
Cryba1,ENSMUSG00000000724,-2.77784678285625,0.426648978046901
Dnmt3l,ENSMUSG00000000730,-3.13355522594428,0.352310346912067
Aire,ENSMUSG00000000731,-0.540427902501454,
Icosl,ENSMUSG00000000732,-2.76831440152547,0.0354378807034092
Spg7,ENSMUSG00000000738,0.0774088655865713,0.775938677645991
Sult5a1,ENSMUSG00000000739,-0.671804986039066,0.747033074285993
Rpl13,ENSMUSG00000000740,1.52332745133884,5.41288018434826e-70
Chmp1a,ENSMUSG00000000743,0.708503999719515,3.45451227939073e-06
Rpa1,ENSMUSG00000000751,-0.581425533531553,0.0456631328500813
Serpinf1,ENSMUSG00000000753,-2.43400162778418,0.00140030279932985
Tubgcp3,ENSMUSG00000000759,0.164535291123048,0.503075250900864
Oprm1,ENSMUSG00000000766,-0.354651879731897,0.334890771818341
Polr3d,ENSMUSG00000000776,0.625236619125396,0.00129970785699561
Tcf7,ENSMUSG00000000782,-0.424521524865051,0.762700948129113
Ddx3x,ENSMUSG00000000787,-0.092641956613147,0.704042045581223
Il12rb1,ENSMUSG00000000791,0.588926343073841,0.802966688960206
Slc5a5,ENSMUSG00000000792,-1.3263970745643,2.12267567535488e-11
Kcnn3,ENSMUSG00000000794,0.103021081721892,0.766400635176271
Usp32,ENSMUSG00000000804,0.021975351929255,0.875829722392389
Car4,ENSMUSG00000000805,-1.20751892748896,0.528083505527233
Txnrd3,ENSMUSG00000000811,0.00953988867622182,0.983742466521355
Fasl,ENSMUSG00000000817,-1.08771539732046,0.83781555547152
Zfp512b,ENSMUSG00000000823,0.208862917690449,0.501017960555278
Dnajc5,ENSMUSG00000000826,0.123630329362479,0.181217027677033
Tpd52l2,ENSMUSG00000000827,0.0287203145130975,0.928005718380955
Fmr1,ENSMUSG00000000838,-0.990080579735525,1.16165483753652e-09
Bcl11a,ENSMUSG00000000861,-1.25717157580303,0.00117815274538258
Il4,ENSMUSG00000000869,-1.12345538641537,0.302450338658848
Pxmp4,ENSMUSG00000000876,-0.664569431281139,0.00682476944232858
Dlg3,ENSMUSG00000000881,0.133692610464497,0.611603144674206
Gnb1l,ENSMUSG00000000884,0.180425454513838,0.892038737785149
Dbh,ENSMUSG00000000889,-5.50408210805441,0.0721397264451896
Mmp11,ENSMUSG00000000901,-1.06026590673098,0.407887613122437
Smarcb1,ENSMUSG00000000902,0.0506556290038007,0.866631550605039
Vpreb3,ENSMUSG00000000903,-0.443935046894311,0.78836821427086
Hip1r,ENSMUSG00000000915,-0.435108725223358,0.210057669144165
Nsun5,ENSMUSG00000000916,-0.460713513257139,0.244952393272641
Top1mt,ENSMUSG00000000934,0.36555529539847,0.118598500874299
Hoxa10,ENSMUSG00000000938,,
Hoxa4,ENSMUSG00000000942,,
Gm38393,ENSMUSG00000000948,-2.00923809388093,4.07590374697969e-43
Mmp14,ENSMUSG00000000957,-1.69753988592788,4.1182349900226e-11
Slc7a7,ENSMUSG00000000958,-2.11976940929214,0.0618410448516305
Oxa1l,ENSMUSG00000000959,0.330115938454681,0.0855341245515584
Heatr6,ENSMUSG00000000976,0.614233944061434,0.000150896874795946
Ccl3,ENSMUSG00000000982,-1.72895881429633,0.521185952469643
Wfdc18,ENSMUSG00000000983,0.120097311276894,0.953201402400622
Icam4,ENSMUSG00000001014,-2.22064120673982,0.0478524562479062
Ilf2,ENSMUSG00000001016,-0.0904186179093024,0.752826942851145
Chtop,ENSMUSG00000001017,0.00355970622875615,0.982747364278296
Snapin,ENSMUSG00000001018,0.672050692936961,6.96079415305746e-10
S100a4,ENSMUSG00000001020,-0.479588025479442,0.566315384234823
S100a3,ENSMUSG00000001021,-0.986329061755099,0.665624495502684
S100a5,ENSMUSG00000001023,,
S100a6,ENSMUSG00000001025,-1.45867175280293,0.00119582668078185
Scn4a,ENSMUSG00000001027,-2.47618583921635,
Icam2,ENSMUSG00000001029,1.76357888552434,0.0663698634455297
Mapk7,ENSMUSG00000001034,0.533928003033625,0.375390355790471
Epn2,ENSMUSG00000001036,-0.664070328212207,0.000142294408813477
B9d1,ENSMUSG00000001039,0.58709706383709,1.741377294792e-06
Sec24b,ENSMUSG00000001052,0.0514761698966811,0.895791164310024
N4bp3,ENSMUSG00000001053,-0.504723920112287,0.740532133718081
Rmnd5b,ENSMUSG00000001054,-0.0959827858553373,0.656451646722561
Nhp2,ENSMUSG00000001056,-0.276235262986502,0.462549027247792
Vps9d1,ENSMUSG00000001062,-0.100192426084496,0.63072094349064
Zfp276,ENSMUSG00000001065,-0.740468585521113,0.0673028053011824
C1ql4,ENSMUSG00000001076,-3.04138258557749,0.361796391800438
Mfsd10,ENSMUSG00000001082,0.509595789419065,0.17826181602519
Luzp1,ENSMUSG00000001089,-1.63059277068623,6.52731666570785e-25
