from,to,nchildren,height
K169-139,K240-160,2,2
K169-150,K240-187,1,2
K169-2,K240-89,2,2
K169-2,K240-14,2,2
K169-2,K240-98,2,2
K169-57,K240-33,2,2
K169-104,K240-159,1,2
K169-104,K240-146,1,2
K169-26,K240-101,1,2
K169-26,K240-90,2,2
K169-26,K240-199,1,2
K169-120,K240-123,1,2
K169-175,K240-249,1,2
K169-91,K240-84,1,2
K169-27,K240-20,2,2
K169-8,K240-136,1,2
K169-8,K240-17,3,2
K169-109,K240-102,1,2
K169-109,K240-234,1,2
K169-100,K240-85,1,2
K169-79,K240-65,2,2
K169-143,K240-144,1,2
K169-3,K240-177,1,2
K169-3,K240-18,1,2
K169-3,K240-67,1,2
K169-3,K240-191,1,2
K169-62,K240-57,1,2
K169-171,K240-230,1,2
K169-66,K240-79,2,2
K169-47,K240-34,4,2
K169-160,K240-211,1,2
K169-43,K240-29,2,2
K169-64,K240-72,1,2
K169-34,K240-21,1,2
K169-42,K240-27,1,2
K169-53,K240-40,3,2
K169-111,K240-215,1,2
K169-111,K240-117,1,2
K169-19,K240-75,2,2
K169-19,K240-73,1,2
K169-46,K240-58,1,2
K169-46,K240-189,1,2
K169-11,K240-3,2,2
K169-165,K240-220,1,2
K169-101,K240-97,1,2
K169-135,K240-154,1,2
K169-163,K240-214,1,2
K169-16,K240-7,2,2
K169-16,K240-231,1,2
K169-86,K240-225,1,2
K169-86,K240-92,3,2
K169-86,K240-238,1,2
K169-51,K240-196,2,2
K169-51,K240-88,2,2
K169-51,K240-176,2,2
K169-23,K240-12,2,2
K169-23,K240-203,1,2
K169-23,K240-246,1,2
K169-65,K240-46,2,2
K169-7,K240-6,2,2
K169-90,K240-41,2,2
K169-161,K240-216,1,2
K169-22,K240-70,2,2
K169-22,K240-91,2,2
K169-170,K240-227,1,2
K169-40,K240-30,3,2
K169-144,K240-167,1,2
K169-166,K240-224,1,2
K240-213,K329-262,0,1
K240-210,K329-252,0,1
K240-44,K329-33,0,1
K240-209,K329-256,0,1
K240-86,K329-96,0,1
K240-86,K329-257,0,1
K240-195,K329-230,0,1
K240-173,K329-170,0,1
K240-178,K329-208,0,1
K240-77,K329-79,0,1
K240-77,K329-264,0,1
K240-77,K329-387,0,1
K240-118,K329-105,0,1
K240-113,K329-110,0,1
K240-200,K329-244,0,1
K240-76,K329-47,0,1
K240-74,K329-240,0,1
K240-74,K329-122,0,1
K240-108,K329-61,0,1
K240-96,K329-164,0,1
K240-185,K329-239,0,1
K240-134,K329-140,0,1
K240-66,K329-63,0,1
K240-43,K329-90,0,1
K240-43,K329-115,0,1
K240-205,K329-253,0,1
K240-172,K329-192,0,1
K240-47,K329-65,0,1
K240-47,K329-190,0,1
K240-164,K329-227,0,1
K240-132,K329-136,0,1
K240-226,K329-271,0,1
K240-82,K329-207,0,1
K240-82,K329-124,0,1
K240-82,K329-279,0,1
K240-129,K329-152,0,1
K240-219,K329-268,0,1
K240-233,K329-288,0,1
K240-156,K329-175,0,1
K240-169,K329-171,0,1
K240-93,K329-82,0,1
K240-150,K329-161,0,1
K240-184,K329-214,0,1
K240-38,K329-21,0,1
K240-147,K329-231,0,1
K240-147,K329-234,0,1
K240-147,K329-283,0,1
K240-149,K329-166,0,1
K240-149,K329-236,0,1
K240-105,K329-143,0,1
K240-142,K329-165,0,1
K240-106,K329-129,0,1
K240-138,K329-108,0,1
K240-197,K329-226,0,1
K240-193,K329-225,0,1
K240-104,K329-106,0,1
K240-122,K329-118,0,1
K240-151,K329-172,0,1
K240-95,K329-94,0,1
K240-190,K329-222,0,1
K240-114,K329-95,0,1
K240-114,K329-285,0,1
K240-218,K329-254,0,1
K240-99,K329-104,0,1
K240-99,K329-383,0,1
K240-208,K329-255,0,1
K240-174,K329-199,0,1
K240-180,K329-201,0,1
K240-35,K329-15,0,1
K240-59,K329-134,0,1
K240-59,K329-183,0,1
K240-59,K329-278,0,1
K240-119,K329-233,0,1
K240-119,K329-301,0,1
K240-119,K329-340,0,1
K240-83,K329-69,0,1
K240-179,K329-213,0,1
K240-53,K329-155,0,1
K240-53,K329-269,0,1
K240-45,K329-77,0,1
K240-45,K329-193,0,1
K240-45,K329-88,0,1
K240-137,K329-141,0,1
K240-135,K329-128,0,1
K240-135,K329-371,0,1
K240-186,K329-220,0,1
K240-153,K329-169,0,1
K240-69,K329-57,0,1
K240-143,K329-137,0,1
K240-223,K329-276,0,1
K240-60,K329-46,0,1
K240-127,K329-142,0,1
K240-182,K329-209,0,1
K240-158,K329-212,0,1
K240-158,K329-267,0,1
K240-87,K329-99,0,1
K240-1,K329-40,0,1
K240-1,K329-23,0,1
K240-28,K329-12,0,1
K240-133,K329-133,0,1
K240-26,K329-9,0,1
K240-8,K329-34,0,1
K240-8,K329-84,0,1
K240-121,K329-125,0,1
K240-55,K329-36,0,1
K240-55,K329-331,0,1
K240-94,K329-78,0,1
K240-141,K329-147,0,1
K240-39,K329-22,0,1
K240-175,K329-210,0,1
K240-23,K329-5,0,1
K240-11,K329-1,0,1
K240-11,K329-332,0,1
K240-206,K329-242,0,1
K240-206,K329-287,0,1
K240-13,K329-2,0,1
K240-253,K329-350,0,1
K240-254,K329-346,0,1
K240-62,K329-55,0,1
K240-19,K329-81,0,1
K240-19,K329-25,0,1
K240-37,K329-54,0,1
K240-37,K329-206,0,1
K240-37,K329-303,0,1
K240-258,K329-348,0,1
K240-2,K329-72,0,1
K240-2,K329-29,0,1
K240-63,K329-43,0,1
K240-36,K329-16,0,1
K240-64,K329-62,0,1
K240-64,K329-313,0,1
K240-51,K329-30,0,1
K240-61,K329-50,0,1
K240-32,K329-11,0,1
K240-139,K329-149,0,1
K240-103,K329-75,0,1
K240-181,K329-204,0,1
K240-16,K329-3,0,1
K240-16,K329-302,0,1
K240-16,K329-381,0,1
K240-78,K329-66,0,1
K240-78,K329-306,0,1
K240-42,K329-28,0,1
K240-250,K329-367,0,1
K240-120,K329-237,0,1
K240-120,K329-194,0,1
K240-50,K329-42,0,1
K240-10,K329-48,0,1
K240-24,K329-32,0,1
K240-24,K329-45,0,1
K240-5,K329-8,0,1
K240-5,K329-219,0,1
K240-241,K329-365,0,1
K240-112,K329-98,0,1
K240-68,K329-41,0,1
K240-68,K329-388,0,1
K240-68,K329-360,0,1
K240-15,K329-27,0,1
K240-54,K329-100,0,1
K240-9,K329-10,0,1
K240-9,K329-315,0,1
K240-194,K329-217,0,1
K240-194,K329-312,0,1
K240-194,K329-289,0,1
K240-25,K329-14,0,1
K240-109,K329-107,0,1
K240-80,K329-117,0,1
K240-80,K329-139,0,1
K240-232,K329-294,0,1
K240-4,K329-31,0,1
K240-4,K329-68,0,1
K240-52,K329-35,0,1
K240-31,K329-19,0,1
K240-56,K329-37,0,1
K240-140,K329-157,0,1
K240-116,K329-101,0,1
K240-71,K329-131,0,1
K240-71,K329-216,0,1
K240-125,K329-130,0,1
K240-125,K329-280,0,1
K240-49,K329-38,0,1
K240-217,K329-263,0,1
K240-204,K329-245,0,1
K240-130,K329-132,0,1
K240-171,K329-191,0,1
K240-183,K329-215,0,1
K240-81,K329-113,0,1
K240-81,K329-241,0,1
K240-131,K329-138,0,1
K240-165,K329-173,0,1
K240-155,K329-189,0,1
K240-212,K329-261,0,1
K240-107,K329-86,0,1
K240-115,K329-144,0,1
K240-115,K329-265,0,1
K240-192,K329-223,0,1
K240-202,K329-247,0,1
K240-202,K329-304,0,1
K240-202,K329-337,0,1
K240-207,K329-251,0,1
K240-201,K329-249,0,1
K240-126,K329-123,0,1
K240-111,K329-97,0,1
K240-188,K329-221,0,1
K240-48,K329-83,0,1
K240-48,K329-145,0,1
K240-170,K329-196,0,1
K240-163,K329-184,0,1
K240-145,K329-158,0,1
K240-228,K329-282,0,1
K240-168,K329-205,0,1
K240-124,K329-120,0,1
K240-124,K329-370,0,1
K240-222,K329-274,0,1
K240-166,K329-182,0,1
K240-148,K329-163,0,1
K240-198,K329-228,0,1
K240-162,K329-180,0,1
K240-100,K329-243,0,1
K240-100,K329-154,0,1
K240-110,K329-102,0,1
K240-152,K329-167,0,1
K240-161,K329-174,0,1
K240-22,K329-56,0,1
K240-22,K329-246,0,1
K240-22,K329-197,0,1
K240-157,K329-176,0,1
K240-128,K329-127,0,1
K240-160,K329-177,0,1
K240-160,K329-314,0,1
K240-187,K329-224,0,1
K240-89,K329-168,0,1
K240-89,K329-151,0,1
K240-14,K329-259,0,1
K240-14,K329-24,0,1
K240-98,K329-85,0,1
K240-98,K329-357,0,1
K240-33,K329-73,0,1
K240-33,K329-93,0,1
K240-159,K329-185,0,1
K240-146,K329-162,0,1
K240-101,K329-89,0,1
K240-90,K329-150,0,1
K240-90,K329-250,0,1
K240-199,K329-229,0,1
K240-123,K329-116,0,1
K240-249,K329-347,0,1
K240-84,K329-70,0,1
K240-20,K329-114,0,1
K240-20,K329-59,0,1
K240-136,K329-153,0,1
K240-17,K329-74,0,1
K240-17,K329-188,0,1
K240-17,K329-178,0,1
K240-102,K329-92,0,1
K240-234,K329-300,0,1
K240-85,K329-71,0,1
K240-65,K329-51,0,1
K240-65,K329-293,0,1
K240-144,K329-121,0,1
K240-177,K329-200,0,1
K240-18,K329-13,0,1
K240-67,K329-52,0,1
K240-191,K329-195,0,1
K240-57,K329-44,0,1
K240-230,K329-286,0,1
K240-79,K329-146,0,1
K240-79,K329-179,0,1
K240-34,K329-112,0,1
K240-34,K329-126,0,1
K240-34,K329-238,0,1
K240-34,K329-317,0,1
K240-211,K329-260,0,1
K240-29,K329-17,0,1
K240-29,K329-296,0,1
K240-72,K329-60,0,1
K240-21,K329-7,0,1
K240-27,K329-20,0,1
K240-40,K329-53,0,1
K240-40,K329-186,0,1
K240-40,K329-341,0,1
K240-215,K329-266,0,1
K240-117,K329-119,0,1
K240-75,K329-135,0,1
K240-75,K329-160,0,1
K240-73,K329-64,0,1
K240-58,K329-49,0,1
K240-189,K329-211,0,1
K240-3,K329-159,0,1
K240-3,K329-6,0,1
K240-220,K329-270,0,1
K240-97,K329-91,0,1
K240-154,K329-181,0,1
K240-214,K329-258,0,1
K240-7,K329-26,0,1
K240-7,K329-109,0,1
K240-231,K329-298,0,1
K240-225,K329-273,0,1
K240-92,K329-80,0,1
K240-92,K329-309,0,1
K240-92,K329-307,0,1
K240-238,K329-295,0,1
K240-196,K329-232,0,1
K240-196,K329-321,0,1
K240-88,K329-111,0,1
K240-88,K329-319,0,1
K240-176,K329-202,0,1
K240-176,K329-384,0,1
K240-12,K329-4,0,1
K240-12,K329-369,0,1
K240-203,K329-248,0,1
K240-246,K329-335,0,1
K240-46,K329-67,0,1
K240-46,K329-198,0,1
K240-6,K329-148,0,1
K240-6,K329-18,0,1
K240-41,K329-156,0,1
K240-41,K329-87,0,1
K240-216,K329-218,0,1
K240-70,K329-58,0,1
K240-70,K329-351,0,1
K240-91,K329-76,0,1
K240-91,K329-329,0,1
K240-227,K329-281,0,1
K240-30,K329-39,0,1
K240-30,K329-235,0,1
K240-30,K329-272,0,1
K240-167,K329-187,0,1
K240-224,K329-275,0,1
