cluster_id,cluster_name,gene,avg_log2FC,p_val_adj,pct.1,pct.2,pct_diff
K98-37,Trh.Sim1.Nrn1.HY2,Rps8,2.31320318185616,0.0000000000430262691113502,0.767,0.486,0.281
K169-29,Trh.Sim1.Nrn1.HY2,Rps8,2.31320318185616,0.0000000000430262691113502,0.767,0.486,0.281
K98-37,Trh.Sim1.Nrn1.HY2,Rpl38,1.78738623660484,0.0000000000447323179486425,0.738,0.3,0.438
K169-29,Trh.Sim1.Nrn1.HY2,Rpl38,1.78738623660484,0.0000000000447323179486425,0.738,0.3,0.438
K98-37,Trh.Sim1.Nrn1.HY2,Rpl21,1.69747994285151,0.0000000000447495939061921,0.738,0.286,0.452
K169-29,Trh.Sim1.Nrn1.HY2,Rpl21,1.69747994285151,0.0000000000447495939061921,0.738,0.286,0.452
K98-37,Trh.Sim1.Nrn1.HY2,Nrsn2,1.73484106089364,0.0000000000517587034693401,0.742,0.329,0.413
K169-29,Trh.Sim1.Nrn1.HY2,Nrsn2,1.73484106089364,0.0000000000517587034693401,0.742,0.329,0.413
K98-37,Trh.Sim1.Nrn1.HY2,Bex2,1.62082211164466,0.0000000000743570311604277,0.804,0.457,0.347
K169-29,Trh.Sim1.Nrn1.HY2,Bex2,1.62082211164466,0.0000000000743570311604277,0.804,0.457,0.347
K98-37,Trh.Sim1.Nrn1.HY2,Tmx4,1.47935118924695,0.0000000000838496386565869,0.838,0.586,0.252
K169-29,Trh.Sim1.Nrn1.HY2,Tmx4,1.47935118924695,0.0000000000838496386565869,0.838,0.586,0.252
K98-37,Trh.Sim1.Nrn1.HY2,Rpl8,1.76398529080737,0.0000000000867287342696418,0.662,0.157,0.505
K169-29,Trh.Sim1.Nrn1.HY2,Rpl8,1.76398529080737,0.0000000000867287342696418,0.662,0.157,0.505
K98-37,Trh.Sim1.Nrn1.HY2,Rps16,1.43934311619407,0.000000000103684112296826,0.671,0.143,0.528
K169-29,Trh.Sim1.Nrn1.HY2,Rps16,1.43934311619407,0.000000000103684112296826,0.671,0.143,0.528
K98-37,Trh.Sim1.Nrn1.HY2,Spcs1,1.4934018039362,0.000000000127261048970487,0.658,0.129,0.529
K169-29,Trh.Sim1.Nrn1.HY2,Spcs1,1.4934018039362,0.000000000127261048970487,0.658,0.129,0.529
K98-37,Trh.Sim1.Nrn1.HY2,Pgrmc1,1.48381339162811,0.000000000255053213013042,0.754,0.329,0.425
K169-29,Trh.Sim1.Nrn1.HY2,Pgrmc1,1.48381339162811,0.000000000255053213013042,0.754,0.329,0.425
K98-37,Trh.Sim1.Nrn1.HY2,Stmn1,1.77022386692049,0.000000000266995914827349,0.725,0.314,0.411
K169-29,Trh.Sim1.Nrn1.HY2,Stmn1,1.77022386692049,0.000000000266995914827349,0.725,0.314,0.411
K98-37,Trh.Sim1.Nrn1.HY2,Fkbp2,1.418419621387,0.000000000322278472506293,0.713,0.229,0.484
K169-29,Trh.Sim1.Nrn1.HY2,Fkbp2,1.418419621387,0.000000000322278472506293,0.713,0.229,0.484
K98-37,Trh.Sim1.Nrn1.HY2,Hsp90aa1,1.74040486612224,0.000000000377013818232188,0.717,0.314,0.403
K169-29,Trh.Sim1.Nrn1.HY2,Hsp90aa1,1.74040486612224,0.000000000377013818232188,0.717,0.314,0.403
K98-37,Trh.Sim1.Nrn1.HY2,Rps3a1,1.63033421930882,0.000000000418815474522541,0.637,0.129,0.508
K169-29,Trh.Sim1.Nrn1.HY2,Rps3a1,1.63033421930882,0.000000000418815474522541,0.637,0.129,0.508
K98-37,Trh.Sim1.Nrn1.HY2,Sec62,1.43809060060902,0.000000000441027902862937,0.833,0.586,0.247
K169-29,Trh.Sim1.Nrn1.HY2,Sec62,1.43809060060902,0.000000000441027902862937,0.833,0.586,0.247
K98-37,Trh.Sim1.Nrn1.HY2,Meg3,-0.613709413508365,0.000000000517192549504957,1,1,0
K169-29,Trh.Sim1.Nrn1.HY2,Meg3,-0.613709413508365,0.000000000517192549504957,1,1,0
K98-37,Trh.Sim1.Nrn1.HY2,Rpl11,1.33042008796402,0.000000000643483686464601,0.708,0.243,0.465
