mean	sd	sem	class
0.743770812947665	0.264177774737492	0.0184961438303874	G-protein coupled receptors
0.737213008185474	0.225745544110902	0.0277873556065517	growth factors
0.735973104618113	0.204866833684437	0.0135379814315015	ion channels
0.689030631542735	0.252293485512834	0.0426453825442918	ligand-dependent nuclear receptors
0.543747053495378	0.302920554663459	0.00936171471599639	transcription regulators
0.357733942231559	0.253773173061416	0.0268999025447588	translation regulators
0.674511134423911	0.30150009020399	0.020055487673198	transmembrane receptors
0.789426628810031	0.23604078935901	0.0267263564912569	neuropeptide/hormones
