C185	global_cor	n_markers	Affinati10x	Anderson10x	CampbellDropseq	ChenDropseq	Dowsett10xnuc	Flynn10x	Kim10x	KimDev10x	LeeDropseq	Mickelsen10x	Moffit10x	Morris10x	Mousebrainorg10x	RomanovDev10x	RossiDropseq	Rupp10x	Wen10x	wenDropseq
C185-148	0.33773	302		0.252659894924523	0.221414636387866	0.143930876648818		0.266974516412582	0.656877856286839	0.243077531368289	0.232086593240213	0.238911250588172	0.22627512024387		0.204677529480217	0.193779235540576	0.217141327848593		0.175013320832343	0.231861327159726
C185-149	0.35156	274		0.307544466995664	0.27951421578539	0.222477251707215		0.323022733595366	0.607645736609971	0.310117210929742	0.282868477950415	0.283425953608546	0.274306380720041		0.242043351841061		0.292633012008919		0.238664145491754	0.313725854273855
C185-150	0.32611	346		0.289855270698554	0.221596256609312	0.198355568470311		0.316756006251771	0.662510064223701	0.284512164550808	0.272271051833073	0.299373351976978	0.237083937168715	0.132766621105404	0.241630816123312	0.242330402255733	0.260173857030384		0.196254500672732	0.28668189004309
C185-152	0.46011	310		0.450043987859734	0.343440422849612	0.322497238206381		0.462433628085717	0.761707081384179	0.423277179269735	0.409962848625605	0.456765329847292	0.354825518461523		0.328723620246019	0.385175396560182	0.393243307822813		0.334903850204717	0.440521796735199
C185-153	0.51881	456		0.490080596520478	0.453646541027116	0.389848979632238		0.560478354301764	0.791021982117624	0.494335052575327		0.556401747245616	0.416792432905583	0.353619771326743	0.435022282850574	0.505063132471982			0.400473890247312	0.507177517922214
C185-156	0.4648	355		0.349188098188601	0.383470721807823	0.341915657777582		0.443745343650091	0.71381934040837	0.446388596339543	0.424768734793585	0.526677465626314	0.341696975962134	0.293762786611867	0.414515510304214	0.61669653809605	0.48550222730238		0.329008208051049	0.488849450777787
C185-158	0.35152	400		0.163054843799337	0.152769968687803	0.156695195845958		0.293674210923991	0.82162288238252	0.250342766745161	0.203340263228108	0.290477062129034	0.235711748814648	0.144511860182269	0.18802585510707		0.178983134898624		0.190868964914777	0.235845138593757
C185-159	0.57239	536		0.249694897111283	0.249347776328097	0.228323636450153		0.345365147909374	0.879786384673065	0.300391801938807	0.27623060511588	0.33486345540123	0.313487920444475	0.244754322776372	0.24250353750142	0.316854280150932	0.260718735258571		0.239425072111962	0.249660443078409
C185-161	0.42196	341		0.245152017420866	0.255989721713814	0.245832438155668			0.869559346241072	0.290001692931608			0.347934513523704	0.248979036572812	0.304382258893355		0.300268365412945		0.268432456452802	0.341770680879947
C185-164	0.29481	558		0.284195816405167	0.302135458795855	0.320503651169772		0.342286498696196	0.41661977270573	0.291623407052041	0.363603520040344	0.272192289979816	0.196349554767441	0.102464841421469	0.212696663419077		0.349492695713076		0.22186403093728	0.36718131017488
C185-173	0.22846	382			0.229891589617519	0.179642074817682								0.123314948516277		0.283531998379636				
C185-18	0.82556	19			0.848577773679948	0.84495184531707		0.816876139208116	0.770183067238121			0.832023144862224	0.702164013080504		0.714502081553293		0.839981459785524			0.88231480322044
C185-183	0.15849	402		0.132465976463062	0.167063317650018	0.163185575535588		0.314212258156976		0.21149212030986	0.293886503828665	0.338258640520079		-0.0930472444388323	0.0613770472786978		0.193414235693858		0.0596772040451358	0.177791828265158
C185-184	0.19112	461				0.0155458337744001					0.263577124962163									
C185-19	0.2208	102			0.00575969283820777	0.0498870958768485		0.215897493968593			0.153933570257263	0.253057066838253			0.228867985038111		0.109242279850277			
C185-2	0.75718	58		0.322165919564331				0.399992580910854	0.929724908984616			0.392176127816897			0.309103381549118					
C185-20	0.22963	105				0.157573908963559		0.231275452893974					0.338040311559946		0.128633298980902					
C185-22	0.7688	50		0.0587305035229981	-0.00941732050995571	-0.0250951158531883		0.184101162309621	0.847432768210805			0.0865959241324245	0.374682429421451		0.0673103067082162					0.0196858737015103
C185-23	0.74817	81		-0.0148206236677078	-0.0709389394172151	-0.131215075163293			0.85232962161138			0.049348607369462	0.196887918337523		0.0156717928158354					-0.0104970875594555
C185-24	0.79046	63		0.0244912242612718	0.017453171484976	-0.0311905726391564			0.838597987593792			-0.0133782659528791	0.270416373014977		0.0539559417434907		0.0977931007318107			-0.0150408783997931
C185-25	0.79625	115		0.0883465980725468		0.144528297475144			0.900858857649632			0.118981757138188	0.417707501725165		0.261930721826761					
C185-26	0.85159	177		0.262056659225004					0.863128722670424						0.155552504775083					0.0674906043264334
C185-27	0.86632	141		0.0778403585191578					0.894438433935773											
C185-28	0.8386	150		0.0863844754962698					0.877460760520714			0.0777743841352444			0.222893635102968					
C185-30	0.78815	109		0.2590959714234	0.263187668876222	0.169816912813874			0.922099490244571						0.245519096704106					0.244965523609261
C185-31	0.82861	93		0.03255800965201	0.0959746078239006	0.077197032115122			0.922076089680533			0.0843853174223248			0.109667334458929		0.0915476968674899			0.016622275682672
C185-32	0.75378	92		0.245008846809614	0.242021177025947	0.197683400120881			0.898342437578575						0.260666801649868					0.209886020225165
C185-33	0.8317	113		0.176441881822285	0.24315496191323	0.290311741845165			0.898776959589216			0.202462935543745			0.195419255834245					
C185-35	0.76011	85		-0.0347377644539155					0.923873333210777						0.0942872569379352					0.0922103778015954
C185-36	0.79413	123		0.0931552681173957	0.0984719891778072	0.0332026941656224			0.95101459734199			0.196350851775047		0.194053486371794	0.0558168331426428					0.0909117138223061
C185-37	0.79004	46		0.346200442369925	0.227564656027622	0.22903985915912			0.942587786389361		0.353287530834118	0.249695321286428		0.315265086339112	0.185635337219796				0.286217139686484	0.290760555598127
C185-38	0.52751	34		0.124942641263183	0.243447291318671	0.102972315679724			0.869593180161414				0.211688951673461		0.213381602126679					0.213484616381092
C185-4	0.233	69		0.142669064372956	0.0934403723293144	0.0104699060815372		0.163973187043473	0.860199705192115		0.00201712673928498	0.146254650738159	0.384389056695918		0.215649761561844		0.0253792414453199			
C185-41	0.45985	32		0.201221956768192	0.094205722538443	0.11025704674124		0.207798559699797	0.806416269134365			0.344028450226969	0.193612131205406	0.0851287038954496	0.361848389732815	0.351816814774201	0.0965140334579669			0.203443959703376
C185-42	0.8629	10			0.866289522648136	0.915353381747009						0.858211518179135	0.843138563541612	0.657132417787325	0.657364888033196		0.858664813128279			0.809503677103829
C185-43	0.1943	33		-0.0589856897539434	-0.0940849822138154				0.666954814345998						-0.0507335745464389					
C185-44	0.66526	75		-0.0353959162726774	-0.0946401835204985				0.897723267320784						0.205527477524475					
C185-45	0.36518	57		0.20040932070967	0.0044169768042689	0.0528990771105931		0.287880719571493	0.76462991169961			0.327982690349789			0.135742678720313					
C185-46	0.58878	97		0.139166023918164	0.0213808589801433				0.858336690348881			0.227466266118363	0.170949128031757	0.0190360686498282	0.0410425057824496					0.0794340078742389
C185-47	0.71892	91		0.678126257972284					0.830684697724715			0.717001929605189			0.664865139511012		0.635606020788055			
C185-48	0.56032	71		0.482388421519184	0.468457596646157	0.449400891335137			0.725276887407727		0.411355486338134			0.344130389356904	0.405331474038865	0.418629644875527				0.412128120004488
C185-49	0.12849	41		0.124671045459322	-0.0525043237556535	-0.104140197605705		0.148403284531908	0.746429738895216		-0.16933012567323			0.169036262400589	0.313248175484425					
C185-5	0.31336	158				0.0560819211719244		0.295684252495766			0.103869122883774				0.211926671207608					
C185-50	0.50179	54		0.409530493926135	0.360445012526156	0.29843451616735		0.412430712665532	0.685751732537046		0.360346429782077			0.330374851842573	0.372947353502557	0.384475563825353				0.453547098092193
C185-51	0.26145	81		0.192649940902579	0.175549665432695	0.128019265958272		0.333070833255867	0.74737078627276		0.202500355942076			0.305084281605851	0.261214447606158	0.27738226470693				
C185-52	0.1838	35		0.0683800925150527	-0.186924840569481	-0.104277142334996		0.0685910594480548	0.91555245401474				0.312653811021665	-0.127400249188386	0.0750192120299151					
C185-53	0.47962	110		0.230247924257634	0.302985908268868	0.282688738047362			0.839840336245241	0.179049742163874	0.318678277154704	0.324794019823986	0.332858992723038		0.293753025761668	0.332183010163329				0.264178304021987
C185-54	0.64895	77		0.559813603178968		0.520354388937177			0.906918957602076		0.550367301344368				0.548242057735359	0.574763122794988				0.554655729787268
C185-56	0.58413	63		0.564733927311555	0.54148190478327	0.532270114132694			0.658285741043947	0.500134219027263		0.573723732297668			0.568037095844876		0.528041775380841			
C185-57	0.22538	239				0.152028548027086		0.227308600393603												
C185-58	0.14869	168				0.00366995559516101		0.147957696689702		0.176987086512953	0.0918820684166833	0.26906376060397			0.0847582023257672		0.132174684139694			
C185-59	0.25164	220				0.0913997635103042		0.253514369644253		0.255342529846843	0.147058300398879									
C185-6	0.43007	197						0.391587450612228				0.28862736522603								
C185-60	0.22616	305				0.165763704933092		0.225922832266166		0.220663654961006										
C185-61	0.18221	321						0.175593001483398												
C185-63	0.37171	18		0.547886034232357	0.366381880301474	0.278798110188862					0.562799200576636		0.502673298405631	0.117211489552833	0.181777037741946	0.413907224378649			0.297321423802008	0.529161119657106
C185-64	0.76367	16		0.737021795215781		0.752600414046082						0.789581574389489	0.744630524990008		0.78233415209862	0.684262601960441	0.727526908310932			0.660773513258193
C185-65	0.46497	4		0.738680436171124	0.714011816516763	0.222957536814926		0.575721671700953	0.824461278310937		0.757945589340042	0.710606027013985	0.459877053795044	0.0577896388079234	0.305557673117124		0.63614690872602		0.676122986254318	0.263540724845366
C185-66	0.53467	8		0.557610919737701	0.422268684025944	0.506706234730246			0.839997852391846			0.582616015000855	0.584045922374989	0.435976037283393	0.546356229883316	0.286721848663685	0.549964886719562		0.564541480437009	0.491818824169708
C185-67	0.84162	11			0.814304981059989	0.77914464752895					0.859494062199625	0.736216792478927	0.850123709725258	0.832807703173112	0.808900546471308	0.689421150691195	0.693745743557865		0.803924188158489	0.78256204393168
C185-68	0.2707	9		0.114424460917956		0.314409363430293			0.441632615017528			0.0399625948566142	0.251434513583478	0.327787019782388	0.216434818028035		0.273437475266605			0.314729661635334
C185-7	0.31658	64			0.134898589807524	0.129660394096353		0.298774697494796				0.310428531355287			0.128030531420605		0.216597692697806			
C185-71	0.40213	79			0.540288839161855	0.451880294989037					0.36435051186406		0.35919610197223	0.337950498690308	0.373648492149979	0.367738520417879			0.436410728985194	0.410373530309739
C185-72	0.55226	107			0.714128588929286	0.568526994036579					0.655207171551997		0.621092539525208	0.497110667116665	0.503215702410836	0.679114293340005			0.604867541267692	0.610972898862337
C185-73	0.36387	64			0.548794109108927	0.355475533388052					0.39310469496318		0.45468004605741	0.275171199647508	0.268786752388755	0.41575429175216			0.370670199486313	0.424081973457084
C185-74	0.09327	23		-0.143325053771618	-0.105997465352453	-0.158650870272378			0.826225556303724			-0.0968190506046403	0.0597446378392318	-0.128687232589372	-0.16484157892616		-0.124087532607145		-0.178545544400983	-0.142031000883318
C185-75	-0.03311	18		-0.138135056502725	-0.243103278624159	-0.285573377298935			0.693319052369084			-0.0950951954547444	-0.208111228782593	-0.288373282408856	-0.260900040484575		-0.191040594515541		-0.231346581551058	-0.293546511803209
C185-77	0.35713	14		0.323848815934893	0.331152687624897	0.120714175157142			0.904649552421816			0.435392047692805	0.602186262681003	0.108088562792554	0.287533291110658		0.250914784802667		0.222307922992213	0.292572683175948
C185-79	0.43464	42			0.663509839245834	0.632642456174784					0.651928986820359		0.50431688917814	0.341257537146381	0.39982869668129				0.484872106879069	0.63068921017064
C185-8	0.47739	32				0.421893677701197		0.615378571108001				0.692136536405529	0.510130917137046	-0.135698706817385	0.621752361006955	0.190718929796905	0.449629593808837			
C185-82	0.12456	29		-0.0400078501982005	-0.144899828822818	-0.116952197185347		0.00398325665565754	0.855645546026491		-0.209526675553289			-0.0856091356295823	0.0130077548309967	0.080785945043775				-0.0591082133208123
C185-83	0.76117	60		-0.0874743587039738	-0.165455704612677	-0.120728583200583		-0.115181113526656	0.927418582323564		0.0381126971759441	-0.0805894496858323	0.287095542236865	-0.127538271818837	-0.031469758490061		0.0216653354282331			
C185-84	0.76792	177		0.160893128612077		0.0411187583621736		0.213802286181265	0.865550179731032		0.189408532605482	0.144930763837228			0.237982950569959					
C185-85	0.71739	94		0.040651310964223	-0.124557974778995	-0.295515088425583		0.104530764396854	0.938593043149092						0.0990492732784937					
C185-86	0.41618	53		0.269965400586596	-0.0263382639455341	-0.313194690341933		0.213010307244751	0.93220690313712			0.321374161817998	0.405908120597511		0.216204786856697	0.265854935265045	0.0222956156230579			
C185-87	0.73482	92		0.273909643541337				0.262428547895779	0.923850767144577			0.20398833117964			0.286211269387138		0.331531348808225			
C185-88	0.18018	78		0.0647108774722575	0.0753197799166112	0.0582716073147248		0.227013470637979			0.0162110612596396			0.0156393098807195	0.0604557667348051	0.0907913576291749				
C185-89	0.14791	85		-0.0138193045144307	-0.10068893198636	-0.140388158546078		0.0903566178795481	0.881887588030475			0.173140855537767		0.0848959417931982	0.0661411120629027					
C185-9	0.0578	18				-0.0265331140543779		0.127939559530719	0.114043703925633			0.0231221266682678	0.229485149775749		-0.0259853829422464	-0.0938751340221705	0.0779253432554656			-0.0418002370661773
C185-90	0.28036	59		0.179809152002391	0.104926421482473	0.0974642654503118		0.239762040245116	0.866503815178533			0.233413803971207			0.110000423249825		0.0185351348883521			
C185-91	0.48893	14		0.7304174063565	0.425914739296705	0.361412677576727		0.722630122222219	0.922809111290398		0.327989441588536	0.602698398779471	0.516886417569915	0.518808367842404	0.479911329871153	0.510350655314258	0.377173485451377			0.393331077213099
C185-92	0.90958	37		0.330633500330581	0.190953870063408				0.953552950232203			0.362106567492048	0.299480377866217		0.0913680318298429		0.0879570044461635			0.112568231772461
C185-93	0.76247	88		0.106206923440351	0.00641106064218201			0.207092325023965	0.869065818522484	0.0404322428084672		0.116137552904096								
C185-94	0.02956	29		0.0804069506558727	-0.0516863065819163	-0.115256540190304		-0.0267907065500026	0.83528957349343			-0.0928522440782148			-0.139148770509729		-0.147615728566149			
C185-95	0.44116	78		0.365602160386146	0.314180114279205	0.343639805537077			0.688356320795			0.304611266024425			0.356142600457106		0.335628334776946			
C185-96	0.26186	38		0.258369997617596	0.278972420014385	0.224428825504268		0.352722121866245		0.145473343364169	0.333675703572558	0.0628838963705577		0.172245814770341	0.120483771860853	0.168505319963492	0.117054923072213			
C185-97	0.66832	26		0.689707403121454	0.441163088911025	0.41628381786154		0.655247917715364	0.902112503745651			0.755301981473645	0.430003941612977	0.539432360880577	0.652454400073307		0.438580105735075			0.449810152580212
C185-98	0.11454	28			-0.00592662572937151	-0.0223806295859674		0.093966184361213	0.699202477109314						-0.104473674050829	0.370214889676667				
C185-99	0.45144	22		0.483693491887216		0.36145011852346			0.785939821877895			0.372174415370432	0.471722521541461		0.413276427511005	0.502838372823545	0.398707438043349			0.584523063801916
