gene	pearson	spearman	sn_marker	sc_marker	both_marker	max_pct_any	max_mean_any
Fcho2	0.113748936118652	-0.00382181259600614	FALSE	TRUE	FALSE	0.667	0.674361949942818
Fchsd2	0.323876006037165	0.340006144393241	FALSE	FALSE	FALSE	0.929	1.01964070335384
Fdft1	0.636302882037787	0.698863287250384	FALSE	TRUE	FALSE	0.692	0.635
Fdps	0.109834620602139	0.0637603686635945	FALSE	TRUE	FALSE	0.683	0.683
Fech	0.212087698766881	0.199416282642089	FALSE	FALSE	FALSE	0.667	0.671299364405275
Fem1b	0.0781714115695585	0.12941935483871	FALSE	FALSE	FALSE	0.709	0.709
Fer	0.18805920416914	0.153941628264209	FALSE	FALSE	FALSE	0.607	0.585089131984406
Fermt2	0.439187831208836	0.389062980030722	FALSE	TRUE	FALSE	0.7	0.614115938478522
Fez1	0.273116217132416	0.30642089093702	FALSE	TRUE	FALSE	0.9	0.9
Fezf1	0.909246668125063	0.510682925034689	FALSE	FALSE	TRUE	0.83	0.83
Fgd4	0.393898496127567	0.399453149001536	FALSE	FALSE	FALSE	0.75	0.736729656951232
Fgf1	0.32376070150783	0.308725038402458	FALSE	FALSE	TRUE	0.785	0.785
Fgf12	0.758351932715548	0.754199692780338	FALSE	TRUE	FALSE	1	2.04557365101947
Fgf13	0.63190362542323	0.603655913978495	FALSE	FALSE	TRUE	0.952	1.91615352911913
Fgf14	0.372181245128817	0.358807987711213	FALSE	TRUE	FALSE	1	3.22637619088191
Fgf9	0.725286434600319	0.758917105495773	FALSE	TRUE	FALSE	0.502	0.502
Fgfr1	0.821226792608212	0.796153609831029	FALSE	FALSE	TRUE	0.658	0.658
Fgfr1op2	0.253646675200389	0.17552688172043	FALSE	FALSE	FALSE	0.667	0.667
Fgfr2	-0.0206579816031618	0.0275514592933948	FALSE	FALSE	TRUE	0.852	1.05639114858221
Fh1	0.209046446920636	0.118371735791091	FALSE	TRUE	FALSE	0.73	0.73
Fhad1	0.644985811922506	0.691993855606759	FALSE	TRUE	FALSE	0.625	0.597467933911577
Fhit	0.233387676221481	0.196491551459293	FALSE	FALSE	TRUE	0.684	0.832366062843909
Fhl1	0.429882388667761	0.40147465437788	FALSE	FALSE	FALSE	0.685	0.685
Fhod3	0.589221833935718	0.511883256528418	FALSE	FALSE	TRUE	0.728	0.839613256301724
Fibp	0.12013677817726	0.082642089093702	FALSE	FALSE	FALSE	0.8	0.726439253647292
Fig4	0.497438488354772	0.478912442396313	FALSE	FALSE	FALSE	0.625	0.505915158321447
Fign	0.929403908445487	0.81819173301438	FALSE	FALSE	TRUE	0.75	0.734863797820078
Filip1	0.795633429462733	0.659508448540707	FALSE	FALSE	TRUE	0.72	1.20639186450679
Fip1l1	0.270072433533503	0.259956989247312	FALSE	FALSE	FALSE	1	0.886146782700377
Firre	0.116915831916203	0.187588469922346	TRUE	FALSE	FALSE	0.667	0.627913527123129
Fis1	-0.00771229531168839	0.103662058371736	FALSE	TRUE	FALSE	0.923	0.917
Fkbp11	0.643743960102223	0.528900966054335	FALSE	FALSE	TRUE	0.397	0.397
Fkbp1a	0.22843628441119	0.317222734254992	FALSE	FALSE	TRUE	1	1.13535698680547
Fkbp1b	0.404206369423157	0.472205666403177	FALSE	TRUE	FALSE	0.702	0.702
Fkbp2	0.47817097099355	0.462617511520737	FALSE	TRUE	FALSE	1	1.57885687650319
Fkbp3	0.182165845864522	0.115188940092166	FALSE	FALSE	TRUE	1	1.3958140272715
Fkbp4	0.24853627341766	0.210642089093702	FALSE	TRUE	FALSE	0.78	0.78
Fkbp5	0.574091860372125	0.565093701996928	FALSE	FALSE	TRUE	0.625	0.572914867227903
Fkbp8	0.194733127040492	0.236049155145929	FALSE	FALSE	FALSE	0.87	0.87
Fktn	0.210815121034818	0.230955453149002	FALSE	FALSE	FALSE	0.636	0.654756129196806
Flii	0.509561776035545	0.4841044546851	TRUE	FALSE	FALSE	0.615	0.473374039169908
Flnb	0.605773427830436	0.528878648233487	FALSE	FALSE	TRUE	0.818	0.816578411677564
Flot1	0.40709094646279	0.432497695852535	FALSE	TRUE	FALSE	0.649	0.649
Flot2	0.167263413345298	0.20315821812596	FALSE	TRUE	FALSE	0.75	0.766758409963487
Flrt1	0.731076055366029	0.737609831029186	FALSE	FALSE	TRUE	0.545	0.739052632374135
Flrt2	0.794322529218519	0.720417818740399	FALSE	FALSE	TRUE	0.788	1.04896597863674
Flrt3	0.756214656694763	0.738672811059908	FALSE	FALSE	TRUE	0.651	0.651
Flywch1	0.29981056917563	0.312552995391705	FALSE	TRUE	FALSE	0.897	1.06829433670622
Flywch2	0.440916698404516	0.47052534562212	FALSE	TRUE	FALSE	0.683	0.683
Fmc1	0.104614795732777	0.120280700474593	FALSE	FALSE	FALSE	0.667	0.662
Fmn1	0.547424747364077	0.520830293134705	FALSE	FALSE	TRUE	0.617	0.7618053753998
Fmn2	0.388411909898815	0.443533026113671	TRUE	FALSE	FALSE	0.846	0.94988623140816
Fmnl2	0.252764910479635	0.234291858678955	FALSE	FALSE	TRUE	0.909	1.20844188188874
Fmr1	0.282428431399474	0.16689400921659	FALSE	TRUE	FALSE	0.667	0.477
Fn3k	0.545699133196669	0.526881720430107	FALSE	TRUE	FALSE	0.56	0.56
Fnbp1	0.356150305702257	0.390199692780338	FALSE	FALSE	FALSE	0.875	0.84903044229378
Fnbp1l	0.691265754472364	0.637179723502304	FALSE	FALSE	TRUE	1	1.55841941521719
Fnbp4	0.0184734011815625	-0.0238832565284178	FALSE	FALSE	FALSE	0.556	0.599737240806057
Fndc1	0.76007045484441	0.755877112135177	FALSE	FALSE	TRUE	0.505	0.523491255464251
Fndc10	0.0746697248011586	-0.0229791549224952	FALSE	FALSE	FALSE	0.538	0.390610000673814
Fndc3a	0.738662531348441	0.767072196620584	FALSE	FALSE	TRUE	1	1.43460891460861
Fndc3b	0.67105793751103	0.699428571428571	FALSE	FALSE	TRUE	0.667	0.857287306843813
Fndc4	0.373531801503423	0.4358955453149	FALSE	TRUE	FALSE	0.681	0.507
Fndc5	0.734693062691982	0.770537634408602	FALSE	FALSE	TRUE	0.815	0.815
Fndc9	0.499272051324944	0.503391705069124	FALSE	FALSE	TRUE	0.625	0.515254364417129
Fnip1	0.326744102532742	0.339496159754224	FALSE	TRUE	FALSE	0.75	0.764642841349899
Fnta	0.330386268498067	0.324546850998464	FALSE	FALSE	FALSE	0.75	0.68
Fntb	0.213317516434941	0.273812596006144	FALSE	FALSE	FALSE	0.714	0.849376700833017
Focad	0.495969066201451	0.515815668202765	FALSE	FALSE	TRUE	0.889	0.986184973056757
Fos	0.415735521340328	0.461161290322581	FALSE	FALSE	TRUE	0.88	0.88
Fosb	0.075731808283881	0.0373045140452768	FALSE	TRUE	FALSE	0.64	0.64
Foxb1	0.959190449809153	0.234670804125421	FALSE	FALSE	TRUE	0.947	0.947
Foxg1	0.474492030536431	0.419095862887576	FALSE	FALSE	TRUE	0.54	0.54
Foxj3	0.0329266893568611	0.00696774193548387	FALSE	FALSE	FALSE	0.857	0.885585568541898
Foxk2	0.27269454577595	0.247213517665131	FALSE	FALSE	FALSE	0.571	0.576842693280779
Foxn3	0.569433120463101	0.508172043010753	FALSE	FALSE	TRUE	0.947	1.12455115248126
Foxo1	0.713745184602115	0.722191158287318	FALSE	FALSE	TRUE	0.445	0.464344574439253
Foxp1	0.372538526091006	0.301357910906298	FALSE	FALSE	TRUE	1	1.33354784780816
Foxp2	0.781542383281544	0.734810559228687	FALSE	FALSE	TRUE	1	1.78283235422286
Fra10ac1	0.468057840180103	0.463256528417819	FALSE	FALSE	FALSE	0.636	0.62204625303124
Fras1	0.765084356312673	0.789522516282285	FALSE	FALSE	TRUE	0.54	0.703779379540346
Frem1	0.731547796973808	0.419917476925732	FALSE	FALSE	TRUE	0.545	0.854824436510116
Frg1	0.222296075143427	0.24247619047619	FALSE	FALSE	FALSE	0.875	0.943438562692156
Frmd3	0.344782250866726	0.381511520737327	FALSE	TRUE	FALSE	0.667	0.636364974011251
Frmd4a	0.425368910873399	0.483655913978495	FALSE	TRUE	FALSE	1	2.3346063502619
Frmd4b	0.489499187323029	0.531754224270353	FALSE	FALSE	TRUE	0.73	0.989607706478773
Frmd5	0.513614809650264	0.606832565284178	FALSE	FALSE	TRUE	1	2.94349201350965
Frmd6	0.838426552799237	0.630142289005796	FALSE	FALSE	TRUE	0.474	0.512362085596976
Frmpd3	0.64986949314109	0.632847926267281	FALSE	FALSE	TRUE	0.75	0.711487921020904
Frmpd4	0.619914695360698	0.734930875576037	FALSE	FALSE	TRUE	1	2.14658814071431
Frrs1l	0.494169287269248	0.464362519201229	FALSE	TRUE	FALSE	0.783	0.783
Frs2	0.0580238219562367	0.081615975422427	TRUE	FALSE	FALSE	0.75	0.614600209387915
Fry	0.00079937057927946	0.00527188940092166	FALSE	TRUE	FALSE	1	1.33991397881879
Fryl	0.439911216860016	0.350967741935484	FALSE	FALSE	TRUE	0.665	0.905001734376426
Fscn1	0.214843218848428	0.279600614439324	FALSE	TRUE	FALSE	0.72	0.72
Fsd1	0.360979107241646	0.314027649769585	FALSE	FALSE	FALSE	0.75	0.681070282266703
Fsd1l	0.622617161519961	0.604153609831029	TRUE	FALSE	FALSE	0.778	0.856815298402953
Fstl1	0.700976354499415	0.673060941722671	FALSE	FALSE	TRUE	0.477	0.477
Fstl4	0.793317774584689	0.838715821812596	FALSE	FALSE	TRUE	0.915	1.6554287191795
Fstl5	0.860178002385873	0.864172043010753	FALSE	FALSE	TRUE	0.968	2.13034750986054
Fth1	0.128724190971231	0.130076804915515	TRUE	FALSE	FALSE	1	2.19053159245072
Ftl1	-0.114845183488864	-0.135834101382488	FALSE	TRUE	FALSE	0.98	0.98
Fto	-0.0413711021810915	-0.0064147465437788	FALSE	FALSE	FALSE	0.875	1.17880574178196
Ftx	0.051831538330949	0.156374807987711	FALSE	TRUE	FALSE	1	1.15619263687994
Fubp1	0.00608006595450028	-0.0243870967741935	FALSE	FALSE	FALSE	1	1.22191007887046
Fubp3	0.31662901691161	0.320847926267281	FALSE	FALSE	FALSE	0.714	0.66539325248983
Fuca1	0.676674786675764	0.486764976958525	FALSE	FALSE	TRUE	0.786	0.786
Fuca2	0.44221534394614	0.439723502304147	FALSE	TRUE	FALSE	0.522	0.522
Fundc1	0.4154512153716	0.390384024577573	FALSE	FALSE	FALSE	0.667	0.667
Fundc2	0.197611598515832	0.193456221198157	FALSE	FALSE	FALSE	0.6	0.6
Fuom	0.437665173029981	0.458414746543779	FALSE	FALSE	FALSE	0.723	0.723
Fus	0.0956640302786903	-0.0497204301075269	FALSE	TRUE	FALSE	1	1.40935209590068
Fut8	0.677333081110533	0.677400921658986	FALSE	FALSE	TRUE	0.923	0.993949374755903
Fut9	0.667606012612464	0.690752688172043	FALSE	FALSE	TRUE	1	1.10097094941165
Fxr1	0.370805641593177	0.397720430107527	FALSE	TRUE	FALSE	1	0.902033041794592
Fxr2	0.157268491976465	0.197751152073733	FALSE	FALSE	FALSE	0.75	0.732001279405787
