clustering_1	clustering_2	clustering_1_total	clustering_2_total	n	pct_clustering_1	pct_clustering_2	out_degree_1	in_degree_1	component_id	out_degree_2	in_degree_2
Penk.Arx.Six6.HY1	C32-C1ql3/Rgs16	167	488	17	0.101796407185629	0.0348360655737705	3	1	70	4	9
Shox2.Tbr1.Nrn1.HY2	C36-Lmx1a/Ttc6	97	466	27	0.278350515463918	0.0579399141630901	2	0	28	1	4
Gal.Zic1.Hmx3.Hmx2.HY1	C30-Nts/Pnoc	108	511	72	0.666666666666667	0.140900195694716	1	1	75	4	4
Irx3.Pitx2.Tbr1.Nrn1.HY2	C60-Calca/Tac1	1179	178	142	0.120441051738762	0.797752808988764	4	4	74	1	1
Ebf3.Pou3f3.Sim1.Nrn1.HY2	C11-Ebf3/Sim1	283	851	272	0.96113074204947	0.319623971797885	1	1	68	2	5
Gpr50.Pou3f3.Sim1.Nrn1.HY2	C11-Ebf3/Sim1	114	851	78	0.68421052631579	0.0916568742655699	1	0	27	2	5
Qrfpr.Cd40.Fezf1.HY2	C10-Qrfpr/Nos1	193	876	124	0.642487046632124	0.141552511415525	2	1	55	4	6
Otp.Gm28928.Hmx3.Hmx2.HY1	C12-Epha3/Pou6f2	143	800	44	0.307692307692308	0.055	2	1	75	2	4
Dkk2.Nms.Six6.HY1	C32-C1ql3/Rgs16	134	488	107	0.798507462686567	0.219262295081967	1	1	71	4	9
Pomc.Tmem215.Tcf7l2.Tbx3.HY1	C18-Esr1/Npy5r	87	626	75	0.862068965517241	0.119808306709265	1	1	76	3	3
Meis2.Adora2a.Crym.Ppp1r1b.HY2	C17-Gpr149/Cnr1	87	653	20	0.229885057471264	0.0306278713629403	4	0	26	1	4
Sst.Agrp.Npy.Otp.HY1	C28-Sst/Otp	75	563	28	0.373333333333333	0.0497335701598579	2	0	25	2	4
Foxd2.Otx1.HY10.HY2	C41-Slc17a6/Unassigned	109	374	101	0.926605504587156	0.270053475935829	1	1	65	2	4
Gm30382.Il1rapl2.Epha6.Fezf1.HY2	C22-Npffr1/Lncenc1	131	618	125	0.954198473282443	0.202265372168285	1	1	54	3	3
Gm20754.Nfib.Six3.Hmx2.HY1	C15-Dlx1/Dlx6os1	119	689	91	0.764705882352941	0.132075471698113	2	1	75	4	6
Pvalb.Meis2.Gad2.Arx.HY1	C52-Chrm2/Fign	72	284	19	0.263888888888889	0.0669014084507042	2	0	24	1	4
Grin2c.Nms.Six6.HY1	C32-C1ql3/Rgs16	139	488	83	0.597122302158273	0.170081967213115	1	1	71	4	9
Lhx8.Nfix.St18.Arx.HY1	C29-Reln/Nfib	52	536	29	0.557692307692308	0.0541044776119403	1	0	23	2	6
Nfix.Nms.Six6.HY1	C31-Penk/Onecut2	212	501	31	0.14622641509434	0.06187624750499	2	1	71	2	4
Trh.Sim1.Nrn1.HY2	C11-Ebf3/Sim1	310	851	34	0.109677419354839	0.0399529964747356	2	2	67	2	5
Penk.Arx.Six6.HY1	C40-Vip	167	398	76	0.455089820359281	0.190954773869347	3	1	70	3	5
Sytl4.Tmem215.Tcf7l2.Tbx3.HY1	C34-Nts/Pou6f2	608	471	133	0.21875	0.282377919320594	2	2	76	2	7
C1ql2.Nr5a1.Cd40.Fezf1.HY2	C39-Cdh7/Ust	151	426	16	0.105960264900662	0.0375586854460094	3	0	47	2	3
Npvf.Lhx9.Rfx4.HY10.HY2	C55-Qrfp/C1ql3	73	245	67	0.917808219178082	0.273469387755102	1	1	22	3	3
Meis2.Adora2a.Crym.Ppp1r1b.HY2	C19-Sst/Epha3	87	627	16	0.183908045977012	0.025518341307815	4	0	26	2	4
Sst.Agrp.Npy.Otp.HY1	C14-Agrp/Npy	75	681	47	0.626666666666667	0.0690161527165932	2	0	25	2	3
Cck.Prokr2.Six6.HY1	C8-Ebf3/Sim1	109	936	15	0.137614678899083	0.016025641025641	2	0	21	3	6
Vcan.Bcl11b.Il1rapl2.Otp.HY1	C68-Mmc/Vcan	132	59	47	0.356060606060606	0.796610169491525	2	2	41	1	1
Nmu.Serpinb1b.Lhx8.Arx.HY1	C8-Ebf3/Sim1	94	936	22	0.234042553191489	0.0235042735042735	2	0	20	3	6
Npy2r.Gpr149.Cd40.Fezf1.HY2	C17-Gpr149/Cnr1	78	653	28	0.358974358974359	0.0428790199081164	2	0	19	1	4
Meis2.Adora2a.Crym.Ppp1r1b.HY2	C7-Fezf1/Nr5a1	87	945	23	0.264367816091954	0.0243386243386243	4	0	26	3	7
Prdm13.Foxp2.Ifi27l2a.Fezf1.HY2	C39-Cdh7/Ust	571	426	122	0.213660245183888	0.286384976525822	2	3	63	2	3
Gpc4.Calca.Gad2.Arx.HY1	C34-Nts/Pou6f2	79	471	11	0.139240506329114	0.0233545647558386	3	0	18	2	7
Prdm13.Foxp2.Ifi27l2a.Fezf1.HY2	C56-Lmo3/Nrgn/Mc4r	571	216	34	0.0595446584938704	0.157407407407407	2	3	63	2	1
Npy2r.Gpr149.Cd40.Fezf1.HY2	C10-Qrfpr/Nos1	78	876	45	0.576923076923077	0.0513698630136986	2	0	19	4	6
Prkd1.Nr5a1.Cd40.Fezf1.HY2	C6-Megf11/Nr5a1	481	1017	85	0.176715176715177	0.0835791543756146	2	1	69	2	3
Vcan.Bcl11b.Il1rapl2.Otp.HY1	C19-Sst/Epha3	132	627	67	0.507575757575758	0.106858054226475	2	2	41	2	4
Cpne9.Sall3.Pitx2.Foxb1.HY2	C62-Htr1f/Tac2	1748	166	27	0.0154462242562929	0.162650602409639	2	5	65	3	2
Nfix.Nms.Six6.HY1	C32-C1ql3/Rgs16	212	488	69	0.325471698113208	0.141393442622951	2	1	71	4	9
Smim3.Oxt	C46-Avp/Oxt	107	324	69	0.644859813084112	0.212962962962963	2	1	56	2	2
Shox2.Tbr1.Nrn1.HY2	C41-Slc17a6/Unassigned	97	374	13	0.134020618556701	0.0347593582887701	2	0	28	2	4
Drd1.Tac1.Crym.Ppp1r1b.HY2	C28-Sst/Otp	71	563	13	0.183098591549296	0.0230905861456483	2	0	35	2	4
Nts.Ctxn3.Pitx2.Foxb1.HY2	C41-Slc17a6/Unassigned	298	374	33	0.110738255033557	0.0882352941176471	2	1	65	2	4
Trh.Ppp1r17.Hmx2.HY1	C29-Reln/Nfib	43	536	15	0.348837209302326	0.0279850746268657	2	0	17	2	6
Lhx1.Cd24a.Six6.HY1	C40-Vip	38	398	27	0.710526315789474	0.0678391959798995	1	0	16	3	5
Pmaip1.Calca.Gad2.Arx.HY1	C48-Kcnmb2/Ddc	88	312	48	0.545454545454545	0.153846153846154	2	1	72	2	2
Lef1.HY14.HY10.HY2	C57-Gal/Foxp2	556	207	38	0.0683453237410072	0.183574879227053	1	2	62	2	1
Smim3.Gldn.Cd40.Fezf1.HY2	C10-Qrfpr/Nos1	39	876	39	1	0.0445205479452055	1	0	15	4	6
Vip.Six6.HY1	C32-C1ql3/Rgs16	72	488	37	0.513888888888889	0.0758196721311475	1	0	14	4	9
Trh.Ppp1r17.Hmx2.HY1	C21-Crabp1/Vgll3	43	614	12	0.27906976744186	0.0195439739413681	2	0	17	2	3
Cck.Prokr2.Six6.HY1	C32-C1ql3/Rgs16	109	488	43	0.394495412844037	0.0881147540983607	2	0	21	4	9
Mobp.Sepp1.Pitx2.Foxb1.HY2	C62-Htr1f/Tac2	141	166	24	0.170212765957447	0.144578313253012	2	1	51	3	2
Sst.Nrn1.HY2	C11-Ebf3/Sim1	53	851	31	0.584905660377359	0.036427732079906	1	0	13	2	5
Pmaip1.Calca.Gad2.Arx.HY1	C34-Nts/Pou6f2	88	471	11	0.125	0.0233545647558386	2	1	72	2	7
Meis2.St18.Arx.HY1	C15-Dlx1/Dlx6os1	19	689	14	0.736842105263158	0.0203193033381713	1	0	12	4	6
Qrfp.Lhx9.Rfx4.HY10.HY2	C55-Qrfp/C1ql3	95	245	91	0.957894736842105	0.371428571428571	1	1	22	3	3
Samd3.Meis2.Tbr1.Nrn1.HY2	C8-Ebf3/Sim1	75	936	13	0.173333333333333	0.0138888888888889	3	0	11	3	6
Parpbp.Otx1.HY10.HY2	C69-Pmch/Cartpt	131	47	41	0.312977099236641	0.872340425531915	2	1	10	1	1
C1ql1.Gad2.Arx.HY1	C71-Gulp1/Th	51	22	21	0.411764705882353	0.954545454545455	1	1	9	1	1
Nmu.Serpinb1b.Lhx8.Arx.HY1	C36-Lmx1a/Ttc6	94	466	16	0.170212765957447	0.0343347639484979	2	0	20	1	4
Sox6.Tmem114.Lef1.Hmx2.HY1	C27-Npsr1/Lef1	131	599	15	0.114503816793893	0.0250417362270451	2	1	76	1	2
Gm20754.Nfib.Six3.Hmx2.HY1	C29-Reln/Nfib	119	536	15	0.126050420168067	0.0279850746268657	2	1	75	2	6
Sox6.Tmem114.Lef1.Hmx2.HY1	C34-Nts/Pou6f2	131	471	96	0.732824427480916	0.203821656050955	2	1	76	2	7
Gpc4.Calca.Gad2.Arx.HY1	C0-Slc32a1/Gad1	79	1508	35	0.443037974683544	0.023209549071618	3	0	18	3	12
Parpbp.Otx1.HY10.HY2	C23-Pmch/Sst	131	550	44	0.33587786259542	0.08	2	1	10	0	5
Penk.Arx.Six6.HY1	C0-Slc32a1/Gad1	167	1508	28	0.167664670658683	0.0185676392572944	3	1	70	3	12
Foxb1.Pitx2.Tbr1.Nrn1.HY2	C41-Slc17a6/Unassigned	55	374	36	0.654545454545455	0.0962566844919786	1	0	8	2	4
Th.Prok2.Hmx3.Hmx2.HY1	C15-Dlx1/Dlx6os1	152	689	61	0.401315789473684	0.0885341074020319	2	1	60	4	6
Nts.Prok2.Hmx3.Hmx2.HY1	C34-Nts/Pou6f2	39	471	25	0.641025641025641	0.0530785562632697	1	0	7	2	7
Hcrt.Rfx4.HY10.HY2	C55-Qrfp/C1ql3	47	245	45	0.957446808510638	0.183673469387755	1	1	22	3	3
Meis2.Adora2a.Crym.Ppp1r1b.HY2	C8-Ebf3/Sim1	87	936	11	0.126436781609195	0.0117521367521368	4	0	26	3	6
Crh.Hmx3.Hmx2.HY1	C34-Nts/Pou6f2	153	471	27	0.176470588235294	0.0573248407643312	2	1	75	2	7
Pvalb.Meis2.Gad2.Arx.HY1	C0-Slc32a1/Gad1	72	1508	39	0.541666666666667	0.0258620689655172	2	0	24	3	12
Samd3.Meis2.Tbr1.Nrn1.HY2	C3-Trh/Sim1	75	1174	14	0.186666666666667	0.0119250425894378	3	0	11	3	4
C1ql2.Nr5a1.Cd40.Fezf1.HY2	C17-Gpr149/Cnr1	151	653	25	0.165562913907285	0.0382848392036753	3	0	47	1	4
Nfib.Nfix.Gad2.Arx.HY1	C0-Slc32a1/Gad1	237	1508	27	0.113924050632911	0.0179045092838196	2	1	72	3	12
Samd3.Meis2.Tbr1.Nrn1.HY2	C36-Lmx1a/Ttc6	75	466	17	0.226666666666667	0.036480686695279	3	0	11	1	4
Tmem215.St18.Arx.HY1	C29-Reln/Nfib	32	536	11	0.34375	0.0205223880597015	1	0	6	2	6
Col6a1.Nfib.Six3.Hmx2.HY1	C12-Epha3/Pou6f2	296	800	48	0.162162162162162	0.06	2	1	75	2	4
Smim3.Oxt	C23-Pmch/Sst	107	550	28	0.261682242990654	0.0509090909090909	2	1	56	0	5
Six6.Onecut2.Gad2.Arx.HY1	C31-Penk/Onecut2	55	501	40	0.727272727272727	0.0798403193612774	2	0	5	2	4
Slc7a10.Sepp1.Pitx2.Foxb1.HY2	C23-Pmch/Sst	22	550	12	0.545454545454545	0.0218181818181818	1	0	4	0	5
Pou6f2.Calca.Gad2.Arx.HY1	C0-Slc32a1/Gad1	14	1508	13	0.928571428571429	0.00862068965517241	1	0	3	3	12
Tac2.Gad2.Arx.HY1	C52-Chrm2/Fign	28	284	24	0.857142857142857	0.0845070422535211	1	0	2	1	4
Six6.Onecut2.Gad2.Arx.HY1	C0-Slc32a1/Gad1	55	1508	11	0.2	0.00729442970822281	2	0	5	3	12
Gpc4.Calca.Gad2.Arx.HY1	C23-Pmch/Sst	79	550	14	0.177215189873418	0.0254545454545455	3	0	18	0	5
