ensembl_gene_id,log2FoldChange,padj,comparison,external_gene_name
ENSMUSG00000000632,0.814848895729207,0.00770086124353773,ip_input_control,Sez6
ENSMUSG00000000693,0.149202568333508,0.885911898999847,ip_input_control,Loxl3
ENSMUSG00000000708,0.235966425777656,0.46544599175695,ip_input_control,Kat2b
ENSMUSG00000000711,0.55966142156591,0.140577909476654,ip_input_control,Rab5b
ENSMUSG00000000732,1.12137400765983,0.331689849504424,ip_input_control,Icosl
ENSMUSG00000000738,0.896386371740451,0.106824485896596,ip_input_control,Spg7
ENSMUSG00000000740,0.830874819172808,0.00603638174571567,ip_input_control,Rpl13
ENSMUSG00000000743,1.24292399452889,3.09731503009228e-05,ip_input_control,Chmp1a
ENSMUSG00000000751,0.729632332390529,0.263442456374004,ip_input_control,Rpa1
ENSMUSG00000000753,0.954157002304985,0.198486071576816,ip_input_control,Serpinf1
ENSMUSG00000000759,0.874409451246205,0.0290312073978823,ip_input_control,Tubgcp3
ENSMUSG00000000766,0.626876565932481,0.1077951217753,ip_input_control,Oprm1
ENSMUSG00000000776,0.802068781419658,0.0930033964237338,ip_input_control,Polr3d
ENSMUSG00000000782,-0.562762239933285,,ip_input_control,Tcf7
ENSMUSG00000000787,0.765033618282826,0.00337375835561694,ip_input_control,Ddx3x
ENSMUSG00000000791,0.328699809191707,,ip_input_control,Il12rb1
ENSMUSG00000000792,0.629505674873338,0.200954951955486,ip_input_control,Slc5a5
ENSMUSG00000000794,0.397460968347317,0.196210263007566,ip_input_control,Kcnn3
ENSMUSG00000000804,0.348616461369226,0.119618087042813,ip_input_control,Usp32
ENSMUSG00000000805,0.870728305063398,0.168999733879829,ip_input_control,Car4
ENSMUSG00000000811,0.624585610654372,0.472806467339648,ip_input_control,Txnrd3
ENSMUSG00000000817,3.15612269625136,,ip_input_control,Fasl
ENSMUSG00000000823,0.83859801867718,0.0442207713387261,ip_input_control,Zfp512b
ENSMUSG00000000826,0.682414345809138,0.0233306238021217,ip_input_control,Dnajc5
ENSMUSG00000000827,0.768387787533529,0.00300236787128245,ip_input_control,Tpd52l2
ENSMUSG00000000838,0.198645464270834,0.635625566826996,ip_input_control,Fmr1
ENSMUSG00000000861,0.754948972628904,0.138800980723319,ip_input_control,Bcl11a
ENSMUSG00000000876,0.587392500679975,0.326625761111559,ip_input_control,Pxmp4
ENSMUSG00000000881,0.956885492342319,0.00146659672801816,ip_input_control,Dlg3
ENSMUSG00000000901,1.57147943008741,0.221637382173746,ip_input_control,Mmp11
ENSMUSG00000000902,1.03939000813538,0.00946435760063059,ip_input_control,Smarcb1
ENSMUSG00000000915,0.932555739227755,0.00628681332052709,ip_input_control,Hip1r
ENSMUSG00000000916,0.718080339594332,0.321051350406656,ip_input_control,Nsun5
ENSMUSG00000000934,0.672508008143016,0.318516532589584,ip_input_control,Top1mt
ENSMUSG00000000948,-1.12612455757602,1.92951376615138e-07,ip_input_control,Gm38393
ENSMUSG00000000957,0.887591801144545,0.40650238178013,ip_input_control,Mmp14
ENSMUSG00000000959,0.847192552522873,0.00159010715865089,ip_input_control,Oxa1l
ENSMUSG00000000976,0.702841300961514,0.141370416578742,ip_input_control,Heatr6
ENSMUSG00000000982,1.42906502109462,,ip_input_control,Ccl3
ENSMUSG00000000983,-0.389565907105143,,ip_input_control,Wfdc18
ENSMUSG00000001014,2.77985576650003,,ip_input_control,Icam4
ENSMUSG00000001016,1.0398701575332,0.0274071889219639,ip_input_control,Ilf2
ENSMUSG00000001017,0.238339833957456,0.493478623188922,ip_input_control,Chtop
ENSMUSG00000001018,0.405515024672284,0.137526642364987,ip_input_control,Snapin
ENSMUSG00000001020,3.1315454987443,,ip_input_control,S100a4
ENSMUSG00000001025,1.14790928640278,0.370363984430304,ip_input_control,S100a6
ENSMUSG00000001034,0.385521892304062,0.464556471174254,ip_input_control,Mapk7
ENSMUSG00000001036,0.547056775870073,0.0749770720330899,ip_input_control,Epn2
ENSMUSG00000001039,0.824477520848307,0.16879381887065,ip_input_control,B9d1
ENSMUSG00000001052,0.887454074863974,0.00108989389811759,ip_input_control,Sec24b
ENSMUSG00000001053,1.19593424560727,,ip_input_control,N4bp3
