ensembl_gene_id,log2FoldChange,padj,comparison,external_gene_name
ENSMUSG00000000732,-0.108205094093961,0.931357943006159,ip_input_cre,Icosl
ENSMUSG00000000738,0.747958045396789,0.0335374435012486,ip_input_cre,Spg7
ENSMUSG00000000740,1.33373253460746,3.16408827522661e-09,ip_input_cre,Rpl13
ENSMUSG00000000743,1.03915746124682,2.97174425827772e-06,ip_input_cre,Chmp1a
ENSMUSG00000000751,-0.640097325374367,0.00070429187828999,ip_input_cre,Rpa1
ENSMUSG00000000753,-1.32417171412756,0.211831733484873,ip_input_cre,Serpinf1
ENSMUSG00000000759,-0.355068593426784,0.0599268945265814,ip_input_cre,Tubgcp3
ENSMUSG00000000766,-0.10662244923963,0.871031511934222,ip_input_cre,Oprm1
ENSMUSG00000000776,0.821657428611103,1.56332576753826e-05,ip_input_cre,Polr3d
ENSMUSG00000000787,-0.325265037931527,0.159316166780226,ip_input_cre,Ddx3x
ENSMUSG00000000792,-0.660134111927348,0.220340795238599,ip_input_cre,Slc5a5
ENSMUSG00000000794,-0.175341347635705,0.42024056614046,ip_input_cre,Kcnn3
ENSMUSG00000000804,-0.168711440670425,0.364628751352918,ip_input_cre,Usp32
ENSMUSG00000000805,-0.731774772327332,0.557779153966023,ip_input_cre,Car4
ENSMUSG00000000811,-0.211499304512718,0.522422094262372,ip_input_cre,Txnrd3
ENSMUSG00000000823,-0.182855836033187,0.503153412238814,ip_input_cre,Zfp512b
ENSMUSG00000000826,0.0191584726908362,0.935267971357749,ip_input_cre,Dnajc5
ENSMUSG00000000827,0.016662474224058,0.936478553092522,ip_input_cre,Tpd52l2
ENSMUSG00000000838,-1.31673163643046,6.12655473720228e-06,ip_input_cre,Fmr1
ENSMUSG00000000861,-0.550918564235646,0.0510781488845934,ip_input_cre,Bcl11a
ENSMUSG00000000876,-1.12673414880591,5.00367106183871e-05,ip_input_cre,Pxmp4
ENSMUSG00000000881,0.250866636247616,0.254274481771883,ip_input_cre,Dlg3
ENSMUSG00000000901,1.05567478561051,0.0827307030895403,ip_input_cre,Mmp11
ENSMUSG00000000902,0.134752524869994,0.680358772220897,ip_input_cre,Smarcb1
ENSMUSG00000000915,-0.432144025363364,0.0510149747672234,ip_input_cre,Hip1r
ENSMUSG00000000916,0.415767786909794,0.282051180011549,ip_input_cre,Nsun5
ENSMUSG00000000934,0.250968197428709,0.518581284410685,ip_input_cre,Top1mt
ENSMUSG00000000948,-2.53126647768172,1.29181531064379e-13,ip_input_cre,Gm38393
ENSMUSG00000000957,-2.30542065672256,0.017577114500119,ip_input_cre,Mmp14
ENSMUSG00000000959,0.265214575577035,0.187872891188067,ip_input_cre,Oxa1l
ENSMUSG00000000976,0.0145301844410751,0.958710378231453,ip_input_cre,Heatr6
ENSMUSG00000000983,-4.43649878021194,0.0177245834426098,ip_input_cre,Wfdc18
ENSMUSG00000001014,0.309317335097904,0.821935008856225,ip_input_cre,Icam4
ENSMUSG00000001016,-0.145520802249802,0.562275915488125,ip_input_cre,Ilf2
ENSMUSG00000001017,0.397955665524129,0.0767299020717725,ip_input_cre,Chtop
ENSMUSG00000001018,0.271640263647566,0.209675567212364,ip_input_cre,Snapin
ENSMUSG00000001020,-2.48712597576819,0.106495087962691,ip_input_cre,S100a4
ENSMUSG00000001025,-2.20995624047031,1.3831753498134e-05,ip_input_cre,S100a6
ENSMUSG00000001034,0.484462044985305,0.0417435056064589,ip_input_cre,Mapk7
ENSMUSG00000001036,-0.361764873156912,0.178740221752636,ip_input_cre,Epn2
ENSMUSG00000001039,0.555427820953086,0.214151854444351,ip_input_cre,B9d1
ENSMUSG00000001052,-0.598844173828254,0.00480893840658657,ip_input_cre,Sec24b
ENSMUSG00000001053,-0.532252351088558,0.592596245486688,ip_input_cre,N4bp3
ENSMUSG00000001054,0.540076255050628,0.0560239850018565,ip_input_cre,Rmnd5b
ENSMUSG00000001056,0.768051475602027,0.0464631877973223,ip_input_cre,Nhp2
ENSMUSG00000001062,0.478407545716009,0.200046798320521,ip_input_cre,Vps9d1
ENSMUSG00000001065,-1.18111292960612,0.120089160902936,ip_input_cre,Zfp276
ENSMUSG00000001082,0.503572285091349,0.435456827134183,ip_input_cre,Mfsd10
ENSMUSG00000001089,-1.80114094939782,2.19704506457935e-13,ip_input_cre,Luzp1
ENSMUSG00000001098,0.633494995213878,0.0133631172737474,ip_input_cre,Kctd10
ENSMUSG00000001100,0.420400842259502,0.019919256412215,ip_input_cre,Poldip2
