umapscvi_1	umapscvi_2	ident	n_DEG_per_cluster
3.52929785320161	-4.96960165819694	4	0
6.89352753230928	-7.92488148531486	93	0
-3.11168596675994	14.1598515240235	85	0
4.39106848308442	8.40872428098153	69	0
6.38002493450044	-7.77825262865592	93	0
6.7242841965854	-7.9662571223693	93	0
3.45611598560212	7.12050006070565	69	0
-2.73105666568877	3.48189732709359	15	0
-3.33439013889434	2.64754364171456	15	0
6.64361717769502	-8.61113121828605	93	0
-2.95259663990142	0.985885950712668	15	0
-11.0803603880704	-1.38036218008567	72	0
5.59338381358979	-5.36571791491081	93	0
-2.34521958759429	14.5240606991334	85	0
5.27543451854585	7.73870894589852	69	0
12.2743988282382	-0.34421597889234	86	0
-10.1430721037686	-1.3485425981002	72	0
-1.5193636172116	-8.69386055788566	82	0
0.604904318541269	-5.749730614038	4	0
6.73794796535371	-5.62893631777336	93	0
0.343029262810926	-5.98654415926506	4	0
4.39187958309052	8.54008528867196	69	0
-2.85971949031951	13.8581871716065	85	0
9.10849382945893	6.25632474103402	32	0
-11.3018760435879	-1.02536681017448	35	0
10.2792549378574	9.01396605649422	32	0
3.8736491448581	7.80614039578866	69	0
10.2902984864414	9.03929660001229	32	0
-3.60940549305083	2.5660857883973	15	0
-2.2218827956021	14.5440058437867	85	0
-4.23721835544707	12.5716709820313	24	0
0.0977275616824432	-7.22623207888175	4	0
-0.843015169411917	-2.67392185053398	4	0
3.56472613880036	-5.01622631868888	4	0
3.69691183635591	-4.90085747561027	4	0
-4.1433334105313	8.06574866452645	62	0
4.59541752406953	8.44157645383309	69	0
-2.88968632152679	0.537635239748465	15	0
0.610441858261804	-0.676249829144968	4	0
-12.7248716109097	-1.860934403749	72	0
-1.77128908565642	-8.6830859454589	4	0
3.37116124698518	-4.42452576479484	4	0
-12.1182546370328	-1.58369245848228	72	0
0.414345387682299	-5.98245241961051	4	0
-0.58403030565383	4.01431700864266	15	0
10.1926222092807	8.67074439206551	32	0
12.2441816575229	-0.332447019429697	86	0
-2.7728557341397	0.389719339994894	15	0
-1.79375336101653	-8.86011364779045	4	0
-0.899740313798209	-2.58451369127799	4	0
0.373103991463761	-5.91331150850822	4	0
-10.3793430083096	-1.28313103041221	72	0
4.50765135356782	8.60483214536141	69	0
