C185	Affinati10x	Anderson10x	CampbellDropseq	ChenDropseq	Dowsett10xnuc	Flynn10x	Kim10x	KimDev10x	LeeDropseq	Mickelsen10x	Moffit10x	Morris10x	Mousebrainorg10x	RomanovDev10x	RossiDropseq	Rupp10x	Wen10x	wenDropseq	ncells	ncells_pct	Region_summarized
C185-1	16.0994764397906			14.0052356020942	0.261780104712042	0.654450261780105	0.130890052356021		0.130890052356021		16.4921465968586		18.455497382199	1.04712041884817	0.392670157068063	32.3298429319372			764	0.198480223420147	Paraventricular hypothalamic nucleus
C185-10	8.33333333333333		0.757575757575758	1.51515151515152	26.5151515151515	0.757575757575758	0.757575757575758			27.2727272727273	0.757575757575758		0.757575757575758	1.51515151515152	3.03030303030303	28.030303030303			132	0.034292394622329	Lateral hypothalamic area
C185-100	3.24129651860744	0.540216086434574	0.660264105642257	8.64345738295318	2.22088835534214	0.240096038415366	0.240096038415366	0.0600240096038415	0.180072028811525	0.480192076830732	38.0552220888355	1.50060024009604	24.0696278511405	0.240096038415366	8.5234093637455	2.40096038415366		8.70348139255702	1666	0.432811586672728	Medial preoptic area
C185-101	2.89256198347107	2.47933884297521		2.89256198347107	2.47933884297521		0.413223140495868			0.826446280991736	58.2644628099174	0.826446280991736	20.2479338842975		5.78512396694215	2.89256198347107			242	0.0628693901409366	Lateral preoptic area
C185-102	9.58385876418663	1.63934426229508	7.81841109709962	2.77427490542245	40.2269861286255	17.6544766708701	1.26103404791929	0.378310214375788	2.39596469104666	1.51324085750315		1.26103404791929	0.126103404791929	0.252206809583859	0.126103404791929	12.8625472887768		0.126103404791929	793	0.206014158602325	(Pre)Mammillary region
C185-103	8.9527027027027	7.03828828828829	28.1531531531532	2.98423423423423	21.9594594594595	6.75675675675676	3.65990990990991	0.563063063063063	0.450450450450451		0.112612612612613	3.77252252252252	1.06981981981982	0.844594594594595		13.5135135135135	0.0563063063063063	0.112612612612613	1776	0.461388582191336	Arcuate hypothalamic nucleus
C185-104	9.48012232415902	8.86850152905199	26.1085626911315	1.1085626911315	19.6483180428135	3.63149847094801	5.42813455657492	0.0764525993883792	0.879204892966361	0.152905198776758	1.1085626911315	1.56727828746177	2.82874617737003	0.802752293577982	0.611620795107034	16.8195718654434	0.0764525993883792	0.802752293577982	2616	0.679612911606157	Arcuate hypothalamic nucleus
C185-105	3.52360817477097	0.211416490486258	0.140944326990839	2.46652572233968	1.19802677942213	0.422832980972516	0.211416490486258			0.916138125440451	39.323467230444	0.211416490486258	41.7899929527837	0.140944326990839	3.94644115574348	3.94644115574348		1.55038759689923	1419	0.368643242190037	
C185-106	3.06748466257669	0.645786244752987	0.258314497901195	2.06651598320956	7.23280594123345	2.87374878915079	0.96867936712948		0.0645786244752987	4.58508233774621	37.843073942525	0.129157248950597	28.9958023894091	0.161446561188247	4.8433968356474	5.77978689053923		0.48433968356474	3097	0.804572319282977	Lateral preoptic area
C185-107	1.34228187919463		0.251677852348993	2.09731543624161	1.00671140939597	0.0838926174496644	0.0838926174496644			0.335570469798658	57.2986577181208	0.251677852348993	31.4597315436242		1.51006711409396	3.02013422818792		1.25838926174497	1192	0.309670715074365	Lateral preoptic area
C185-108	5.41275333662877	0.815620365793376	1.18635689569946	6.45081562036579	6.79683638161147	0.0494315373208107	0.543746910528918	0.0247157686604053	0.519031141868512	0.766188828472566	27.3109243697479	2.89174493326743	25.9515570934256	0.74147305981216	5.58576371725161	2.86702916460702	0.222441917943648	11.8635689569946	4046	1.05111385334805	Medial preoptic area
C185-109	9.59537572254335	7.16763005780347	4.85549132947977	3.00578034682081	13.0635838150289	0.346820809248555	11.7919075144509		0.346820809248555	7.74566473988439	9.01734104046243	0.92485549132948	9.13294797687861	0.346820809248555	9.36416184971098	9.2485549132948	0.346820809248555	3.69942196531792	865	0.224719101123596	
C185-11	12.3159960745829	1.17762512266928	0.588812561334642	3.63101079489696	11.5309126594701	0.0490677134445535	1.76643768400393	0.14720314033366	0.392541707556428	2.60058881256134	16.4376840039254	4.26889106967615	19.3326790971541	1.3738959764475	4.75956820412169	9.8135426889107	1.22669283611384	8.58684985279686	2038	0.529453789699292	Paraventricular hypothalamic nucleus
C185-110	9.6551724137931	16	6.89655172413793	5.10344827586207	13.6551724137931	0.137931034482759	16	1.10344827586207	1.51724137931034	2.89655172413793	0.551724137931035	0.275862068965517	4.41379310344828	0.137931034482759	0.96551724137931	19.3103448275862		1.37931034482759	725	0.188348379554459	Arcuate hypothalamic nucleus
C185-111	5.03355704697987	1.00671140939597		0.838926174496644	13.255033557047	4.53020134228188	1.00671140939597	0.503355704697987		33.5570469798658	3.35570469798658		9.39597315436242	0.503355704697987	14.4295302013423	11.9127516778524		0.671140939597315	596	0.154835357537183	
C185-112							2.5			2.5	10		30	10	45				40	0.0103916347340391	Lateral hypothalamic area
C185-113	7.64147046674928	8.13713341594382	13.5068153655514	4.21313506815366	19.3721602643536	4.37835605121851	10.1610904584882	0.289136720363486	0.454357703428335	5.20446096654275	0.0826104915324246	1.6935150764147	3.38703015282941	1.40437835605122	3.05658818669971	17.0177612556795			2421	0.628953692277717	Arcuate hypothalamic nucleus
C185-114	7.72600557546794	21.0274790919952	21.8637992831541	2.30983671843887	12.5049780963759	0.0796495420151334	19.673436877738	0.3584229390681	0.438072481083234	0.199123855037834		1.6726403823178	0.836320191158901	0.597371565113501	0.0398247710075667	10.3146156909598		0.3584229390681	2511	0.652334870429304	Arcuate hypothalamic nucleus
