C185	Affinati10x	Anderson10x	CampbellDropseq	ChenDropseq	Dowsett10xnuc	Flynn10x	Kim10x	KimDev10x	LeeDropseq	Mickelsen10x	Moffit10x	Morris10x	Mousebrainorg10x	RomanovDev10x	RossiDropseq	Rupp10x	Wen10x	wenDropseq	ncells	ncells_pct	Region_summarized
C185-149	2.07607095824618	16.7170191339376	0.813386009760632	11.3176853358122	0.619722674103339	1.37113641645364	16.0043380587187	2.30072042760865	0.642962274382214	0.511271206135255	21.3107134557286		1.44860175071655		4.52397552095437	5.29088233015725	12.2240297466884	2.82748470059648	12909	3.35364031954277	
C185-150	2.64163482306031	4.76823392590131	0.581491942183087	10.8323641800964	3.43910948662569	6.74530652932381	11.1314171789334	3.58863598604419	1.56172121614886	3.35603920917096	10.1511879049676	0.415351387273634	11.9122777870078	0.365509220800797	14.1884033892673	2.25951154676857	4.13689981724539	7.92490446918093	6019	1.56368123660453	
C185-151	14.3968871595331	29.9610894941634	1.16731517509728	6.6147859922179		2.72373540856031	13.6186770428016	1.16731517509728	0.389105058365759	2.33463035019455	5.05836575875486		7.00389105058366	1.16731517509728	1.94552529182879	8.56031128404669	0.389105058365759	3.50194552529183	257	0.0667662531662012	
C185-152	1.49166989538938	4.43626501356064	3.08020147229756	3.79697791553661	3.09957380860132	4.28128632313057	9.70554048818287	2.57652072839985	0.833010461061604	8.38822161952732	13.8899651297947		21.5614103060829	6.8190623789229	2.15032932971716	0.98798915149167	3.42890352576521	9.47307245253778	5162	1.34104046242775	
C185-153	0.551724137931035	2.66666666666667	4.22988505747126	1.88505747126437	3.03448275862069	3.35632183908046	7.86206896551724	1.05747126436782	0.413793103448276	3.86206896551724	5.60919540229885	0.919540229885057	45.1494252873563	7.17241379310345	0.413793103448276	1.14942528735632	2.3448275862069	8.32183908045977	2175	0.565045138663376	
C185-154		0.911528150134048	0.160857908847185	2.84182305630027			0.911528150134048		0.0536193029490617		90.402144772118	0.0536193029490617	0.697050938337802		0.375335120643432	0.268096514745308	3.27077747989276	0.0536193029490617	1865	0.484509969474573	
C185-155	0.988372093023256	8.72093023255814	3.02325581395349	2.73255813953488	1.68604651162791	0.232558139534884	10.2325581395349	1.51162790697674	0.930232558139535	1.86046511627907	3.6046511627907	7.09302325581395	39.7674418604651	5.34883720930233	0.406976744186047	1.80232558139535	2.5	7.55813953488372	1720	0.446840293563681	
C185-156	1.93798449612403	13.2751937984496	4.65116279069768	4.2312661498708	2.71317829457364	1.38888888888889	9.81912144702842	2.87467700258398	0.742894056847545	3.68217054263566	7.55813953488372	18.3139534883721	12.8552971576227	3.00387596899225	0.775193798449612	1.00129198966408	4.0374677002584	7.13824289405685	3096	0.804312528414626	
C185-157	1.04166666666667	6.25	55.2083333333333	2.08333333333333		1.04166666666667	7.29166666666667	1.04166666666667		1.04166666666667	7.29166666666667	1.04166666666667	13.5416666666667			2.08333333333333		1.04166666666667	96	0.0249399233616938	
C185-158	1.18733509234828	31.7238346525946	2.74406332453826	7.98592788038698	0.430958663148637	0.615655233069481	15.8223394898857	3.896218117854	0.184696569920844	0.360598065083553	9.39313984168865	6.83377308707124	1.13456464379947		0.351802990325418	1.45118733509235	15.0923482849604	0.79155672823219	11370	2.95382217315061	
C185-159	3.22821700792109	18.5622477955463	3.03392616948139	6.12763413540577	9.13166940666567	4.67792557166343	22.3733373187864	3.34778060080705	1.41981766552085	4.81243461366014	3.70647137946495	1.74861754595726	1.5991630548498	0.269018083993424	2.94425347481692	5.66432521297265	0.538036167986848	6.81512479450008	6691	1.73826070013639	
C185-160	1.00250626566416	14.0350877192982	3.59231411862991	4.01002506265664	1.16959064327485	2.58980785296575	11.0275689223058	1.92147034252297	0.918964076858814	2.08855472013367	5.51378446115288	36.8421052631579	5.76441102756892	1.2531328320802	0.584795321637427	0.918964076858814	3.59231411862991	3.17460317460317	1197	0.31096966941612	
C185-161	14.812744550028	35.830072666294	1.39742873113471	3.24203465623253	3.01844605925098	0.111794298490777	10.8999441028508	0.950251537171604	0.223588596981554		8.16098378982672	0.950251537171604	1.78870877585243	0.223588596981554	1.28563443264394	3.74510899944103	10.8999441028508	2.45947456679709	1789	0.464765863479899	
C185-162	8.62068965517242	34.4827586206897		5.17241379310345		3.44827586206897	16.3793103448276	0.862068965517241		1.72413793103448	3.44827586206897	1.72413793103448	9.48275862068965		1.72413793103448	10.3448275862069	1.72413793103448	0.862068965517241	116	0.0301357407287134	
C185-163	13.12422616591	45.4808089145687	1.40321914981428	2.35245563351217	0.206355757325629	4.20965744944284	4.6223689640941	3.5080478745357	0.453982666116385	8.87329756500206	0.0412711514651259	0.536524969046636	1.93974411886092	0.0412711514651259	0.536524969046636	9.45109368551383	2.06355757325629	1.15559224102352	2423	0.629473274014418	
C185-164	0.358790363915941	24.4319152571331	4.15171706817017	1.12762685802153	4.32256962241586	1.81103707500427	14.932513241073	6.83410216982744	0.307534597642235	1.05928583632325	0.683410216982744	0.170852554245686	5.41602596958825		2.27233897146762	0.273364086793098	31.1464206389886	0.700495472407313	5853	1.52055595245827	
C185-165	16.4415736934821	11.0980622431004	11.1567821491486	0.939518496770405	0.880798590722255	2.05519671168526	6.34174985320024	10.6870229007634	0.763358778625954	0.645918966529654	0.411039342337052	30.5930710510863	1.17439812096301	0.117439812096301	0.234879624192601	0.704638872577804	5.16735173223723	0.587199060481503	1703	0.442423848801715	
C185-166	0.258175559380379	1.37693631669535	0.688468158347677	30.4647160068847		0.774526678141136	0.946643717728055	0.516351118760757	0.774526678141136	0.516351118760757	54.3889845094664	2.06540447504303	0.774526678141136		0.430292598967298	0.0860585197934596	0.344234079173838	5.59380378657487	1162	0.301876989023836	
C185-167	6.25	3.78289473684211	0.986842105263158	1.15131578947368		0.657894736842105	2.96052631578947	4.93421052631579	0.164473684210526	0.164473684210526	0.822368421052632	55.2631578947369	0.328947368421053	4.27631578947368	0.328947368421053	14.8026315789474	2.96052631578947	0.164473684210526	608	0.157952847957394	
C185-168	1.47475893363585	83.1537152580828	0.567214974475326	0.510493477027794		0.113442994895065	3.51673284174702	0.283607487237663	0.170164492342598	1.24787294384572	0.113442994895065	1.87180941576858	0.623936471922859				5.95575723199092	0.397050482132728	1763	0.458011300902773	
