feature	expression	ident
Npy	-1.07178238415068e-05	Affinati10x
Npy	1.63206882467382e-06	Affinati10x
Npy	-3.6273841562795e-06	Affinati10x
Npy	2.28320284246274	Affinati10x
Npy	3.58058069968949	Affinati10x
Npy	2.92095906424339	Affinati10x
Npy	2.70113816492239	Affinati10x
Npy	3.5266364137085	Affinati10x
Npy	3.16500283231463	Affinati10x
Npy	-2.29778138946266e-06	Affinati10x
Npy	2.7482793872825	Affinati10x
Npy	3.24429337148391	Affinati10x
Npy	3.6621705117265	Affinati10x
Npy	3.86716330407721	Affinati10x
Npy	3.63984768713894	Affinati10x
Npy	3.51228090798827	Affinati10x
Npy	4.12803373824887	Affinati10x
Npy	3.75206743346882	Affinati10x
Npy	2.22544891104424	Affinati10x
Npy	3.03222658310392	Affinati10x
Npy	3.19116233797226	Affinati10x
Npy	3.55375994893333	Affinati10x
Npy	2.32290795385524	Affinati10x
Npy	3.63298413948432	Affinati10x
Npy	-1.33623665489315e-05	Affinati10x
Npy	3.92080224897578	Affinati10x
Npy	3.66045434511538	Affinati10x
Npy	-8.36306592801415e-06	Affinati10x
Npy	3.71077273582345	Affinati10x
Npy	4.09169034605336	Affinati10x
Npy	3.49922318583475	Affinati10x
Npy	2.90125402645882	Affinati10x
Npy	1.45012616376516	Affinati10x
Npy	2.96843053956154	Affinati10x
Npy	1.98940995529499	Affinati10x
Npy	2.48702165156265	Affinati10x
Npy	5.86487536719298e-06	Affinati10x
Npy	1.14044789642363	Affinati10x
Npy	3.06134498042785	Affinati10x
Npy	4.53054962285034	Affinati10x
Npy	1.87375425496407	Affinati10x
Npy	3.65006138341064	Affinati10x
Npy	3.39537984569372	Affinati10x
Npy	4.39280201594945	Affinati10x
Npy	3.94052616848401	Affinati10x
Npy	3.6841068543247	Affinati10x
Npy	3.71161230278189	Affinati10x
Npy	3.0048509501924	Affinati10x
Npy	3.63388180374566	Affinati10x
Npy	2.80712741362995	Affinati10x
Npy	3.95575936154492	Affinati10x
Npy	3.70870754672478	Affinati10x
Npy	3.96706451977562	Affinati10x
Npy	3.80228326100641	Affinati10x
Npy	3.84913966852872	Affinati10x
Npy	3.85643066914784	Affinati10x
Npy	3.29708022404539	Affinati10x
Npy	3.21488866960068	Affinati10x
Npy	3.1631977409889	Affinati10x
Npy	3.5093205908209	Affinati10x
Npy	4.11762379687947	Affinati10x
Npy	3.01592442568139	Affinati10x
Npy	2.92206653650589	Affinati10x
Npy	3.76570802944367	Affinati10x
Npy	0.764952974433782	Affinati10x
Npy	3.89298462815445	Affinati10x
Npy	3.78580328041091	Affinati10x
Npy	2.08944487393385	Affinati10x
Npy	3.37752423779317	Affinati10x
Npy	1.76537647204894	Affinati10x
Npy	3.06729041623548	Affinati10x
Npy	3.84808998021485	Affinati10x
Npy	3.85685902071919	Affinati10x
Npy	3.60664378267761	Affinati10x
Npy	2.92452128650961	Affinati10x
Npy	3.29405455987764	Affinati10x
Npy	3.09426951301149	Affinati10x
Npy	1.33097953598778	Affinati10x
Npy	3.02417103108158	Affinati10x
Npy	2.86884662063589	Affinati10x
Npy	2.90315954049113	Affinati10x
Npy	2.74524027006059	Affinati10x
Npy	3.25552388166934	Affinati10x
Npy	3.22144891243572	Affinati10x
Npy	3.23986864562118	Affinati10x
Npy	2.6734904226598	Affinati10x
Npy	2.93127237759321	Affinati10x
Npy	3.64473938910585	Affinati10x
Npy	3.55776255497164	Affinati10x
Npy	3.01208159509678	Affinati10x
Npy	3.69377972898271	Affinati10x
Npy	3.28141265610891	Affinati10x
Npy	2.5284488764723	Affinati10x
Npy	2.8493719796166	Affinati10x
Npy	2.26005245953723	Affinati10x
Npy	3.08371450141084	Affinati10x
Npy	3.68033838988831	Affinati10x
Npy	2.39588749329635	Affinati10x
Npy	3.51124714242396	Affinati10x
Npy	2.30959870739937	Affinati10x
Npy	3.19463118920371	Affinati10x
Npy	3.08742620594336	Affinati10x
Npy	3.01452790481158	Affinati10x
Npy	3.47491612837443	Affinati10x
Npy	3.64469372784513	Affinati10x
Npy	2.72160255816034	Affinati10x
