umapbestScanorama_1	umapbestScanorama_2	Dataset
-0.310951921536521	-2.56617814901861	Moffit
0.618446197913094	-11.3188026607374	Flynn
-1.73575100619991	-6.49238187674078	wenDropSeq
-6.08724829871853	-1.3764273584226	Kim
-3.71873829086025	-1.49260050657782	Campbell
3.30992129127781	0.274025776948604	Moffit
1.80820658485691	1.08105807897058	Moffit
2.07941177170078	3.33415907021967	Rossi
6.1822324065427	3.57788222428766	Campbell
0.610690620348855	7.63069217797724	Moffit
0.725238588259622	2.73726075288263	Moffit
-1.67949411590298	7.5240966617724	Campbell
0.379023936198159	1.84171860810724	wenDropSeq
-1.84902105052669	0.404377335276279	Kim
2.24351575653355	1.06514828797785	Mickelsen
0.156636860773965	8.70954244729487	wenDropSeq
-5.31768367011745	-1.79679352644476	Kim
11.0690779952268	-3.60474354628119	Campbell
7.78880026619236	1.38808649178949	Lee_Idol
5.59573796074192	1.72259395715204	Kim
2.67347767631809	0.384080314602527	Moffit
-0.564296993805961	-11.051940745149	Flynn
-7.00281951148708	-3.10664088133368	Kim
-0.0797844747145931	4.62883632775751	Moffit
-1.17721948344906	0.73595862981287	Rossi
10.9063563613157	-3.6931782424787	Campbell
11.3394179610471	-2.8577106654981	Campbell
1.38324370662968	0.351298832859668	Campbell
-0.784245822026328	-3.31102425459417	Chen
-1.66525003631313	3.70393126603571	Moffit
2.67635228912632	2.35275190469233	Rossi
-2.069263193204	-3.96640092733893	Moffit
-0.459546807601051	1.2022383749148	wenDropSeq
1.29173984806339	9.35200422402826	wenDropSeq
-6.17251107413967	5.62368219491449	Moffit
-6.09775969703396	-1.7039694249967	Kim
-6.39563414771755	-3.79606992605719	Kim
7.06450894157688	-7.30953246954474	Campbell
-1.07961723525722	0.956972116198215	Rossi
11.7064414290647	-3.62803513411078	Campbell
-1.99508282859524	2.81968587037531	Rossi
1.7422043351392	3.49492495652643	Moffit
2.22605421821873	-3.50594884756598	Flynn
0.822024133608743	8.44620912667719	Moffit
-1.70529350955685	7.60179441567865	Campbell
-6.42986437995632	-4.02552348974737	Kim
7.97296383659641	0.373023652996692	Kim
-0.386258784129218	-10.5867946803907	Flynn
0.6359512476186	10.9868823825976	Chen
-1.5344149800082	-5.46529609564337	Moffit
-5.78831813056667	5.47334545251337	Moffit
0.116118681238099	-4.84237844351324	Flynn
3.84479596893589	-1.06482512358221	Flynn
-6.21518561561306	-4.0392349422315	Kim
-1.65202650745113	4.132273846831	Moffit
0.66225865165989	-2.52299172285589	Campbell
-0.0704661676724712	2.52470033761469	Moffit
3.56135371010105	-1.99195510748419	Flynn
-0.248269009782867	-2.01776606443914	Flynn
-1.58216879089077	-1.6595609844068	Chen
3.61127355377476	4.83245151635614	Kim
2.64448406975071	1.63806670304743	Rossi
-3.53097936828335	-1.49687737825903	Campbell
4.56192496101658	-3.02541882399115	Campbell
-8.84121176917751	-1.86449903849157	Kim
-0.084366928233699	-2.49713189009222	Moffit
4.59721806328098	1.98877983685938	Kim
-5.1564054222842	-1.89973325136694	Kim
-8.79414603431423	-2.29690224531683	Kim
3.74441030304234	1.7471647798678	Flynn
-1.35141620357235	1.14912467595545	Campbell
0.141638394997521	-2.05622035864386	wenDropSeq
-0.16883547921379	2.60210269090143	wenDropSeq
-1.42017934043606	8.58079641458002	Campbell
-0.879973265721397	1.81449931260553	Rossi
0.814787891314431	2.85388010140863	Campbell
3.73146369735996	-2.28095943335089	Kim
0.994560387537881	-10.8143995464185	Flynn
-9.54364344794948	-8.81825811270269	wenDropSeq
5.84307339470188	-1.60166699293646	Campbell
-0.583146903111533	-10.588332957063	Flynn
-1.71322343070705	4.23834245797602	Chen
3.57799365799229	-2.10696393850836	Campbell
0.699334290430947	8.79036443826166	wen10x
7.96621086876194	0.588407629694614	Kim
8.12359097282688	0.703676456179294	Kim
-8.03085849006374	-2.68758422735724	Campbell
1.32856025974552	3.62356370088068	Rossi
0.352377322123452	1.306275302138	Kim
-2.5911776753207	-4.68958122137579	Moffit
2.47553518097202	-1.75610310438665	Kim
-5.44420716483791	-3.17808586958441	Kim
-6.355964157178	-0.935474938187924	Kim
-1.66971788127621	-3.72376448515448	Campbell
-0.36037603337963	2.28381507989374	wenDropSeq
-7.84603736121853	-3.08642227057013	Kim
11.0884719161252	-3.29083234671148	Campbell
-5.02166697700222	4.58800857659784	Moffit
-0.957011971070365	3.02389186021296	Kim
-0.693438205315665	1.9307368337771	Rossi
5.03756621162693	-4.45111400488409	wenDropSeq
-4.9300288887759	3.38842075463739	Moffit
-4.87429330070217	3.39653580781427	Moffit
0.410264488861962	10.1883661090991	wenDropSeq
1.5195400981168	3.21963351365534	Moffit
7.7892036704282	-0.354991561208096	Kim
1.76619353573124	1.39306407567469	Mousebrainorg
-5.91144559104641	4.31524532433954	Moffit
-5.00000617225368	-1.43190831545385	Kim
-4.81986758430202	-0.437551057372418	Kim
-3.35173914153774	-1.34577841166052	Kim
-1.5320762129565	-1.19209915998968	Campbell
2.1791818408231	-2.24281699064764	Campbell
-0.98891732413967	4.77126758691278	Moffit
-1.73500356395443	-0.356017088923779	Lee_Idol
2.13479903023045	-0.96207124594244	Campbell
-2.77310654838283	-1.26939148310217	Moffit
-6.25235554893215	4.12730758782831	Moffit
2.61534574310581	0.571114116873417	Lee_Idol
-6.64978787620266	4.26940219994989	Moffit
8.43578484337132	-2.14707857969793	Mickelsen
-5.97341963966091	-0.988287037644711	Kim
-1.55040380675991	3.81360595818964	Moffit
-1.72717330177029	-5.92866165045294	Moffit
-8.60803458411892	-1.78592569235357	Kim
