umapbestscVI_1	umapbestscVI_2	Dataset
3.41957111510696	0.442555208149565	Moffit
3.46215124282302	11.1406690966517	Flynn
0.102809695929904	3.15737055653633	wenDropSeq
2.40307088050308	4.70196174496712	Kim
3.10261960181655	2.21948562974037	Campbell
0.461074112386126	-0.383421312627184	Moffit
-0.274898038774114	-1.020911108312	Moffit
-2.66026668396531	-4.5139439213842	Rossi
-2.84466199722825	-0.252892564591753	Campbell
0.970681978792567	-7.52457071429192	Moffit
0.630104942650218	-6.17869306689202	Moffit
3.72039218100967	-6.7021091092199	Campbell
-0.235667572885137	-4.99234415179192	wenDropSeq
2.34631796035232	-4.37280870562493	Kim
-1.17474095669327	-1.47439874297081	Mickelsen
3.03689427527847	-9.50460125094353	wenDropSeq
2.42431707534255	3.21953820103706	Kim
-10.1550219520622	0.0656698536306746	Campbell
-5.77537851181565	0.36179190540613	Lee_Idol
-4.0125525459343	-4.34161735659538	Kim
0.784616632789988	-0.892640601453173	Moffit
3.08641286048355	9.70167468899788	Flynn
0.939763499826808	6.66903470868172	Kim
-2.46382074204026	-5.34894395953118	Moffit
2.30170996341171	-4.83941293841301	Rossi
-9.89970617142258	0.339284558239592	Campbell
-9.63887815323411	0.902176905813826	Campbell
-2.33615426865159	-1.85683895235954	Campbell
-1.36742453423081	11.8920194994837	Chen
1.33335347327651	-3.09326602106987	Moffit
-2.06011061516343	-2.74345184451042	Rossi
1.02065689715805	3.23017596119942	Moffit
0.626102550358195	-3.48254777079521	wenDropSeq
1.31643999967041	-8.10294414645134	wenDropSeq
-2.31155090179978	6.8967211138636	Moffit
3.5882124439186	4.6676967036158	Kim
1.30398787412109	5.17934631222786	Kim
8.03760500106277	7.63560937756599	Campbell
1.86470766219558	-4.39779783373772	Rossi
-11.1845858558708	0.0720606040388472	Campbell
-2.99060873833237	4.04876946324409	Rossi
-1.86654667702256	-4.65767217760979	Moffit
4.50235529097976	-0.27370489722191	Flynn
1.74392695578994	-8.35028911715447	Moffit
3.9175068870491	-6.9545824635595	Campbell
1.93698771151962	7.36776756161751	Kim
-5.61012201157151	0.654829699936522	Kim
3.49029250297012	9.590696562472	Flynn
3.1277164951271	-10.6498811352819	Chen
-0.213661240010839	3.86576269978584	Moffit
-2.49351911392747	6.28853725308479	Moffit
0.318591691956539	1.54194151276649	Flynn
-1.89020519104538	0.745624591055525	Flynn
2.50153894576492	7.58536981457771	Kim
2.17276258620681	-3.10743833666741	Moffit
2.61687369498672	-0.207533012685167	Campbell
1.17845494899215	-5.6587159741491	Moffit
-0.897733734517675	0.195764083805693	Flynn
1.30504341277542	1.96171413773598	Flynn
5.76286955031814	1.92581390255989	Chen
-1.02079551067887	-8.09669567233025	Kim
-1.62542800751267	-1.87526656275688	Rossi
3.07317109260025	2.33854388112129	Campbell
0.559720544547457	-1.19853223448693	Campbell
-0.555360124974828	6.04177736157478	Kim
2.71058554801406	0.538841803017271	Moffit
-3.16724805679856	-3.87264324313103	Kim
2.25797660502853	4.39545606488289	Kim
-0.146118627458196	6.21685718411507	Kim
-2.45278863754807	-4.05861021166741	Flynn
1.82757110747756	-5.58641172533928	Campbell
-1.11927203980027	-1.40986252909599	wenDropSeq
1.32689387950363	-5.62698389178215	wenDropSeq
3.92849059256973	-7.99589229708611	Campbell
-0.0256716474586539	-3.96353365069329	Rossi
1.00781912955703	-6.05185152178704	Campbell
-5.16812066879807	-1.13081062918602	Kim
2.88603611144485	11.078266371432	Flynn
9.12783689650955	-1.98076654559075	wenDropSeq
-6.74858503189622	-2.87800599223076	Campbell
3.41674275550308	9.17707084530891	Flynn
2.19728560599746	-2.72264386301934	Chen
-1.93686060753403	-1.78346158152519	Campbell
2.12944216880264	-8.63352275973259	wen10x
-5.48516731110154	0.740012009087218	Kim
-5.30411796417771	0.892017174902571	Kim
0.858123792738337	5.32832216137947	Campbell
-2.64086394157944	-4.89568592196404	Rossi
-2.43476323929368	-2.24541259890496	Kim
5.21275491866531	6.1146633517176	Moffit
-0.488278911977392	0.600474018993986	Kim
1.47531504783096	4.99422763699592	Kim
2.82669468078079	4.98536561841072	Kim
-1.53623931255875	2.24122439736427	Campbell
1.50611300620498	-5.78071285372673	wenDropSeq
0.752549244493861	7.3607046496302	Kim
-9.40275697556077	0.316001501324785	Campbell
-2.69407253113328	5.31397842282356	Moffit
1.50975389632644	-5.67845560198723	Kim
0.184946356744189	-3.89079452639519	Rossi
-6.16508703079758	2.83527659291328	wenDropSeq
-4.20731906738816	2.41422938221992	Moffit
-4.08471135941086	2.42848729008735	Moffit
3.21430130156936	-10.5173604596227	wenDropSeq
-2.43099217262803	-4.31133867388664	Moffit
-7.78166227188645	-0.240702252444612	Kim
-0.761766956716161	-1.78674770480095	Mousebrainorg
-3.90846376267014	3.38227557057442	Moffit
4.91418523940506	-0.324623833951341	Kim
3.42427964362564	3.76667116993965	Kim
3.58181400451126	1.76394521111549	Kim
1.16772945079269	5.16198991650642	Campbell
-2.51203303185044	2.09485005253853	Campbell
-2.23236183968125	-6.00270868426262	Moffit
1.34074385318222	2.75795816296638	Lee_Idol
3.45056362304153	-1.23409689551293	Campbell
3.54762096557083	1.99227582329811	Moffit
-4.45433263626633	5.99663375729622	Moffit
0.700349880785365	-0.77029765730797	Lee_Idol
-3.97083787766038	5.70145963543953	Moffit
-8.94474153366624	-0.924479376134264	Mickelsen
2.81923623237075	4.76449893826546	Kim
1.47881336364212	-2.91908360606133	Moffit
-0.147093521028142	3.7906203162104	Moffit
-0.172128574519735	5.82481454724373	Kim
