umapbestharmony_1	umapbestharmony_2	Dataset
-0.542889125061589	-2.51567986137906	Moffit
-0.717794663620549	-11.4608149779562	Flynn
4.67866956500952	3.90350005500278	wenDropSeq
-4.14230907650049	-2.74059512741605	Kim
-3.60306466312464	-0.914838398766909	Campbell
1.94708120136206	-0.437521050644312	Moffit
-3.98284590930994	0.956640814470854	Moffit
1.91572391300146	4.1075739609476	Rossi
6.67875110416357	3.64499041907748	Campbell
0.394578002976817	7.47503039710483	Moffit
0.371968709515971	1.88494059913119	Moffit
-2.33048999996241	7.66004130713901	Campbell
0.236065485166949	1.05496606700381	wenDropSeq
-0.336016155195791	3.20783326499423	Kim
1.38856708316748	0.914913390802946	Mickelsen
1.00714182166998	8.9965595947977	wenDropSeq
-1.59730447025355	-4.63731100685636	Kim
9.77432739047949	-0.610577206087503	Campbell
3.78324829845373	0.211060498880949	Lee_Idol
2.97337328700964	2.8927998291727	Kim
1.69260906486456	0.188079749273863	Moffit
-1.61550808639582	-10.9768710387472	Flynn
-5.18042600841578	-3.76621534950772	Kim
0.250762247132701	5.38471505515536	Moffit
-0.391435808849889	3.55579969756564	Rossi
9.71311103610937	-0.377562509809825	Campbell
9.56634246616308	-1.27832713253537	Campbell
0.358579002904338	7.12052771918735	Campbell
-2.59971750469263	-7.5288367522482	Chen
-2.53145445079859	4.0140304314371	Moffit
2.03438770084326	2.3423688160654	Rossi
-1.93066526145991	-6.94810774452725	Moffit
-0.0680626028900922	5.958860372233	wenDropSeq
0.958920769977015	8.64132830970248	wenDropSeq
-6.95139921398218	2.65849373214206	Moffit
-5.37990225048121	-2.11084582932034	Kim
-3.49961317272242	-3.47772958405057	Kim
6.3334103754038	-5.89859774239102	Campbell
0.147708602833194	2.92370555274447	Rossi
10.4534245660776	-1.31818034775296	Campbell
-2.92898500652369	2.60360405318698	Rossi
1.58663033752386	3.31353137366733	Moffit
1.58057581691687	-3.53766467697659	Flynn
1.09183799533789	9.59080169074496	Moffit
-2.0528508493429	8.02928683631381	Campbell
-3.8751427003866	-4.08844974167386	Kim
0.0521172551685988	-0.039710457396898	Kim
-1.18346501083429	-10.37921097405	Flynn
-0.654759115887243	7.74965712897738	Chen
0.427449606942576	-5.16704418785611	Moffit
-6.43305290432032	2.60039112441501	Moffit
-3.11689770908411	-0.403226355982218	Flynn
2.00695955066625	-2.21622243053952	Flynn
-3.70723951549586	-4.22791197426358	Kim
-2.40628922672327	3.95270488135776	Moffit
-0.194495923233587	-2.23250725395719	Campbell
-0.868132300091344	2.32558271758517	Moffit
1.97252272872869	-1.03124489910642	Flynn
-1.88751650543268	-1.15762879974881	Flynn
-3.3289157220846	-6.50367834694425	Chen
2.49827157764379	5.9715704666849	Kim
1.73996829299871	1.28378746383151	Rossi
-3.43399799556788	-0.504180873704347	Campbell
4.51623880176489	-2.16098406441251	Campbell
-4.70502651424463	-5.40925457603971	Kim
-0.280496961784917	-2.85837581284085	Moffit
2.02089845447485	3.15017101638278	Kim
-3.65518248767908	-1.70878818161527	Kim
-5.44218862743433	-5.12939121849576	Kim
2.09978448657934	3.83910128943881	Flynn
0.335858040141505	3.19660398833713	Campbell
0.990085475730342	0.428061638998595	wenDropSeq
-0.817560321999151	3.10407636039218	wenDropSeq
-1.86241937370356	8.91382453315219	Campbell
-2.55524981708582	2.45732686393222	Rossi
0.402615629720134	2.78399488799533	Campbell
4.15550195484106	-1.37119593746701	Kim
0.149982415723246	-10.9502978575949	Flynn
3.1340593030924	-7.91301586754361	wenDropSeq
5.87985860614721	0.588430558371153	Campbell
-1.48150146694239	-10.4317803633932	Flynn
-2.3176430532461	3.5016317116495	Chen
3.49066030292456	-0.834021563601885	Campbell
0.711378746318263	9.19917056434115	wen10x
4.15037881641333	-0.0392067087415788	Kim
-5.24266470165308	1.88073227279147	Kim
-5.91832817287501	-4.47669699318448	Campbell
1.51589667110388	3.89798924796542	Rossi
-1.47467721195276	3.18215391509494	Kim
-0.806129879665929	-6.88351776726285	Moffit
2.23951708583776	-1.27037545568982	Kim
-3.39057505817469	-2.97047450668851	Kim
-4.75125206203516	-2.2750275386099	Kim
0.539110474872035	-6.08768894798795	Campbell
-0.308068222714025	2.88644263617953	wenDropSeq
-5.72439373226221	-4.12632229454557	Kim
9.46923267154638	-0.931445683312807	Campbell
-4.9816302129751	2.72331473700961	Moffit
-1.73313523025568	3.03339598052463	Kim
-0.718328244400579	3.02886745803317	Rossi
5.35519754199926	-2.7854011309866	wenDropSeq
-4.48758781642969	3.9131855713602	Moffit
-4.49903238506373	3.87871692054233	Moffit
0.0067550687832802	8.35897967688998	wenDropSeq
2.02809297351782	3.08163306586703	Moffit
6.73293124942724	-0.633374954533968	Kim
0.961335830974025	0.417736147570219	Mousebrainorg
-5.51509273738917	3.90935466163119	Moffit
1.32072543411199	-3.26130988724271	Kim
-5.25095260829981	-1.06426807768384	Kim
-4.3286293813711	-1.07072373755017	Kim
-0.979819066238958	1.02469370238742	Campbell
-0.112844608140546	-1.11644979841748	Campbell
-1.73336375446375	4.68248031012973	Moffit
0.97721289901678	5.09240767829379	Lee_Idol
3.46754228382055	4.33478162162265	Campbell
-3.40822399349268	-0.515307794285211	Moffit
-5.84984815807398	3.64797398917636	Moffit
1.55026065616552	-0.057146216702852	Lee_Idol
-6.19443214626368	3.83763406150302	Moffit
7.50995790271704	-1.22112705833951	Mickelsen
-4.59457338542994	-2.16358950264493	Kim
-2.21072591037806	3.923384641337	Moffit
0.493956022548121	-5.21236183769742	Moffit
-4.54704273433741	-5.08992054588834	Kim
