umapharmonylowdim_1	umapharmonylowdim_2	Dataset
4.22348145795896	-0.953658713668734	Moffit
7.76764039350583	1.31851761165246	Flynn
0.132611412833471	0.130454861849397	wenDropSeq
7.09207610441281	2.97001938644037	Kim
0.495427917967577	1.4137856227456	Campbell
-5.06964464830325	-5.62585015472785	Moffit
-4.62061615632937	-1.39997370418921	Moffit
-2.20506330179141	1.19622628512964	Rossi
-6.09720440553592	-0.882591916889102	Campbell
-0.762779969443541	0.949709342151731	Moffit
-0.613370675315123	0.207749055057615	Moffit
-6.10372610734866	5.40013651671991	Campbell
-2.22455807374881	-2.67404384788886	wenDropSeq
0.077140454481382	-1.32366974529639	Kim
-3.57645626710818	-1.9715663927497	Mickelsen
-2.71261735605167	4.50458674254999	wenDropSeq
2.107094329129	0.204636113077253	Kim
-5.08327456163333	-5.74310155090705	Campbell
0.0783221947951504	-6.58949370560065	Lee_Idol
-2.04145022081302	0.884483204513639	Kim
-4.54954024003909	-1.40058429417029	Moffit
7.50939540220334	1.63888876262292	Flynn
2.61906103445127	-3.76401658234015	Kim
-2.31795879053042	-0.994687511295229	Moffit
-1.12441225694583	-0.957958473533541	Rossi
-5.18113060640262	-5.39495082077399	Campbell
-3.61908002542422	-5.17223830398932	Campbell
-1.31737096952365	-2.79261155304328	Campbell
5.32274417234494	3.10761432471856	Chen
-1.02354653524325	-2.07514996704474	Moffit
-5.18845339464114	0.120205202430337	Rossi
5.34253815961911	2.46968607726678	Moffit
-0.900812584628325	-1.5667048233451	wenDropSeq
-1.85823627160953	2.77071504417047	wenDropSeq
1.41151968790128	-7.00348181900397	Moffit
4.45800856901242	-2.30294103798285	Kim
2.55397824598386	0.847970889240354	Kim
0.421010654698152	8.20729880157098	Campbell
-5.01460762666629	1.9140207034646	Rossi
-4.95236321138309	-6.54891343292609	Campbell
0.448232155571718	-2.8626100557746	Rossi
-1.49674447225497	1.47592084231958	Moffit
1.98496059728696	4.01633124175653	Flynn
-3.29591079400943	3.53890518966302	Moffit
-5.87131949113772	5.32837490859613	Campbell
5.1694243366821	0.467698292165845	Kim
1.66792122675015	-4.70762629684821	Kim
7.48793820692136	1.49585299316034	Flynn
-2.10448308633731	5.85338835540399	Chen
4.28671960187985	1.23496537032708	Moffit
0.659325998554964	-6.98961444076911	Moffit
-0.638469177951079	1.86065749946222	Flynn
-3.79490729020999	-0.685180975765139	Flynn
5.75197724653317	0.542862282425016	Kim
-1.6484444920914	-0.228550924629122	Moffit
2.33635620428159	2.45815830054864	Campbell
-0.185489702691298	-1.17512233433142	Moffit
-3.70272346185611	-3.04608411964789	Flynn
0.330286156664629	3.17179088416681	Flynn
6.85402993513181	3.59952621284112	Chen
-4.48926230119632	2.45421294990167	Kim
-5.7019569461243	-0.951559855312258	Rossi
0.0800552594466397	1.71120219054803	Campbell
-2.46412535356448	1.81717138114557	Campbell
3.50527910543515	1.1169414979516	Kim
2.35470489812924	2.55134014907464	Moffit
-1.69809003518985	0.775919602542966	Kim
0.157748561630983	0.851891623169034	Kim
2.70824698759152	-1.32376666244879	Kim
-2.3469547812836	1.21714334312066	Flynn
-0.0840489898817352	-1.65890414890662	Campbell
2.15143303228452	2.52294068160638	wenDropSeq
-0.510978895892363	-2.46160597977057	wenDropSeq
-4.61005039857791	5.63841776671991	Campbell
0.163467642198343	-1.97237773117438	Rossi
0.0679739045901486	-1.94405741867438	Campbell
-3.30395599054263	-3.1526343363227	Kim
0.663435679207582	-2.06699390587226	Flynn
3.90639070821835	6.75285105529413	wenDropSeq
-5.30233116792605	-3.32136244949713	Campbell
6.80868939710691	1.7427161199151	Flynn
-1.83455057786868	-1.66866452869788	Chen
-1.08516724752353	-1.2251201408805	Campbell
-2.22951646493838	3.60885982337579	wen10x
1.21123353792264	-5.5394477384986	Kim
2.03190283132626	-5.32114405807868	Kim
3.12314299894406	-0.0308355639578406	Campbell
-1.92135794805453	0.840335713058561	Rossi
-0.512962896098357	-2.54482884582892	Kim
7.43906907392575	2.24893526855096	Moffit
-3.14153905557559	0.339172528415769	Kim
2.26460556341245	0.755699203640073	Kim
3.49718860937192	-1.28408284363166	Kim
5.61058215452268	2.95731954398736	Campbell
-0.661212879885893	-2.40440650162116	wenDropSeq
4.79779843641355	0.0741140146850046	Kim
-4.32532854722903	-5.5876392858924	Campbell
4.79767207456662	-1.20509417232886	Moffit
-0.691705543269377	-2.26121063408271	Kim
0.513602417240877	-2.04574580368415	Rossi
-7.20943184541629	1.951590941578	wenDropSeq
0.779568713436861	-5.21835656341925	Moffit
0.584395569096346	-4.97257514175788	Moffit
-2.43846316980289	5.0789137345849	wenDropSeq
-1.97740479158328	1.41872279468164	Moffit
-2.05308027910159	-4.3505091207923	Kim
-3.3842501227753	-2.39464922127143	Mousebrainorg
1.29233555151059	-6.38549752411261	Moffit
-2.94985075639651	4.92450480285272	Kim
4.14316157651975	-2.3105966585578	Kim
-0.24826382445262	1.7907501918374	Kim
1.11504535032346	0.0890472171007093	Campbell
2.18268756223752	-4.08610291656867	Campbell
-1.32774575399325	-2.81583757576361	Moffit
-2.81206865953372	-0.202466471761614	Lee_Idol
-2.6356179301636	2.19367508712396	Campbell
-2.71630020784305	2.4725835782586	Moffit
0.764097374211092	-6.74529309448615	Moffit
-4.06759901689456	-1.86398585018531	Lee_Idol
1.41761438203885	-6.9840745466651	Moffit
-2.4692897384064	-5.23997636017218	Mickelsen
3.84718374563291	-1.56894035515204	Kim
-5.08941336320804	-2.90381283935919	Moffit
4.36299733472898	1.72050421062097	Moffit
