umapbestcombat_1	umapbestcombat_2	Dataset
-1.21385992423231	-3.69003806997669	Moffit
-3.44583845988447	-10.2506738751067	Flynn
5.56932853802508	3.84321345399487	wenDropSeq
-5.31617332354719	0.738525107608915	Kim
-3.22415686503584	-3.60543595243824	Campbell
4.05328821286028	2.58956183503735	Moffit
4.21685241802996	1.31930531571972	Moffit
1.47162102803057	4.62726821015942	Rossi
7.29583047970598	4.42136468003857	Campbell
3.24955557926958	-2.50122533728015	Moffit
0.762800148571187	0.256850466238142	Moffit
1.19917940243547	-3.1200882046355	Campbell
1.43075536831682	2.12486566613782	wenDropSeq
-0.0145463134401508	0.123425901042104	Kim
4.59328912838762	1.39637888978589	Mickelsen
3.55996846302813	-3.35032735754383	wenDropSeq
-2.33749724284346	-0.378160700096011	Kim
9.76330970867937	1.30853857110608	Campbell
0.98403965576952	6.62317980836499	Lee_Idol
2.74898909672564	5.44709910462964	Kim
3.86649345501726	1.87881459306347	Moffit
-4.81047321215803	-9.89765320707691	Flynn
-5.33389593020613	-1.03359793115985	Kim
-1.18463874713118	3.93831361840832	Moffit
-0.47970783070261	0.749589160190702	Rossi
9.81501030072039	1.57461453984845	Campbell
9.2301371012575	0.862972751365781	Campbell
2.81284450634783	3.38377369950879	Campbell
-7.28738809481794	-5.28813849378955	Chen
0.887525669181996	2.38338841508496	Moffit
4.94824956997698	4.38552035401928	Rossi
-3.1403634633177	-4.47089682508838	Moffit
-0.423445814406223	1.11589063714612	wenDropSeq
1.33989237889116	0.968590095745206	wenDropSeq
-2.44580865756208	8.5096782595979	Moffit
-5.16667962924177	0.597330466018796	Kim
-2.4163439358824	-1.29584251333606	Kim
-9.22798992053206	-5.97768937040699	Campbell
2.39285706623858	0.351540371881605	Rossi
10.2482159052736	0.836210027443052	Campbell
-1.20862842456038	5.2569083125459	Rossi
0.613630703533345	4.77905978273022	Moffit
0.258529028738194	-4.86415491987598	Flynn
3.52335642918413	-2.77496086050403	Moffit
1.43392740830248	-3.26548086096179	Campbell
-6.6082646931761	-2.16415916372669	Kim
1.97448062046831	4.68101729463208	Kim
-4.79562068835432	-9.59539090086353	Flynn
4.12368225201433	-5.3879858105315	Chen
-3.62672544375593	-5.93677531172168	Moffit
-2.3827037896269	8.25564707826245	Moffit
-2.26427174464399	-4.89067040373218	Flynn
5.59399580105608	6.56364955018628	Flynn
-6.61810375109846	-2.51542626310718	Kim
1.83148097142046	2.11728920053113	Moffit
-0.728943863069362	-3.24750719953907	Campbell
-0.118520961260147	1.36826886247265	Moffit
2.66744898899859	-0.566390141738772	Flynn
-0.0561328466289707	-1.09727190424335	Flynn
-4.58057905093367	-3.12568317343128	Chen
2.82605003460711	7.45374239991772	Kim
5.01064561947649	2.33260454248059	Rossi
-3.66542793170149	0.628100350605131	Campbell
3.14371322735613	2.7286940963136	Campbell
-8.07444835559065	0.434325292812467	Kim
-1.49033344641859	-3.63041411329639	Moffit
2.62439107045	4.77265729020703	Kim
-1.75170279399092	-0.433987751497149	Kim
-7.79807163134748	0.235068336235166	Kim
2.62010788067644	4.04076708863843	Flynn
0.150238684261494	0.412879034982801	Campbell
-1.53229511634047	-3.40677939344776	wenDropSeq
-0.641153701698131	1.61107517789471	wenDropSeq
1.85435270413225	-3.99719129492176	Campbell
-1.40874780074293	2.51929582666028	Rossi
-0.120941453730411	1.40011395524609	Campbell
3.67629622563189	0.19226963828671	Kim
-3.5458912934416	-9.29394398619068	Flynn
-0.112433032249755	-7.41353283811939	wenDropSeq
2.89871548756426	2.33937229226697	Campbell
-5.00519872561628	-9.43599282194507	Flynn
1.94189619168108	2.5858603865968	Chen
-1.26728249446089	0.429400190816999	Campbell
3.67193245037859	-2.87976323057544	wen10x
1.62650405510729	5.83743657182324	Kim
1.55354320153063	5.50481452058423	Kim
-5.58242727175886	-0.594556972278475	Campbell
0.948993555153065	4.45753420899975	Rossi
2.49908923252886	3.3636912257539	Kim
-4.1461372460478	-4.02700386930835	Moffit
2.15581750019854	-0.737648472083926	Kim
-2.45772624865705	-1.29066131998432	Kim
-5.71041084185774	0.96958704303372	Kim
-5.13675094500715	-6.24149952818286	Campbell
-0.597487279331035	1.21402873109448	wenDropSeq
-7.23589826480085	-1.18086706091297	Kim
9.26877140148943	1.23142148564923	Campbell
-1.92210198298628	6.8126977832185	Moffit
-1.32353807345564	1.66983379434216	Kim
0.26485191925829	0.357982382284284	Rossi
5.37811588391131	-1.34293518949878	wenDropSeq
-0.386813157355136	7.61922396730054	Moffit
-0.473619663273639	7.69387997697461	Moffit
3.73535846813982	-4.75555382658374	wenDropSeq
1.27326749905413	4.33420170854199	Moffit
6.59466480358904	2.13181628297436	Kim
4.59904502972429	0.561588004337431	Mousebrainorg
-1.57525611773664	7.78548373292554	Moffit
0.487856737220936	-5.00757752348316	Kim
-4.52258277789289	1.48786832402814	Kim
-2.8186717118376	1.29730905603039	Kim
-4.27292657748396	-0.526557013286471	Campbell
-1.41445530310804	-2.02435861517322	Campbell
-1.78283930674726	3.31229676316845	Moffit
-1.66164542094404	1.01955808709729	Lee_Idol
-3.32239151850874	2.8990460784303	Campbell
5.55311845883196	6.25945748399365	Moffit
-3.10360957041914	7.01172818254101	Moffit
4.15933822735613	1.98014272760022	Lee_Idol
-3.25067425624067	7.57573451112378	Moffit
7.86995529278582	0.666850462661863	Mickelsen
-5.51635433093245	1.00032664846051	Kim
1.5521323595888	2.31146825860608	Moffit
-3.40024591342146	-5.88876067091358	Moffit
-8.09312177554304	0.417549654947401	Kim
0.874019256675892	0.11655995260346	Rossi
