umapbestseuratIntegration_1	umapbestseuratIntegration_2	Dataset
2.75057000967397	-3.77885036487059	Moffit
2.10256929251088	-5.54512672442869	Flynn
-3.66999988702403	0.923827302270375	wenDropSeq
-2.95527200845348	-4.83158998507933	Kim
-3.51749949601756	-7.6528051378198	Campbell
0.834527383769883	6.45508832912966	Moffit
0.985735486472978	-1.22949771899656	Moffit
3.0723595127715	3.48178453426882	Rossi
-0.356012512718307	8.36729450207277	Campbell
-4.18219642785655	-0.0242516877122297	Moffit
-2.87406044152843	4.6163541791968	Moffit
5.11644763800038	-1.6456578256555	Campbell
0.104487921322717	1.38692511301561	wenDropSeq
2.19487268778218	-0.352962839788951	Kim
-0.0768526985989676	4.45061845760866	Mickelsen
8.258765409912	0.346229773574315	wenDropSeq
-0.46772198823558	-2.78670554179624	Kim
-4.44405107644664	5.2045905111365	Campbell
-6.74248771813975	-2.33485894221739	Lee_Idol
0.357830147470368	1.62749190311953	Kim
0.248752904335989	5.71654243450686	Moffit
1.12152714582814	-5.97065238971189	Flynn
-1.51096742299663	-6.30172853488401	Kim
1.75504155012502	-0.596196103281535	Moffit
4.40014858099355	0.682634872012578	Rossi
-4.56102590707408	5.01437110882326	Campbell
-4.12056331781016	4.21301336269899	Campbell
0.662543992723359	0.94177831392809	Campbell
-4.49422435906993	0.498644743674241	Chen
-0.136409123216735	3.73087854366823	Moffit
2.87272972914113	8.25807876568361	Rossi
-3.65441112664806	-4.08422832507566	Moffit
1.70814449640645	-0.171435046381511	wenDropSeq
8.19226474615468	1.39853585939928	wenDropSeq
-7.25782661584483	-1.72533946055845	Moffit
-3.44343810227977	-6.31718521136717	Kim
-0.67631344941722	-2.1772511484094	Kim
-2.82202844766246	0.0162025509409533	Campbell
4.0021576389922	0.604525130801641	Rossi
-4.27383022454845	6.09048910122439	Campbell
-0.939916063819991	0.962642741017781	Rossi
2.78846592756642	3.07015414219423	Moffit
5.90707511755361	-4.86395101565794	Flynn
7.94584150167836	0.924193095975362	Moffit
5.60829324575795	-1.67867760676817	Campbell
-1.35778587010966	-5.73666887301878	Kim
-5.26718502191173	0.386804450862847	Kim
1.27742953153981	-5.58972291964964	Flynn
10.8540660843505	-0.749692130274333	Chen
-2.65466480401622	-3.42956047076658	Moffit
-7.06111936715709	-1.96995883006529	Moffit
-2.42610936311351	-2.39197449702696	Flynn
2.08616192194356	4.95309514980837	Flynn
-0.559397150550948	-4.84725933093504	Kim
4.56902952047719	1.27609540205523	Moffit
3.64562482687367	-3.89833717364744	Campbell
2.56970066877736	0.819560867362462	Moffit
-0.292269457851516	3.34942693691774	Flynn
1.24722094389333	-1.68824820537046	Flynn
0.173544450874461	-3.12772064227537	Chen
5.55289954992665	3.40673084240481	Kim
-0.0954443409787283	8.29355354290529	Rossi
-3.60921316293346	-7.61207656878904	Campbell
-1.59123270658122	3.57236738186403	Campbell
-0.388932754074203	-6.65755825061277	Kim
2.76364989134206	-3.7391202928491	Moffit
2.75148672911061	3.15378279667421	Kim
-0.217330266510116	-2.30242161769346	Kim
-0.822129775558578	-6.89511089343504	Kim
2.9798187718047	3.83349127750918	Flynn
3.09817619177236	0.365310915374003	Campbell
3.66516227575673	-3.99583368319944	wenDropSeq
2.94329256864919	-0.333416569418467	wenDropSeq
7.00070495458974	-1.91324143428282	Campbell
1.12255061718358	-0.174450743383922	Rossi
2.77084369512929	1.14599723797365	Campbell
-1.49657969621287	3.26014490109011	Kim
1.51244146677388	-3.70252304095701	Flynn
-4.60236911920177	-0.260221708006419	wenDropSeq
-1.80883793977367	5.69375963192507	Campbell
1.05742449613942	-5.84083776492552	Flynn
-3.49721913484203	5.9944002149634	Chen
-1.31657116559611	1.98101229649111	Campbell
-4.26276331094371	0.431572455541037	wen10x
-3.64642744210826	1.14259548168703	Kim
-6.26422577050792	-1.24546639937834	Kim
-1.47743063119517	-6.53484039325193	Campbell
2.78298134657277	3.12314004879519	Rossi
1.61401755663289	-0.856057214922465	Kim
0.520347903694047	-6.03571968097166	Moffit
0.603260497774018	3.1732058046393	Kim
-0.677082945381271	-2.91310887355284	Kim
-3.81361513284312	-5.83764963168577	Kim
-2.82699613717662	-1.56269340533689	Campbell
3.55117411466969	0.315437887423478	wenDropSeq
-1.73051052240001	-6.42537813205198	Kim
-5.03295593408214	4.81318492870852	Campbell
-4.08439855722057	-5.1237581254907	Moffit
3.30042261930837	-0.516150224394359	Kim
3.08347911688222	0.473050125502788	Rossi
-4.01321153787242	8.66650409679934	wenDropSeq
-7.22805051950084	0.259886857681714	Moffit
-7.19350795892345	0.214324739389859	Moffit
10.4403526291503	-0.242052543348826	wenDropSeq
2.94047946783437	3.21970529537722	Moffit
-3.8117683425294	2.16040248852297	Kim
-0.431558181320296	4.56600923519655	Mousebrainorg
-6.86809950021373	-0.628379869646586	Moffit
6.05031747671498	-4.36546640414671	Kim
-4.74799709466563	-5.36975412387327	Kim
-4.1213353171693	-7.7455375673242	Kim
-3.65065674928294	-7.11598567981199	Campbell
-1.53208511022197	-1.79499225635008	Campbell
1.9260074600829	-0.250969815439738	Moffit
4.90682859274281	2.08373732548281	Lee_Idol
4.32582301947011	5.66242284756228	Campbell
-4.43838005212413	-7.58557205218748	Moffit
-6.66737585214244	-2.29989199656919	Moffit
-0.215287913356887	5.62897939663454	Lee_Idol
-7.24589281228648	-1.67509942073301	Moffit
-4.27406959680186	3.17634172421023	Mickelsen
-3.80697851327525	-6.02449827212767	Kim
-3.63642435220348	5.79655284863039	Moffit
-2.73078231958018	-3.27347497958616	Moffit
