umapscvicov_1	umapscvicov_2	Dataset
-1.52328917630091	-1.47377857263772	Moffit
6.90824916712866	-8.55997082288949	Flynn
-1.67875263340845	-5.83036705549447	wenDropSeq
2.877364901229	-5.09671875532357	Kim
1.40545621268377	-2.90978905256478	Campbell
-3.48382541783228	3.04810288850577	Moffit
0.37358999006376	-0.8626526265928	Moffit
-1.41492173321619	0.997844728868321	Rossi
-5.00451347477808	6.54746869508536	Campbell
3.03661587588415	4.98269275132926	Moffit
2.5304615771018	3.88567164842399	Moffit
3.25361731402502	7.11925271455558	Campbell
0.400736552997681	4.24809506837638	wenDropSeq
3.09259322039709	2.54128268663199	Kim
-2.90113398678675	5.47486976091178	Mickelsen
5.34400489680395	5.69497445527823	wenDropSeq
1.42659464232549	-5.35008188780038	Kim
-9.59537050373926	-3.00441452558725	Campbell
-5.4824254239358	-1.29228028352945	Lee_Idol
-3.96321031697169	0.859968695085362	Kim
-2.24667212613001	4.08538678590567	Moffit
6.4659183298789	-7.33777472074716	Flynn
4.34195592753515	-3.74522944982736	Kim
-1.95069143422022	0.541996392648533	Moffit
2.47264387957678	2.35447266999991	Rossi
-9.3424894536294	-2.53724547918527	Campbell
-9.16286298878565	-2.04397698934762	Campbell
-4.10655567295924	3.66454914514335	Campbell
10.4908216273032	-2.94667979772775	Chen
-0.726175221280006	2.52635529939444	Moffit
-3.35622880108729	3.72027519647391	Rossi
-0.665590139702705	-5.7042727142164	Moffit
1.89589324347601	2.79218867723258	wenDropSeq
4.08894493929968	4.7709060043505	wenDropSeq
5.37043168894872	-1.09838500316827	Moffit
1.68306281916723	-4.50898405607431	Kim
4.42399385325536	-2.62742206152169	Kim
0.711858717127892	11.5117750496081	Campbell
2.02152004592046	2.69831779901297	Rossi
-10.4140073979653	-3.22635766561715	Campbell
2.16748192660436	0.722108754556492	Rossi
-0.355308326558021	0.454534921090916	Moffit
2.20924499384985	8.97492602769645	Flynn
3.99199416987524	4.72631886903556	Moffit
3.65125468127355	7.21868947450431	Campbell
4.19803645960912	-2.28455969389169	Kim
-5.33392593510523	-1.2327470451185	Kim
6.68381240717993	-6.97621485288827	Flynn
6.62528589121923	5.28641131822379	Chen
-2.04018137104883	-5.81317326124398	Moffit
4.70536640040502	-0.905419316847011	Moffit
-2.36589142926112	-3.86051508482186	Flynn
-5.47202226765528	4.62652400438102	Flynn
3.88197520129308	-2.08512302931039	Kim
-0.770940812901405	3.31580642167838	Moffit
-2.50839373715296	-1.73080488737313	Campbell
2.08583727233038	3.43575123254569	Moffit
-3.99964496739283	0.217068287771061	Flynn
-1.28734407074824	-3.90225693281381	Flynn
1.97472157828436	-7.52994963224618	Chen
1.14178248993978	7.21304372255118	Kim
-3.6153428281106	5.23508885804923	Rossi
1.55358865611181	-2.56124064024179	Campbell
-6.80689594395533	2.3634250492266	Campbell
5.33831479899511	-5.61209723051278	Kim
-1.53956088669672	-2.05671342905252	Moffit
-3.73235199101343	1.47321167890342	Kim
6.20654943339453	-6.68809649046151	Kim
5.28186490885839	-5.11037584837167	Kim
-1.08877381928339	0.0775077373197827	Flynn
2.94966938845739	3.53171542588981	Campbell
-1.90314790852442	-2.57398721273629	wenDropSeq
2.16544344775305	3.37453607026847	wenDropSeq
4.46110990397558	7.0494008392504	Campbell
1.21504118792638	1.33788124028952	Rossi
2.60615733019933	3.62536028329642	Campbell
-6.90955993779078	1.68682030145438	Kim
6.73874261729345	-8.80230042036264	Flynn
-2.50458261616602	-11.9443978935072	wenDropSeq
-6.66046497471705	3.36937979165824	Campbell
6.83252790324316	-6.9289083152601	Flynn
-1.17776271946802	2.80591920320304	Chen
-4.12916633732691	-2.02895697649209	Campbell
4.7113116060935	5.13535407487662	wen10x
-5.33905908711329	-1.43914541300027	Kim
-5.17216703541651	-1.29762670095651	Kim
5.00423314921484	-3.9299943118879	Campbell
-1.07210538037196	0.612730535905674	Rossi
-4.18191072590723	3.23351744119437	Kim
0.565642205401513	-7.78916069563119	Moffit
-3.63282343991175	-0.161584061343357	Kim
3.51149871699438	-2.38709065016	Kim
2.7400038515769	-5.73706385191171	Kim
-4.25452348835841	-5.20743080671518	Campbell
2.94758465640173	3.46865156595023	wenDropSeq
5.12202957026586	-3.41669127042977	Kim
-8.95406839497462	-2.71807047422616	Campbell
3.92008688799963	-0.400232952792331	Moffit
1.80793753020391	3.82198003236564	Kim
2.16219892851934	2.3006387085131	Rossi
-8.97462675221339	0.410045179765538	wenDropSeq
7.25955703608618	0.177137199085072	Moffit
7.20517518870458	0.0490393668821606	Moffit
6.2168195521079	5.53319791261466	wenDropSeq
-1.06539711602106	1.31809071008475	Moffit
-6.37370369084254	-1.86233505304544	Kim
-2.20323416836634	6.16197160188468	Mousebrainorg
6.49979141108618	-0.248180248547479	Moffit
2.14781751982794	8.97326091234	Kim
1.30581417433843	-3.64707371290414	Kim
0.888488975688073	-2.46186276968209	Kim
4.04779746882543	-0.820560005266353	Campbell
-4.06436178334132	-2.3116786151716	Campbell
-2.30554911740198	1.28335038129599	Moffit
-1.39157018311396	-4.44706818159311	Lee_Idol
-0.902673574761298	-0.690446016151592	Campbell
0.701177207156274	-2.66208621557443	Moffit
5.51506641261205	0.703287753503636	Moffit
-2.52566501744166	3.97886660997184	Lee_Idol
4.8997767245017	0.551153096597508	Moffit
-7.84532854206934	-3.55362221296518	Mickelsen
2.57143142573461	-5.38129946287362	Kim
-0.814467283562568	2.71712521020682	Moffit
-1.8842420304574	-6.21273752744882	Moffit
5.26753547541723	-5.14994665678231	Kim
