umapbestRaw_1	umapbestRaw_2	Dataset
2.03380076811349	-0.439090396767923	Moffit
11.2553636305097	0.394806836241416	Flynn
-2.60734040811027	0.69355026304119	wenDropSeq
3.12002746984994	6.23390284597271	Kim
2.13374321386849	3.29195467054241	Campbell
-2.29536278321708	-1.09055909097798	Moffit
-0.880444658541326	-5.01003798425801	Moffit
1.21360723898446	-3.25754460275776	Rossi
-5.25845701768363	0.786448453062705	Campbell
-4.4872673280474	-4.64560803354389	Moffit
-1.66349823548759	-4.46910628259785	Moffit
-6.10067493989432	-2.90819462717182	Campbell
-1.85074229314292	-4.12099608362324	wenDropSeq
0.860479163384791	2.43514219343059	Kim
-0.779730273031835	-1.17131360948689	Mickelsen
-5.11801226212943	-5.21575030267842	wenDropSeq
2.30498831198251	5.64329615651958	Kim
-5.66507418229545	9.15135088979595	Campbell
-3.07375390603507	4.38059130727642	Lee_Idol
-1.80058009698356	3.02736440717571	Kim
-1.88188786580527	-1.50956710756428	Moffit
11.2555076353315	-0.766975428468057	Flynn
2.74341671392953	7.81137553274029	Kim
2.33829252646005	-6.75163325250752	Moffit
-0.215983477973585	-2.83670267046101	Rossi
-5.91731579377616	8.99806681691997	Campbell
-6.59102232530082	8.70472327291363	Campbell
-3.56512315347159	2.54698697149151	Campbell
7.67540185377633	-5.77383002222187	Chen
1.0649320356611	-6.12528189600117	Moffit
0.436767386651392	-2.00736793459065	Rossi
4.97299354002511	-4.96437939584858	Moffit
-3.854730916762	-3.49518832147724	wenDropSeq
-4.70312960221732	-5.45794352472431	wenDropSeq
0.632914530492182	-10.2234784025014	Moffit
3.00894253180062	6.0225900751292	Kim
1.69990425035989	7.52390566884869	Kim
-8.25337202622855	4.51069871007793	Campbell
-1.19805390908683	-3.03571113527424	Rossi
-6.24916966035331	9.66158381521099	Campbell
0.9028192035917	-3.73076065958149	Rossi
-0.621518147730474	-4.84849127710468	Moffit
4.4559265844587	1.84816244661205	Flynn
-5.05249245240653	-4.99342354715473	Moffit
-6.13872034623588	-3.20394452989704	Campbell
1.75653414652383	8.28294268667095	Kim
-2.31856973245109	5.13161936818951	Kim
10.678499387956	-0.920279468900033	Flynn
-5.81973154618705	-7.32876309335835	Chen
4.17310016081369	-1.98041471422321	Moffit
0.468205677724238	-10.097527589208	Moffit
6.99963633940255	-0.986043300038644	Flynn
-1.67209739758933	1.10207477628582	Flynn
1.46811621115243	8.32608691274517	Kim
0.759340273595209	-6.20703991830952	Moffit
1.03288643286263	0.157769661837748	Campbell
-1.042754603171	-4.46690663278706	Moffit
-0.36736882998908	0.880371127718619	Flynn
2.68903701231515	0.568165574663809	Flynn
6.99844376966989	-6.08492287576801	Chen
-5.0189040429827	-1.60708829343922	Kim
-0.296988321089392	-1.66071196973927	Rossi
2.37871186659371	2.87147823392742	Campbell
-4.84725792481864	4.65115157186382	Campbell
5.00343720839059	8.28962031423443	Kim
1.98883359358346	-0.715478445893594	Moffit
-1.39313669278586	2.75133529722088	Kim
1.88442926332986	5.65081730901592	Kim
4.57872645781076	8.38989726125591	Kim
-2.44987685754264	1.27591970979565	Flynn
-1.93677408769095	-3.73438080728657	Campbell
-1.1057062871691	-2.47858652055866	wenDropSeq
-0.972220075869207	-3.63996752679951	wenDropSeq
-6.8341739900347	-4.1944280523122	Campbell
1.81549029276406	-3.43547638834126	Rossi
-1.37199349477256	-4.14341172159321	Campbell
-0.416053456806784	3.81855908452862	Kim
10.4177743665937	0.483855490082434	Flynn
7.05399959013497	2.64705434858196	wenDropSeq
-5.60410626008475	2.64957943975323	Campbell
10.8263742201093	-1.13114735067494	Flynn
0.698092030740137	-6.22959288538105	Chen
-0.377242160582189	0.464662883871726	Campbell
-5.60846693589652	-5.14057024896748	wen10x
-2.31288464143241	5.11780968725079	Kim
-2.44962222650016	5.14202252447002	Kim
3.72891085073983	8.21019354879253	Campbell
0.499757038808222	-4.47092207849629	Rossi
-0.413689476990347	3.12930480062359	Kim
6.87859599516427	-3.37670263231404	Moffit
-0.259059561037664	1.69564775049084	Kim
1.49844734594857	6.55172816335552	Kim
3.76977102682626	5.64296189367168	Kim
5.30732552931344	-2.17278274477131	Campbell
-1.49528915955985	-3.57950982034809	wenDropSeq
3.26218717024362	8.46363440572613	Kim
-5.97061188294852	8.54387656270855	Campbell
-0.175717217468862	-9.02926453531391	Moffit
-0.647512508177404	-4.04635724008686	Kim
0.437503831839914	-2.90649041116841	Rossi
-4.00899202897513	5.90007535039776	wenDropSeq
-1.83591277673209	-8.49225624979145	Moffit
-1.76914031579459	-8.48036107004292	Moffit
-5.10183651521171	-6.25313624323017	wenDropSeq
-0.391307515644674	-4.81373747766621	Moffit
-1.20810766293967	5.24104968129986	Kim
-2.56425077989066	-2.13180526674397	Mousebrainorg
-1.43284280374015	-9.65712841928608	Moffit
2.49238984510934	5.26317444860332	Kim
2.62164251730477	4.8007415872752	Kim
1.82819955275094	3.76366177617901	Kim
-2.36063010766471	0.0819462523549114	Campbell
-0.153902483725195	0.574783239954642	Campbell
2.36414019987618	-5.19681223810322	Moffit
-0.608840776228552	-0.986910905247995	Lee_Idol
-3.37557442262137	-0.384231086379358	Campbell
-2.60821325852836	-2.60944613397724	Moffit
-1.06995530202353	-10.2651873487294	Moffit
-1.89245934560264	-1.58189567506916	Lee_Idol
-1.18943221642936	-10.7197075742543	Moffit
-1.39263279511893	6.41483727514141	Mickelsen
3.5667688123945	5.73311940252178	Kim
0.837413715577479	-6.07510003030903	Moffit
4.32204358503854	-1.75350030840046	Moffit
