p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	pct_diff
0	0.5632648586268	0.34	0.087	0	Rps19	0.253
0	0.9247597666538	0.555	0.305	0	Rabac1	0.25
0	0.993522414248081	0.489	0.141	0	Rps16	0.348
0	0.657405107750673	0.751	0.648	0	Aplp1	0.103
0	0.764217440926247	0.45	0.176	0	Cox6b1	0.274
0	0.619527283207039	0.434	0.177	0	Tmem147	0.257
0	1.08257285889525	0.505	0.141	0	Rps11	0.364
0	0.698140334779853	0.418	0.132	0	Rpl18	0.286
0	0.858419561266854	0.483	0.174	0	Tm2d3	0.309
0	0.530474962427696	0.325	0.081	0	Rps17	0.244
0	1.17214456309348	0.502	0.12	0	Ndufc2	0.382
0	1.06978808167131	0.472	0.112	0	Rps3	0.36
0	0.819691230516372	0.586	0.371	0	Spcs2	0.215
0	0.570723124446582	0.385	0.137	0	Rpl27a	0.248
0	0.568168461507404	0.393	0.149	0	Rps15a	0.244
0	1.63707028106388	0.645	0.366	0	Arl6ip1	0.279
0	1.21828862414605	0.617	0.359	0	Aldoa	0.258
0	1.68976330482334	0.771	0.499	0	Caly	0.272
0	1.04134599574149	0.51	0.161	0	Rplp2	0.349
0	0.918005635483532	0.617	0.338	0	Cd81	0.279
0	0.334406878330677	0.995	0.996	0	Ahi1	-0.001
0	0.708233597511712	0.451	0.169	0	Rps12	0.282
0	0.710866938499678	0.543	0.303	0	Serinc1	0.24
0	0.785252201294625	0.41	0.097	0	Cisd1	0.313
0	0.81053117755114	0.429	0.098	0	Mif	0.331
0	1.02923074262859	0.453	0.088	0	Chchd10	0.365
0	1.7639312513536	0.698	0.318	0	Bsg	0.38
0	0.727140398674576	0.429	0.146	0	Ndufs7	0.283
0	0.691347511786048	0.486	0.223	0	Rps15	0.263
0	0.756249872531508	0.389	0.079	0	Uqcr11	0.31
0	0.776767546150541	0.645	0.437	0	Oaz1	0.208
0	1.09151634938779	0.63	0.302	0	Hsp90b1	0.328
0	0.85938306276914	0.308	0.062	0	Pmch	0.246
